GC,title,lower,nospace,url,lat,lon,numfind,numpage
GC760,Beginners Luck? First Geocache in New Brunswick !,beginners luck first geocache in new brunswick ,beginners-luck-first-geocache-in-new-brunswick,https://www.geocaching.com/geocache/GC760_beginners-luck-first-geocache-in-new-brunswick,N 47° 59.308,W 066° 52.204,455,19
GC4BF0,Stumpy in Fredericton,stumpy in fredericton,stumpy-in-fredericton,https://www.geocaching.com/geocache/GC4BF0_stumpy-in-fredericton,N 45° 57.157,W 066° 40.488,550,22
GC57DE,The home of the largest frog ever,the home of the largest frog ever,the-home-of-the-largest-frog-ever,https://www.geocaching.com/geocache/GC57DE_the-home-of-the-largest-frog-ever,N 46° 00.863,W 066° 37.636,486,20
GC7F4E,Ayer's Lake Lookout,ayers lake lookout,ayers-lake-lookout,https://www.geocaching.com/geocache/GC7F4E_ayers-lake-lookout,N 46° 12.190,W 067° 18.809,33,2
GCGKPM,Matthew's Brook Nature Trail,matthews brook nature trail,matthews-brook-nature-trail,https://www.geocaching.com/geocache/GCGKPM_matthews-brook-nature-trail,N 45° 26.382,W 065° 58.256,22,1
GCGTGC,1100ft Up Friar's Nose,1100ft up friars nose,1100ft-up-friars-nose,https://www.geocaching.com/geocache/GCGTGC_1100ft-up-friars-nose,N 45° 38.940,W 065° 25.098,11,1
GCH1T3,Frasers Trail,frasers trail,frasers-trail,https://www.geocaching.com/geocache/GCH1T3_frasers-trail,N 46° 53.758,W 067° 23.866,16,1
GCHHB1,Grocery List (New Coordinates),grocery list (new coordinates),grocery-list-new-coordinates,https://www.geocaching.com/geocache/GCHHB1_grocery-list-new-coordinates,N 45° 58.136,W 066° 46.127,58,3
GCHY8P,Maple's Home,maples home,maples-home,https://www.geocaching.com/geocache/GCHY8P_maples-home,N 45° 56.696,W 066° 45.443,106,5
GCJ0AF,North Stream Floodplain,north stream floodplain,north-stream-floodplain,https://www.geocaching.com/geocache/GCJ0AF_north-stream-floodplain,N 45° 52.071,W 066° 42.074,158,7
GCK5MW,Witches & Trolls of Odell Park,witches & trolls of odell park,witches-&-trolls-of-odell-park,https://www.geocaching.com/geocache/GCK5MW_witches-&-trolls-of-odell-park,N 45° 57.225,W 066° 39.838,737,30
GCKCW1,"Deep, deep, right field",deep deep right field,deep-deep-right-field,https://www.geocaching.com/geocache/GCKCW1_deep-deep-right-field,N 45° 56.940,W 066° 40.070,36,2
GCKFX2,The Invasion of Miramichi has Begun!,the invasion of miramichi has begun,the-invasion-of-miramichi-has-begun,https://www.geocaching.com/geocache/GCKFX2_the-invasion-of-miramichi-has-begun,N 47° 04.123,W 065° 22.419,19,1
GCMB8M,Dead Brook Cache,dead brook cache,dead-brook-cache,https://www.geocaching.com/geocache/GCMB8M_dead-brook-cache,N 45° 39.247,W 066° 59.776,69,3
GCMD0Z,New Years Day 2005,new years day 2005,new-years-day-2005,https://www.geocaching.com/geocache/GCMD0Z_new-years-day-2005,N 46° 58.072,W 065° 35.983,125,5
GCMMX5,Lost a cache!!,lost a cache,lost-a-cache,https://www.geocaching.com/geocache/GCMMX5_lost-a-cache,N 46° 58.970,W 065° 18.550,80,4
GCN6EF,A Million Dollar View,a million dollar view,a-million-dollar-view,https://www.geocaching.com/geocache/GCN6EF_a-million-dollar-view,N 45° 51.989,W 066° 51.876,51,3
GCN8Z7,#1 Scout Scenic Series - 300 Year Old Tree,1 scout scenic series  300 year old tree,1-scout-scenic-series-300-year-old-tree,https://www.geocaching.com/geocache/GCN8Z7_1-scout-scenic-series-300-year-old-tree,N 46° 48.179,W 067° 43.799,188,8
