GC,title,nospace,url,lat,lon,country,province/state,county,numfinds
GC7AC,Nova Scotia Sunday Drive,nova-scotia-sunday-drive,https://www.geocaching.com/geocache/GC7AC_nova-scotia-sunday-drive,N 44° 36.873,W 063° 28.637,Canada,Nova Scotia,Halifax,3
GCE79,Yogi and Friends,yogi-and-friends,https://www.geocaching.com/geocache/GCE79_yogi-and-friends,N 45° 00.276,W 064° 58.356,Canada,Nova Scotia,Kings (Nova Scotia),10
GCF2D,KejiCache,kejicache,https://www.geocaching.com/geocache/GCF2D_kejicache,N 44° 24.354,W 065° 11.688,Canada,Nova Scotia,Queens (Nova Scotia),196
GC2086,aboiteaux,aboiteaux,https://www.geocaching.com/geocache/GC2086_aboiteaux,N 45° 05.938,W 064° 22.452,Canada,Nova Scotia,Kings (Nova Scotia),5
GC3305,BnT's excellent adventure,bnts-excellent-adventure,https://www.geocaching.com/geocache/GC3305_bnts-excellent-adventure,N 45° 05.191,W 064° 20.609,Canada,Nova Scotia,Kings (Nova Scotia),102
GC5D6F,Shelburne River Cache,shelburne-river-cache,https://www.geocaching.com/geocache/GC5D6F_shelburne-river-cache,N 44° 16.810,W 065° 18.420,Canada,Nova Scotia,Queens (Nova Scotia),17
GC6BD6,Boo Boo's Bonanza,boo-boos-bonanza,https://www.geocaching.com/geocache/GC6BD6_boo-boos-bonanza,N 45° 00.183,W 064° 58.512,Canada,Nova Scotia,Kings (Nova Scotia),204
GC6C27,Liquid Crystal,liquid-crystal,https://www.geocaching.com/geocache/GC6C27_liquid-crystal,N 44° 56.235,W 064° 52.655,Canada,Nova Scotia,Kings (Nova Scotia),196
GC757E,Lucky Strike! in Keji,lucky-strike-in-keji,https://www.geocaching.com/geocache/GC757E_lucky-strike-in-keji,N 44° 21.365,W 065° 10.394,Canada,Nova Scotia,Queens (Nova Scotia),5
GC78F7,An American Geocacher in Nova Scotia,an-american-geocacher-in-nova-scotia,https://www.geocaching.com/geocache/GC78F7_an-american-geocacher-in-nova-scotia,N 44° 38.853,W 063° 34.167,Canada,Nova Scotia,Halifax,1
GC7ABC,Where the two waters meet,where-the-two-waters-meet,https://www.geocaching.com/geocache/GC7ABC_where-the-two-waters-meet,N 46° 20.535,W 060° 25.229,Canada,Nova Scotia,Victoria (Nova Scotia),20
GC7AFF,Shredney's Beach Party,shredneys-beach-party,https://www.geocaching.com/geocache/GC7AFF_shredneys-beach-party,N 45° 04.129,W 065° 00.829,Canada,Nova Scotia,Kings (Nova Scotia),12
GC8A75,helitack 1 (Near Keji Park),helitack-1-near-keji-park,https://www.geocaching.com/geocache/GC8A75_helitack-1-near-keji-park,N 44° 25.361,W 065° 03.516,Canada,Nova Scotia,Queens (Nova Scotia),17
GC96B5,Blomidon,blomidon,https://www.geocaching.com/geocache/GC96B5_blomidon,N 45° 12.002,W 064° 24.378,Canada,Nova Scotia,Kings (Nova Scotia),255
GC9B23,Gone Quackers,gone-quackers,https://www.geocaching.com/geocache/GC9B23_gone-quackers,N 44° 58.763,W 064° 56.895,Canada,Nova Scotia,Kings (Nova Scotia),1
GCBC50,Oak Hill 'Corners',oak-hill-corners,https://www.geocaching.com/geocache/GCBC50_oak-hill-corners,N 45° 03.342,W 064° 47.688,Canada,Nova Scotia,Kings (Nova Scotia),145
GCF9AF,The Jump,the-jump,https://www.geocaching.com/geocache/GCF9AF_the-jump,N 45° 02.659,W 064° 24.524,Canada,Nova Scotia,Kings (Nova Scotia),40
GCG407,Northern Tip of Cape Breton,northern-tip-of-cape-breton,https://www.geocaching.com/geocache/GCG407_northern-tip-of-cape-breton,N 47° 01.541,W 060° 32.176,Canada,Nova Scotia,Victoria (Nova Scotia),112
GCG493,Keltic Adventure,keltic-adventure,https://www.geocaching.com/geocache/GCG493_keltic-adventure,N 46° 39.240,W 060° 21.021,Canada,Nova Scotia,Victoria (Nova Scotia),383
GCGC6G,Kingston Family Trail,kingston-family-trail,https://www.geocaching.com/geocache/GCGC6G_kingston-family-trail,N 44° 58.767,W 064° 56.961,Canada,Nova Scotia,Kings (Nova Scotia),10
GCGCA2,Clairmont Provincial Park,clairmont-provincial-park,https://www.geocaching.com/geocache/GCGCA2_clairmont-provincial-park,N 45° 00.640,W 064° 54.663,Canada,Nova Scotia,Kings (Nova Scotia),22
GCGCMR,3Stooges & Ring Leader Stash(wilderness adventure),3stooges-ring-leader-stash-wilderness-adventure,https://www.geocaching.com/geocache/GCGCMR_3stooges-ring-leader-stash-wilderness-adventure,N 44° 52.553,W 064° 52.268,Canada,Nova Scotia,Kings (Nova Scotia),38
GCGDK9,Cheticamp Lake in the Highlands,cheticamp-lake-in-the-highlands,https://www.geocaching.com/geocache/GCGDK9_cheticamp-lake-in-the-highlands,N 46° 38.484,W 060° 38.167,Canada,Nova Scotia,Victoria (Nova Scotia),30
GCGNH7,Arm of Gold Waterfall Cache,arm-of-gold-waterfall-cache,https://www.geocaching.com/geocache/GCGNH7_arm-of-gold-waterfall-cache,N 46° 16.224,W 060° 27.685,Canada,Nova Scotia,Victoria (Nova Scotia),61
GCGW8J,Cybil Split,cybil-split,https://www.geocaching.com/geocache/GCGW8J_cybil-split,N 45° 19.984,W 064° 29.657,Canada,Nova Scotia,Kings (Nova Scotia),19
GCH0NG,"jojan's ""stylish""cache",jojans-stylishcache,https://www.geocaching.com/geocache/GCH0NG_jojans-stylishcache,N 45° 04.499,W 064° 21.152,Canada,Nova Scotia,Kings (Nova Scotia),51
GCH2KK,Uisge Ban Tree,uisge-ban-tree,https://www.geocaching.com/geocache/GCH2KK_uisge-ban-tree,N 46° 12.596,W 060° 47.238,Canada,Nova Scotia,Victoria (Nova Scotia),65
GCHPW1,French Cross cache,french-cross-cache,https://www.geocaching.com/geocache/GCHPW1_french-cross-cache,N 45° 06.213,W 064° 56.947,Canada,Nova Scotia,Kings (Nova Scotia),5
GCJ2JT,Monument at Boudreau's Bank,monument-at-boudreaus-bank,https://www.geocaching.com/geocache/GCJ2JT_monument-at-boudreaus-bank,N 45° 06.140,W 064° 22.924,Canada,Nova Scotia,Kings (Nova Scotia),287
GCJB1V,Tall Pines Grove,tall-pines-grove,https://www.geocaching.com/geocache/GCJB1V_tall-pines-grove,N 44° 02.931,W 064° 44.168,Canada,Nova Scotia,Queens (Nova Scotia),227
GCJD45,Aylesford Lake cache,aylesford-lake-cache,https://www.geocaching.com/geocache/GCJD45_aylesford-lake-cache,N 44° 56.423,W 064° 40.192,Canada,Nova Scotia,Kings (Nova Scotia),113
GCJH79,Captain Kidd's Cache,captain-kidds-cache,https://www.geocaching.com/geocache/GCJH79_captain-kidds-cache,N 45° 11.757,W 064° 36.935,Canada,Nova Scotia,Kings (Nova Scotia),79
GCJKP0,More Than Just a Farm Town,more-than-just-a-farm-town,https://www.geocaching.com/geocache/GCJKP0_more-than-just-a-farm-town,N 45° 05.660,W 064° 24.370,Canada,Nova Scotia,Kings (Nova Scotia),29
GCJPB8,I fall 4 U,i-fall-4-u,https://www.geocaching.com/geocache/GCJPB8_i-fall-4-u,N 46° 13.645,W 060° 30.891,Canada,Nova Scotia,Victoria (Nova Scotia),120
GCJRCK,Roadtrip stretch break,roadtrip-stretch-break,https://www.geocaching.com/geocache/GCJRCK_roadtrip-stretch-break,N 46° 06.216,W 060° 45.615,Canada,Nova Scotia,Victoria (Nova Scotia),176
GCJV0R,Harbour Hike,harbour-hike,https://www.geocaching.com/geocache/GCJV0R_harbour-hike,N 45° 11.899,W 064° 37.841,Canada,Nova Scotia,Kings (Nova Scotia),69
GCJWYD,End of your Rope,end-of-your-rope,https://www.geocaching.com/geocache/GCJWYD_end-of-your-rope,N 45° 04.967,W 064° 21.879,Canada,Nova Scotia,Kings (Nova Scotia),401
GCJWYJ,Blomidon Trail Cache,blomidon-trail-cache,https://www.geocaching.com/geocache/GCJWYJ_blomidon-trail-cache,N 45° 15.632,W 064° 20.895,Canada,Nova Scotia,Kings (Nova Scotia),246
GCJZZR,Ducks in a Row,ducks-in-a-row,https://www.geocaching.com/geocache/GCJZZR_ducks-in-a-row,N 44° 58.753,W 064° 56.890,Canada,Nova Scotia,Kings (Nova Scotia),63
GCK30W,On Top of Cape Smokey,on-top-of-cape-smokey,https://www.geocaching.com/geocache/GCK30W_on-top-of-cape-smokey,N 46° 35.586,W 060° 22.799,Canada,Nova Scotia,Victoria (Nova Scotia),361
GCK3XD,Fun Day Beach,fun-day-beach,https://www.geocaching.com/geocache/GCK3XD_fun-day-beach,N 45° 07.600,W 064° 53.000,Canada,Nova Scotia,Kings (Nova Scotia),28
GCK420,Sam's cache,sams-cache,https://www.geocaching.com/geocache/GCK420_sams-cache,N 45° 03.409,W 064° 23.910,Canada,Nova Scotia,Kings (Nova Scotia),127
GCK4CH,Lumsdens Cache,lumsdens-cache,https://www.geocaching.com/geocache/GCK4CH_lumsdens-cache,N 45° 01.482,W 064° 23.866,Canada,Nova Scotia,Kings (Nova Scotia),109
GCK620,Connor's Brook Cache,connors-brook-cache,https://www.geocaching.com/geocache/GCK620_connors-brook-cache,N 45° 04.093,W 065° 00.862,Canada,Nova Scotia,Kings (Nova Scotia),109
GCK76N,Old Man on the Bay,old-man-on-the-bay,https://www.geocaching.com/geocache/GCK76N_old-man-on-the-bay,N 43° 49.252,W 064° 53.631,Canada,Nova Scotia,Queens (Nova Scotia),7
GCK7E1,Down The Country,down-the-country,https://www.geocaching.com/geocache/GCK7E1_down-the-country,N 46° 25.025,W 060° 28.305,Canada,Nova Scotia,Victoria (Nova Scotia),69
GCK8XM,Kingston Family Trail,kingston-family-trail,https://www.geocaching.com/geocache/GCK8XM_kingston-family-trail,N 44° 58.809,W 064° 56.772,Canada,Nova Scotia,Kings (Nova Scotia),101
GCKCPV,Go Jump in the Lake,go-jump-in-the-lake,https://www.geocaching.com/geocache/GCKCPV_go-jump-in-the-lake,N 46° 15.130,W 060° 25.899,Canada,Nova Scotia,Victoria (Nova Scotia),112
GCKF00,Aylesford and District Micro,aylesford-and-district-micro,https://www.geocaching.com/geocache/GCKF00_aylesford-and-district-micro,N 45° 01.881,W 064° 50.403,Canada,Nova Scotia,Kings (Nova Scotia),36
GCKKBH,AAAAH RUN... BEAR!!!,aaaah-run-bear,https://www.geocaching.com/geocache/GCKKBH_aaaah-run-bear,N 46° 20.620,W 060° 31.579,Canada,Nova Scotia,Victoria (Nova Scotia),60
GCKKBN,DON'T STEP ON THE MOOSE POOP!!,dont-step-on-the-moose-poop,https://www.geocaching.com/geocache/GCKKBN_dont-step-on-the-moose-poop,N 46° 22.460,W 060° 32.396,Canada,Nova Scotia,Victoria (Nova Scotia),60
GCKMMN,The Notch,the-notch,https://www.geocaching.com/geocache/GCKMMN_the-notch,N 44° 57.090,W 064° 53.607,Canada,Nova Scotia,Kings (Nova Scotia),167
GCKN4D,Fales River,fales-river,https://www.geocaching.com/geocache/GCKN4D_fales-river,N 44° 57.735,W 064° 55.388,Canada,Nova Scotia,Kings (Nova Scotia),59
GCKPQX,I THINK I SAW A LIGHTHOUSE.......OR 3!!,i-think-i-saw-a-lighthouseor-3,https://www.geocaching.com/geocache/GCKPQX_i-think-i-saw-a-lighthouseor-3,N 46° 17.598,W 060° 25.048,Canada,Nova Scotia,Victoria (Nova Scotia),62
GCKWFK,Where the Sand Dollars Play,where-the-sand-dollars-play,https://www.geocaching.com/geocache/GCKWFK_where-the-sand-dollars-play,N 43° 54.573,W 064° 49.277,Canada,Nova Scotia,Queens (Nova Scotia),131
GCKWMG,The Matrix,the-matrix,https://www.geocaching.com/geocache/GCKWMG_the-matrix,N 45° 00.440,W 064° 54.489,Canada,Nova Scotia,Kings (Nova Scotia),82
GCM0K8,Ten Mile Magic,ten-mile-magic,https://www.geocaching.com/geocache/GCM0K8_ten-mile-magic,N 44° 11.274,W 064° 50.013,Canada,Nova Scotia,Queens (Nova Scotia),129
GCM1MK,A nice beach on the Minas Basin???,a-nice-beach-on-the-minas-basin,https://www.geocaching.com/geocache/GCM1MK_a-nice-beach-on-the-minas-basin,N 45° 09.602,W 064° 21.558,Canada,Nova Scotia,Kings (Nova Scotia),30
GCM1VE,DAKOTA'S DEVIL CACHE(SILIVER#2),dakotas-devil-cache-siliver2,https://www.geocaching.com/geocache/GCM1VE_dakotas-devil-cache-siliver2,N 45° 03.575,W 064° 28.792,Canada,Nova Scotia,Kings (Nova Scotia),72
GCM450,Hey...Is That a Bridge Down There?,heyis-that-a-bridge-down-there,https://www.geocaching.com/geocache/GCM450_heyis-that-a-bridge-down-there,N 46° 14.778,W 060° 30.251,Canada,Nova Scotia,Victoria (Nova Scotia),501
GCM48V,Relax & Enjoy,relax-enjoy,https://www.geocaching.com/geocache/GCM48V_relax-enjoy,N 43° 57.383,W 064° 44.158,Canada,Nova Scotia,Queens (Nova Scotia),115
GCM86K,Crystal Clear,crystal-clear,https://www.geocaching.com/geocache/GCM86K_crystal-clear,N 44° 56.510,W 064° 52.723,Canada,Nova Scotia,Kings (Nova Scotia),68
GCMB75,DAZED & CONFUSED(SILIVER SERIES #5),dazed-confused-siliver-series-5,https://www.geocaching.com/geocache/GCMB75_dazed-confused-siliver-series-5,N 45° 04.320,W 064° 30.819,Canada,Nova Scotia,Kings (Nova Scotia),163
GCMFJQ,CAMO CACHE(Skunk Series # 4),camo-cache-skunk-series-4,https://www.geocaching.com/geocache/GCMFJQ_camo-cache-skunk-series-4,N 45° 06.233,W 064° 16.254,Canada,Nova Scotia,Kings (Nova Scotia),35
GCMH2R,Dune Walking,dune-walking,https://www.geocaching.com/geocache/GCMH2R_dune-walking,N 43° 54.402,W 064° 48.760,Canada,Nova Scotia,Queens (Nova Scotia),52
GCMJDN,Hunters Paradise,hunters-paradise,https://www.geocaching.com/geocache/GCMJDN_hunters-paradise,N 45° 11.052,W 064° 38.074,Canada,Nova Scotia,Kings (Nova Scotia),140
GCMMKF,KOA All the Way,koa-all-the-way,https://www.geocaching.com/geocache/GCMMKF_koa-all-the-way,N 46° 13.772,W 060° 30.443,Canada,Nova Scotia,Victoria (Nova Scotia),141
GCMMKJ,Toy Soldiers,toy-soldiers,https://www.geocaching.com/geocache/GCMMKJ_toy-soldiers,N 46° 07.140,W 060° 47.486,Canada,Nova Scotia,Victoria (Nova Scotia),46
GCMNTE,Maybe A Long Spell,maybe-a-long-spell,https://www.geocaching.com/geocache/GCMNTE_maybe-a-long-spell,N 45° 10.153,W 064° 21.284,Canada,Nova Scotia,Kings (Nova Scotia),105
GCMPRJ,"Houston, we have a problem!!!",houston-we-have-a-problem,https://www.geocaching.com/geocache/GCMPRJ_houston-we-have-a-problem,N 45° 12.972,W 064° 21.848,Canada,Nova Scotia,Kings (Nova Scotia),105
GCMQ3F,"Here's the wharf, where's the ferry? (#1 Boul.)",heres-the-wharf-wheres-the-ferry-1-boul,https://www.geocaching.com/geocache/GCMQ3F_heres-the-wharf-wheres-the-ferry-1-boul,N 46° 08.675,W 060° 35.161,Canada,Nova Scotia,Victoria (Nova Scotia),5
GCN2TX,Fife's Brook Cache(#5 of Boulardrie Series),fifes-brook-cache-5-of-boulardrie-series,https://www.geocaching.com/geocache/GCN2TX_fifes-brook-cache-5-of-boulardrie-series,N 46° 16.664,W 060° 22.940,Canada,Nova Scotia,Victoria (Nova Scotia),83
GCN6NT,Dykes Around Canning,dykes-around-canning,https://www.geocaching.com/geocache/GCN6NT_dykes-around-canning,N 45° 08.498,W 064° 22.786,Canada,Nova Scotia,Kings (Nova Scotia),0
GCN73V,Jamesville Perch,jamesville-perch,https://www.geocaching.com/geocache/GCN73V_jamesville-perch,N 45° 56.993,W 060° 52.401,Canada,Nova Scotia,Victoria (Nova Scotia),45
GCN7AP,Taken for Granite (but Lichen it),taken-for-granite-but-lichen-it,https://www.geocaching.com/geocache/GCN7AP_taken-for-granite-but-lichen-it,N 43° 52.117,W 064° 57.725,Canada,Nova Scotia,Queens (Nova Scotia),77
GCN7TY,Cabot Trail Tour Series ( No.1) St. anns,cabot-trail-tour-series--no1-st-anns,https://www.geocaching.com/geocache/GCN7TY_cabot-trail-tour-series--no1-st-anns,N 46° 14.049,W 060° 36.431,Canada,Nova Scotia,Victoria (Nova Scotia),80
GCN88G,Feet Fales Me Not,feet-fales-me-not,https://www.geocaching.com/geocache/GCN88G_feet-fales-me-not,N 44° 57.773,W 064° 55.930,Canada,Nova Scotia,Kings (Nova Scotia),109
GCN8NA,Rails to Trails Cache(Duct Tape Series #2),rails-to-trails-cache-duct-tape-series-2,https://www.geocaching.com/geocache/GCN8NA_rails-to-trails-cache-duct-tape-series-2,N 45° 04.450,W 064° 33.356,Canada,Nova Scotia,Kings (Nova Scotia),221
GCN8PD,101 Waterfall(Duct Tape Series#3)NSHW101,101-waterfall-duct-tape-series3nshw101,https://www.geocaching.com/geocache/GCN8PD_101-waterfall-duct-tape-series3nshw101,N 45° 02.892,W 064° 30.450,Canada,Nova Scotia,Kings (Nova Scotia),201
GCN8PN,Lockheart Ryan Cache(Duct Tape Series#5),lockheart-ryan-cache-duct-tape-series5,https://www.geocaching.com/geocache/GCN8PN_lockheart-ryan-cache-duct-tape-series5,N 45° 04.538,W 064° 26.357,Canada,Nova Scotia,Kings (Nova Scotia),270
GCN8PT,Let's Go Tube'n(Duct Tape Series#4),lets-go-tuben-duct-tape-series4,https://www.geocaching.com/geocache/GCN8PT_lets-go-tuben-duct-tape-series4,N 45° 03.667,W 064° 22.776,Canada,Nova Scotia,Kings (Nova Scotia),144
GCN8Q4,I'm Famous look at Me(Duct Tape Series#6),im-famous-look-at-me-duct-tape-series6,https://www.geocaching.com/geocache/GCN8Q4_im-famous-look-at-me-duct-tape-series6,N 45° 04.607,W 064° 29.650,Canada,Nova Scotia,Kings (Nova Scotia),253
GCN8Z3,Aliant Adventure Series #4,aliant-adventure-series-4,https://www.geocaching.com/geocache/GCN8Z3_aliant-adventure-series-4,N 46° 12.730,W 060° 36.342,Canada,Nova Scotia,Victoria (Nova Scotia),245
GCN8Z8,Fishing With the Bum,fishing-with-the-bum,https://www.geocaching.com/geocache/GCN8Z8_fishing-with-the-bum,N 46° 12.657,W 060° 35.544,Canada,Nova Scotia,Victoria (Nova Scotia),66
GCN96C,Seals on an Island? (#6 Boul. Series),seals-on-an-island-6-boul-series,https://www.geocaching.com/geocache/GCN96C_seals-on-an-island-6-boul-series,N 46° 13.830,W 060° 29.153,Canada,Nova Scotia,Victoria (Nova Scotia),276
GCN9M4,Walls Of Lakeville Past,walls-of-lakeville-past,https://www.geocaching.com/geocache/GCN9M4_walls-of-lakeville-past,N 45° 07.188,W 064° 35.241,Canada,Nova Scotia,Kings (Nova Scotia),16
GCNA9M,"Canada ""Eh""!!",canada-eh,https://www.geocaching.com/geocache/GCNA9M_canada-eh,N 45° 10.283,W 064° 44.449,Canada,Nova Scotia,Kings (Nova Scotia),21
GCNAHT,Long for the Light,long-for-the-light,https://www.geocaching.com/geocache/GCNAHT_long-for-the-light,N 44° 06.150,W 064° 32.398,Canada,Nova Scotia,Queens (Nova Scotia),89
GCNBMX,This Cache is the Pits(Duct Tape#1),this-cache-is-the-pits-duct-tape1,https://www.geocaching.com/geocache/GCNBMX_this-cache-is-the-pits-duct-tape1,N 45° 04.269,W 064° 27.905,Canada,Nova Scotia,Kings (Nova Scotia),262
GCNBN1,Book Exchange Cache(Duct Tape#7),book-exchange-cache-duct-tape7,https://www.geocaching.com/geocache/GCNBN1_book-exchange-cache-duct-tape7,N 45° 08.204,W 064° 37.392,Canada,Nova Scotia,Kings (Nova Scotia),56
GCNCJ0,Russian Troll,russian-troll,https://www.geocaching.com/geocache/GCNCJ0_russian-troll,N 45° 09.346,W 064° 46.466,Canada,Nova Scotia,Kings (Nova Scotia),131
GCNDYM,Napoleon's Flippin' Cache (N.D. Series #1),napoleons-flippin-cache-nd-series-1,https://www.geocaching.com/geocache/GCNDYM_napoleons-flippin-cache-nd-series-1,N 45° 04.386,W 064° 28.857,Canada,Nova Scotia,Kings (Nova Scotia),28
GCNEMW,Gaspereau Canal Trail,gaspereau-canal-trail,https://www.geocaching.com/geocache/GCNEMW_gaspereau-canal-trail,N 44° 56.203,W 064° 30.267,Canada,Nova Scotia,Kings (Nova Scotia),29
GCNFME,Bigelow's Shipyard,bigelows-shipyard,https://www.geocaching.com/geocache/GCNFME_bigelows-shipyard,N 45° 09.403,W 064° 25.166,Canada,Nova Scotia,Kings (Nova Scotia),283
GCNG0E,Farewell To Nova Scotia....,farewell-to-nova-scotia,https://www.geocaching.com/geocache/GCNG0E_farewell-to-nova-scotia,N 45° 51.368,W 064° 15.769,Canada,Nova Scotia,Cumberland,571
GCNGZG,Tilbury Canon,tilbury-canon,https://www.geocaching.com/geocache/GCNGZG_tilbury-canon,N 46° 05.959,W 060° 44.949,Canada,Nova Scotia,Victoria (Nova Scotia),11
GCNH3P,The Tide is High But I'm Caching On,the-tide-is-high-but-im-caching-on,https://www.geocaching.com/geocache/GCNH3P_the-tide-is-high-but-im-caching-on,N 46° 15.107,W 060° 29.302,Canada,Nova Scotia,Victoria (Nova Scotia),108
GCNHCX,Factory? What Factory?,factory-what-factory,https://www.geocaching.com/geocache/GCNHCX_factory-what-factory,N 46° 16.861,W 060° 25.436,Canada,Nova Scotia,Victoria (Nova Scotia),4
