GC,title,url,lat,lon,country,province/state,county,numfinds,numpage,,,
GCGVVK,Rosevale Abandoned Mine,https://www.geocaching.com/geocache/GCGVVK_rosevale-abandoned-mine,N 45° 51.008,W 064° 50.973,Canada,New Brunswick,Albert,69,3,,,
GCH6C7,Glebe Mine and Pit circa 1867,https://www.geocaching.com/geocache/GCH6C7_glebe-mine-and-pit-circa-1867,N 45° 39.590,W 065° 22.884,Canada,New Brunswick,Kings (New Brunswick),32,2,,,
GCKQXH,Pennies From Heaven At The Old Dick Mine,https://www.geocaching.com/geocache/GCKQXH_pennies-from-heaven-at-the-old-dick-mine,N 45° 46.699,W 065° 46.519,Canada,New Brunswick,Kings (New Brunswick),48,2,,,
GCQXJ4,Restigouche Mine,https://www.geocaching.com/geocache/GCQXJ4_restigouche-mine,N 47° 31.130,W 066° 33.994,Canada,New Brunswick,Restigouche,75,3,,,
GC14EXC,Dorchester Copper Mine,https://www.geocaching.com/geocache/GC14EXC_dorchester-copper-mine,N 45° 56.355,W 064° 28.465,Canada,New Brunswick,Westmorland,90,4,,,
GC1GCX8,Abandoned Cassidy Lake Potash Mine - an Earthcache,https://www.geocaching.com/geocache/GC1GCX8_abandoned-cassidy-lake-potash-mine-an-earthcache,N 45° 33.534,W 065° 34.511,Canada,New Brunswick,Kings (New Brunswick),85,4,,,
GC1XCMN,Lake George Antimony Mine,https://www.geocaching.com/geocache/GC1XCMN_lake-george-antimony-mine,N 45° 50.863,W 067° 01.884,Canada,New Brunswick,York (New Brunswick),33,2,,,
GC1Y804,Mine with a View,https://www.geocaching.com/geocache/GC1Y804_mine-with-a-view,N 45° 55.829,W 064° 29.205,Canada,New Brunswick,Westmorland,83,4,,,
GC1YRMV,Mystery Mine in Dorchester,https://www.geocaching.com/geocache/GC1YRMV_mystery-mine-in-dorchester,N 45° 55.832,W 064° 29.234,Canada,New Brunswick,Westmorland,71,3,,,
GC2YDGC,Road to old Nigadoo Mine,https://www.geocaching.com/geocache/GC2YDGC_road-to-old-nigadoo-mine,N 47° 43.721,W 065° 48.434,Canada,New Brunswick,Gloucester,5,1,,,
GC2YDGW,''Old Nigadoo Mine'',https://www.geocaching.com/geocache/GC2YDGW_old-nigadoo-mine,N 47° 43.975,W 065° 48.311,Canada,New Brunswick,Gloucester,4,1,,,
GC3PPYW,SILICA MINE,https://www.geocaching.com/geocache/GC3PPYW_silica-mine,N 45° 36.414,W 065° 32.322,Canada,New Brunswick,Kings (New Brunswick),33,2,,,
GC3QB8X,A Silica Mine in New Brunswick - An Earthcache,https://www.geocaching.com/geocache/GC3QB8X_a-silica-mine-in-new-brunswick-an-earthcache,N 45° 36.318,W 065° 32.291,Canada,New Brunswick,Kings (New Brunswick),39,2,,,
GC5ANXR,Hole in the Ground 4.0 (aka Barite Mine),https://www.geocaching.com/geocache/GC5ANXR_hole-in-the-ground-40-aka-barite-mine,N 44° 46.042,W 066° 44.213,Canada,New Brunswick,Charlotte,40,2,,,
GC7FE1,Happy Spelunking at Howe's Cave,https://www.geocaching.com/geocache/GC7FE1_happy-spelunking-at-howes-cave,N 45° 18.135,W 066° 04.053,Canada,New Brunswick,Saint John,200,8,,,
GC8554,Green Head Cave in the Shore Cliff Wall,https://www.geocaching.com/geocache/GC8554_green-head-cave-in-the-shore-cliff-wall,N 45° 16.862,W 066° 07.508,Canada,New Brunswick,Saint John,69,3,,,
GC8CAE,The Amazing Caverns of Kitt's Cave,https://www.geocaching.com/geocache/GC8CAE_the-amazing-caverns-of-kitts-cave,N 45° 33.478,W 065° 31.599,Canada,New Brunswick,Kings (New Brunswick),125,5,,,
GC8D04,Harbell's Cave in Rockwood Park,https://www.geocaching.com/geocache/GC8D04_harbells-cave-in-rockwood-park,N 45° 18.021,W 066° 03.051,Canada,New Brunswick,Saint John,33,2,,,
GC9138,Owens Lake Cave and Underwater River,https://www.geocaching.com/geocache/GC9138_owens-lake-cave-and-underwater-river,N 45° 19.223,W 066° 03.710,Canada,New Brunswick,Saint John,145,6,,,
GCG4YA,Catherine's Cave in Havelock,https://www.geocaching.com/geocache/GCG4YA_catherines-cave-in-havelock,N 46° 00.425,W 065° 22.444,Canada,New Brunswick,Kings (New Brunswick),24,1,,,
GCG7MW,Bats vs. Mosquitoes at Berryton Cave,https://www.geocaching.com/geocache/GCG7MW_bats-vs-mosquitoes-at-berryton-cave,N 45° 52.506,W 064° 52.298,Canada,New Brunswick,Albert,13,1,,,
GCG8RC,Jack Tar's Cave,https://www.geocaching.com/geocache/GCG8RC_jack-tars-cave,N 44° 38.323,W 066° 50.994,Canada,New Brunswick,Charlotte,5,1,,,
GCGYXR,"The ""Brains"" behind Howe's Cave",https://www.geocaching.com/geocache/GCGYXR_the-brains-behind-howes-cave,N 45° 18.174,W 066° 04.028,Canada,New Brunswick,Saint John,136,6,,,
GCH6BX,Descend Into The Netherworld At Glebe Pot (Cave),https://www.geocaching.com/geocache/GCH6BX_descend-into-the-netherworld-at-glebe-pot-cave,N 45° 39.966,W 065° 23.058,Canada,New Brunswick,Kings (New Brunswick),49,2,,,
GCJQEX,Jack Tar's Cave II,https://www.geocaching.com/geocache/GCJQEX_jack-tars-cave-ii,N 44° 38.306,W 066° 50.998,Canada,New Brunswick,Charlotte,73,3,,,
GCQR8W,French Fort Cave,https://www.geocaching.com/geocache/GCQR8W_french-fort-cave,N 47° 01.572,W 065° 33.483,Canada,New Brunswick,Northumberland (New Brunswick),65,3,,,
GCW6MH,Deadman's Cave,https://www.geocaching.com/geocache/GCW6MH_deadmans-cave,N 45° 25.233,W 065° 55.149,Canada,New Brunswick,Kings (New Brunswick),66,3,,,
GCWRJK,Return to Harbell's Cave,https://www.geocaching.com/geocache/GCWRJK_return-to-harbells-cave,N 45° 18.037,W 066° 03.030,Canada,New Brunswick,Saint John,222,9,,,
GCX4HT,The bunny cave.,https://www.geocaching.com/geocache/GCX4HT_the-bunny-cave,N 45° 04.697,W 067° 03.675,Canada,New Brunswick,Charlotte,82,4,,,
GC10R6K,Concrete Cave Cache,https://www.geocaching.com/geocache/GC10R6K_concrete-cave-cache,N 47° 00.835,W 065° 27.557,Canada,New Brunswick,Northumberland (New Brunswick),55,3,,,
GC123NG,OUTER WOOD ISLAND INDIAN CAVE,https://www.geocaching.com/geocache/GC123NG_outer-wood-island-indian-cave,N 44° 36.308,W 066° 49.389,Canada,New Brunswick,Charlotte,1,1,,,
GC13Z6J,The Lion's Den - A Rockwood Park Cave,https://www.geocaching.com/geocache/GC13Z6J_the-lions-den-a-rockwood-park-cave,N 45° 19.337,W 066° 03.710,Canada,New Brunswick,Saint John,123,5,,,
GC16QVH,Waterford Ice Cave,https://www.geocaching.com/geocache/GC16QVH_waterford-ice-cave,N 45° 40.795,W 065° 21.818,Canada,New Brunswick,Kings (New Brunswick),50,2,,,
