KeyID,SiteCode,Col Date,Species,Sex,Reprod Status,Age Class,Capture Time,Capture method,Recapture,Body wt (g),R Forearm (mm),BMI,WDI,UV,Feces,Band ID,wingPCR_Sum,wing_qPCR (Ct),wingFC_Pd,FecalPCR_Sum,Fecal qPCR (Ct),,
44690.001,IN1,7/18/2012,MYSO,M,NR,adult,21:20,harp trap,No,6.2,36.8,0.17,0,Neg,Yes,,Neg,0.00,,Pos,37.03,,
44690.002,IN1,7/18/2012,MYSO,M,NR,adult,21:25,harp trap,No,7.9,35.9,0.22,0,Neg,No,,Neg,0.00,,,,,
44690.003,IN1,7/18/2012,MYSO,M,NR,juv,21:29,harp trap,No,8.7,34.2,0.25,0,Neg,Yes,,Neg,0.00,,Pos,36.97,,
44690.004,IN1,7/18/2012,MYSO,M,NR,adult,21:36,harp trap,No,6.0,35.5,0.17,0,Neg,Yes,,Neg,0.00,,Neg,0.00,,
44690.005,IN1,7/18/2012,MYSO,M,NR,adult,21:37,harp trap,No,6.8,34.9,0.19,0,Neg,Yes,,Neg,0.00,,Pos,34.50,,
44690.006,IN1,7/18/2012,MYSO,M,NR,adult,21:40,harp trap,No,6.1,35.6,0.17,1,Neg,No,,Neg,0.00,,,,,
44690.007,IN1,7/18/2012,MYSO,F,NL,adult,21:42,harp trap,No,6.3,33.6,0.19,0,Neg,No,,Neg,0.00,,,,,
44690.008,IN1,7/18/2012,MYSO,M,NR,adult,21:46,harp trap,No,9.1,35.7,0.25,0,Neg,No,,Neg,0.00,,,,,
44690.009,IN1,7/18/2012,MYSO,M,NR,adult,21:58,harp trap,No,4.5,35.3,0.13,0,Neg,Yes,,Neg,0.00,,Pos,37.59,,
44690.010,IN1,7/18/2012,MYSO,M,NR,adult,21:59,harp trap,No,5.4,33.6,0.16,0,Neg,No,,Neg,0.00,,,,,
44690.011,IN1,7/18/2012,MYSO,M,NR,adult,22:03,harp trap,No,6.5,35.8,0.18,0,Neg,No,,Neg,0.00,,,,,
44690.012,IN1,7/18/2012,MYSO,M,NR,adult,22:06,harp trap,No,8.0,36.1,0.22,1,Neg,No,,Neg,0.00,,,,,
44690.013,IN1,7/18/2012,MYSO,M,NR,adult,22:09,harp trap,No,7.4,35.5,0.21,1,Neg,No,,Neg,0.00,,,,,
44690.014,IN1,7/18/2012,MYSO,M,NR,adult,22:10,harp trap,No,4.9,35.1,0.14,2,Neg,No,,Neg,0.00,,,,,
44690.015,IN1,7/18/2012,MYSO,M,NR,adult,22:12,harp trap,No,5.4,35.0,0.15,0,Neg,No,,Neg,0.00,,,,,
44690.016,IN1,7/18/2012,MYLU,M,NR,adult,22:42,harp trap,No,7.4,34.7,0.21,1,Neg,No,,Neg,0.00,,,,,
44690.017,IN1,7/18/2012,MYSO,F,NL,adult,22:53,harp trap,No,4.6,34.9,0.13,0,Neg,No,,Neg,0.00,,,,,
44690.018,IN1,7/18/2012,MYSO,M,NR,adult,22:56,harp trap,No,5.7,36.4,0.16,0,Neg,No,,Neg,0.00,,,,,
44690.019,IN1,7/18/2012,MYSO,M,NR,adult,23:05,harp trap,No,6.9,36.1,0.19,1,Neg,Yes,,Neg,0.00,,Neg,0.00,,
44690.020,IN1,7/19/2012,PESU,M,NR,adult,21:12,harp trap,No,4.8,29.7,0.16,0,Neg,No,,Neg,0.00,,,,,
44690.021,IN1,7/19/2012,MYSO,M,NR,adult,21:28,harp trap,No,5.8,36.2,0.16,0,Neg,No,,Neg,0.00,,,,,
44690.022,IN1,7/19/2012,MYSO,M,NR,adult,21:30,harp trap,No,7.0,34.7,0.20,0,Neg,No,,Neg,0.00,,,,,
