users	status	date	clean_log	i
Captainwilly	Found it	9/15/2013	Out this morning visiting the other puzzle caches that I had loaded in the gps before heading down to visit friends yesterday. This was one of my finds during the day. Enjoyed the puzzle and the visit to gz! Thanks for the fun!! Sad to see this one archived.	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
ArSoNOpTiKS	Found it	3/27/2013	Really enjoyed solving this one too. Sad to see it get archived. TFTPC.	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
Grey-n-Red	Found it	3/27/2013	Thanks for allowing me to log a find on this one. Enjoyed the puzzle.	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
osubrownsfan	Found it	3/26/2013	TFTC - - so sad to see a puzzle cache get archived, but if it has to be............	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
DACooper	Found it	3/26/2013	#1300 Well I feel kinda weird in claiming a find on this one, but I understand it's all about the puzzle, and this type of puzzle was right up my alley. TFTPC.	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
cache_n_out	Archive	3/26/2013	The final location is compromised. If you have solved email me the coords and you can log a find	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
greentreefrog1241	Didn't find it	1/24/2013	Nope	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
Grey-n-Red	Didn't find it	11/30/2012	No luck with this one today.	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
Landondena	Found it	9/23/2012	had this one solved for some time and today i got tired to it dangling out there, so I grabbed it!! TFTPC O.K.I.C. Website http://okicachers.com/ O.K.I.C. Facebook Page https://www.facebook.com/groups/311445168941211/	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
CherryCacher	Found it	1/10/2012	I solved this earlier but thought this would be a perfect time to find it as part of a challenge I was attempting to achieve on my way to SW Ohio to find the oldest remaining Ohio cache. I felt conspicuous as I retrieved the cache hoping that no one would come along until I got t back in place. Thanks for a fun scavenger hunt and a nice end.	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
Team-Alaska	Found it	9/11/2011	cool puzzle easy find when nobody is around on a Sunday morning. TFTC !!! (part of the Lost Challenge 23)	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
nadmerp	Found it	3/19/2011	able to get over and grab this one today. things were looking up once the geosense kicked in. tftc.	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
nadmerp	Write note	1/25/2011	not sure how but I stumbled onto the solution quickly. now I need to get out and find it. perhaps evil minds thinking alike...	https://www.geocaching.com/geocache/GC1KDBZ_is-mine-and-i-will-repay
