GC,title,lat,lon,country,region,county,numfinds,,
 GC102PW,Spidermans Cave,N 47° 08.554,E 015° 17.774,Austria,Steiermark,Graz-Umgebung,102,,
 GC10BZ6,Grotte Notre-Dame de Lourdes à Allain.,N 50° 35.914,E 003° 24.716,Belgium,Hainaut,Tournai,415,,
 GC113PK,Flint Mountain Cave,N 47° 08.259,E 017° 41.969,Hungary,Veszprém,Veszprémi járás,80,,
 GC119NK,Breadman's Cave,N 51° 42.168,E 006° 56.233,Germany,Nordrhein-Westfalen,Recklinghausen (Kr),70,,
 GC11WY1,new Baarburg-Cave,N 47° 12.360,E 008° 33.165,Switzerland,Zug,Baar (9),559,,
 GC129EE,La mine de Plombières,N 50° 44.280,E 005° 57.639,Belgium,Liège,Plombières,253,,
 GC12XAA,Above The Cave,N 50° 06.276,E 014° 21.066,Czechia,Hlavní město Praha,Hlavní město Praha,2565,,
 GC12Z0A,TCL#5 Jeskyne Salka / Cave Salka,N 49° 23.189,E 012° 53.435,Czechia,Plzeňský kraj,Domažlice,658,,
 GC1340J,Altes Bergwerk,N 47° 44.615,E 013° 00.600,Austria,Salzburg,Salzburg-Umgebung,355,,
 GC13D3G,CHYNOVSKA JESKYNE/CHYNOV CAVE,N 49° 25.760,E 014° 50.004,Czechia,Jihočeský kraj,Tábor,633,,
 GC13FDN,Nad jeskyni / Over the cave,N 49° 59.207,E 014° 01.854,Czechia,Středočeský kraj,Beroun,617,,
 GC13NFK,Lost Place: Ore Mine,N 46° 26.888,E 013° 34.347,Italy,Friuli-Venezia Giulia,Udine,434,,
 GC13R3Y,wet cave,N 47° 41.749,E 013° 40.503,Austria,Oberösterreich,Gmunden,186,,
 GC13XJJ,Die Aggertalhöhle - The Aggertal Cave,N 50° 59.630,E 007° 26.930,Germany,Nordrhein-Westfalen,Oberbergischer Kreis,241,,
 GC13XJP,Tropfsteinhöhle Wiehl - Stalactite Cave Wiehl,N 50° 56.321,E 007° 32.886,Germany,Nordrhein-Westfalen,Oberbergischer Kreis,346,,
 GC149E0,Dans ta cave Charles,N 47° 09.258,E 001° 01.845,France,Centre-Val-de-Loire,Indre-et-Loire,109,,
 GC14D7V,Grotte Cascade,N 46° 54.167,E 006° 36.972,Switzerland,Neuchâtel,Val-de-Travers (24),104,,
 GC14G0B,Descent to the salamander's cave,N 49° 47.664,E 006° 18.761,Luxembourg,Canton Echternach,Berdorf,471,,
 GC14NYQ,Amberstar 9 - Doras Mine,N 51° 32.677,E 006° 52.773,Germany,Nordrhein-Westfalen,Bottrop,29,,
 GC14RAV,Kubacher Crystal Cave,N 50° 28.091,E 008° 18.172,Germany,Hessen,Limburg-Weilburg (Lkr),1327,,
 GC14WC1,Sprengmastas Cave,N 48° 18.237,E 014° 20.508,Austria,Oberösterreich,Urfahr-Umgebung,407,,
 GC153HX,In the mountain mine,N 42° 54.633,W 000° 01.349,France,Occitanie,Hautes-Pyrénées,51,,
 GC154HD,Cave Canem,N 52° 37.914,E 009° 11.917,Germany,Niedersachsen,Nienburg/Weser (Lkr),24,,
 GC15E3R,Planina Cave,N 45° 49.355,E 014° 14.849,Slovenia,Littoral–Inner Carniola Region,Postojna,421,,
 GC16D4P,Lieglloch ( Höhle ),N 47° 34.359,E 014° 00.000,Austria,Steiermark,Bezirk Liezen,113,,
 GC16H2K,La grotte de Bulteau,N 50° 07.006,E 004° 56.119,Belgium,Namur,Beauraing,73,,
 GC16MY2,La cave des mouches 2,N 47° 50.302,E 001° 43.086,France,Centre-Val-de-Loire,Loiret,55,,
 GC16QF2,Dunsthöhle - The Vapours Cave,N 51° 59.334,E 009° 15.627,Germany,Niedersachsen,Hameln-Pyrmont (Lkr),1190,,
 GC178X7,Dave in China,N 42° 01.331,E 128° 03.595,China,Jilin, ,0,,
 GC17BPC,King Lokietek Cave,N 50° 12.095,E 019° 49.052,Poland,Małopolskie,Krakowski (Małopolskie),63,,
 GC17RMH,"Te mine pas, tu trouveras...",N 43° 37.018,E 003° 37.959,France,Occitanie,Hérault,22,,
 GC1853A,Mine Shaft No. 10,N 51° 36.074,E 006° 53.410,Germany,Nordrhein-Westfalen,Bottrop,360,,
 GC18DTN,Kopalnia Prezydent,N 50° 17.883,E 018° 58.110,Poland,Śląskie,Chorzów (Śląskie),33,,
 GC18KXW,BERCHTESGADEN -Salzbergwerk/ Salt Mine-,N 47° 38.276,E 013° 01.071,Germany,Bayern,Berchtesgadener Land (Lkr),411,,
 GC18NGT,Alte Mine,N 50° 16.656,E 007° 38.859,Germany,Rheinland-Pfalz,Rhein-Lahn-Kreis,810,,
 GC18P16,Cave canem,N 51° 03.542,E 006° 58.887,Germany,Nordrhein-Westfalen,Leverkusen,418,,
 GC18Y1D,Trpaslici jeskyne - Dwarfish cave,N 50° 46.431,E 014° 15.365,Czechia,Ústecký kraj,Děčín,128,,
 GC1969M,Demanovska Cave of Liberty,N 48° 59.880,E 019° 35.100,Slovakia,Žilinský kraj,Liptovský Mikuláš,1006,,
 GC1A0F6,DOWN TOWN CAVE,N 47° 48.290,E 013° 02.125,Austria,Salzburg,Salzburg,124,,
 GC1AT88,Grotta dell'Edera,N 44° 11.758,E 008° 19.189,Italy,Liguria,Savona,209,,
 GC1AW1C,GROTTA DEI PORCI,N 44° 04.824,E 010° 42.194,Italy,Toscana,Lucca,15,,
 GC1B1D5,Jaskinia Goryla,N 54° 29.708,E 018° 33.749,Poland,Pomorskie,Gdynia (Pomorskie),14,,
 GC1BCFF,Jack le Mineur et la Mine de Roly #3,N 50° 08.357,E 004° 32.815,Belgium,Namur,Philippeville,119,,
 GC1BDX5,Lourdes Grotte Zuckenriet,N 47° 29.283,E 009° 09.777,Switzerland,St. Gallen,Niederhelfenschwil (17),248,,
 GC1BF9D,supply cave//Fornitura grotta,N 45° 52.100,E 011° 47.751,Italy,Veneto,Treviso,96,,
 GC1BF9D,supply cave//Fornitura grotta,N 45° 52.100,E 011° 47.751,Italy,Veneto,Treviso,96,,
 GC1BJ13,grotta delle capre,N 41° 13.442,E 013° 04.968,Italy,Lazio,Latina,47,,
 GC1BJZ6,Gombasecká jaskyna - Gombasecká Cave,N 48° 33.767,E 020° 28.033,Slovakia,Košický kraj,Rožňava,432,,
 GC1BQNK,Jaskyna Domica - Domica cave,N 48° 28.717,E 020° 28.367,Slovakia,Košický kraj,Rožňava,490,,
 GC1BRE0,Jasovská jaskyna - Jasovská Cave,N 48° 40.622,E 020° 58.608,Slovakia,Košický kraj,Košice - okolie,333,,
 GC1BRE9,Dobšinská ladová jaskyna - Dobšinská Ice Cave,N 48° 52.061,E 020° 18.884,Slovakia,Košický kraj,Rožňava,818,,
 GC1BRF5,Demanovska Ice Cave,N 49° 00.965,E 019° 34.962,Slovakia,Žilinský kraj,Liptovský Mikuláš,1078,,
 GC1BWKZ,La grotta dimenticata dal tempo ,N 43° 41.574,E 010° 31.503,Italy,Toscana,Pisa,156,,
 GC1BZ6M,Krásnohorská jaskyna - Krásnohorská Cave,N 48° 37.075,E 020° 35.264,Slovakia,Košický kraj,Rožňava,319,,
 GC1C19Y,Smrduta Cave & Flint Block,N 49° 22.326,E 017° 45.582,Czechia,Zlínský kraj,Kroměříž,335,,
 GC1C2RA,Klenkes 2008 - Mystic Mine ,N 50° 36.073,E 006° 19.180,Germany,Nordrhein-Westfalen,Städteregion Aachen,136,,
 GC1C68F,La Grotta,N 46° 38.652,E 011° 51.921,Italy,Trentino-Alto Adige,Bolzano - Bozen,46,,
 GC1C99Q,Les caves cathédrales : La cave à vin,N 44° 19.542,E 004° 45.696,France,Auvergne-Rhône-Alpes,Drôme,475,,
 GC1CEBE,"Zsivány-valley, Benard cave",N 46° 58.765,E 017° 28.738,Hungary,Veszprém,Tapolcai járás,66,,
 GC1CENV,Grotta de Su Coloru,N 40° 49.082,E 008° 48.558,Italy,Sardegna,Sassari,164,,
 GC1CHXJ,La cave du curé,N 45° 32.213,E 004° 33.108,France,Auvergne-Rhône-Alpes,Loire,165,,
 GC1CHYE,Lourdes-Grotte Rheintal am Valentisberg,N 47° 17.242,E 009° 32.348,Switzerland,St. Gallen,Rüthi (SG) (17),380,,
 GC1CQWE,Moggaster Ruine,N 49° 46.146,E 011° 15.576,Germany,Bayern,Forchheim (Lkr),152,,
 GC1CT3K,BB#3: The Cave,N 48° 51.677,E 002° 15.499,France,Île-de-France,Paris,512,,
 GC1DG78,Ledena Jama,N 45° 59.355,E 013° 50.666,Slovenia,Goriška,Nova Gorica,62,,
 GC1DMB3,The Cave,N 46° 53.706,E 007° 59.387,Switzerland,Luzern,Flühli (3),64,,
 GC1DWWX,Ebermannstädter Aussichten,N 49° 46.664,E 011° 12.010,Germany,Bayern,Forchheim (Lkr),164,,
 GC1E5A2,Fränkischer Zuckerhut,N 49° 47.299,E 011° 12.814,Germany,Bayern,Forchheim (Lkr),259,,
 GC1EG4E,La mine du Coulmy,N 49° 32.176,E 005° 44.847,France,Grand-Est,Meurthe-et-Moselle,136,,
 GC1F9KC,Höhle oder Bergwerk ?,N 50° 55.136,E 010° 20.087,Germany,Thüringen,Wartburgkreis,103,,
 GC1FHV8,Cave Cache,N 45° 48.936,E 014° 07.610,Slovenia,Littoral–Inner Carniola Region,Postojna,76,,
 GC1FMW8,Baradla Barlang – Baradla Cave,N 48° 27.918,E 020° 29.910,Hungary,Borsod-Abaúj-Zemplén,Putnoki járás,278,,
 GC1FPA5,Kleine Höhle / Small cave,N 47° 46.391,E 013° 26.249,Austria,Salzburg,Salzburg-Umgebung,538,,
 GC1FPA5,Kleine Höhle / Small cave,N 47° 46.391,E 013° 26.249,Austria,Salzburg,Salzburg-Umgebung,538,,
 GC1FTVA,Lourdes - Grotte,N 47° 34.820,E 008° 12.532,Switzerland,Aargau,Leuggern (19),129,,
 GC1G1FN,Backes-Rallye: Pretzfeld,N 49° 45.308,E 011° 10.429,Germany,Bayern,Forchheim (Lkr),658,,
