users	status	date	clean_log	i
Bussard444	Found it	7/27/2009	Found this small duc taped square tupper ware container, while looking for the new Panther's Cave Cache,..Container was fairly dry,and log book was dry and easy to read... It was hidden on 8/20/06. and the last log was, 8/07/08... this log not shown in old log cache location,,,, PS the new larger camoed container with screw on top was placed less than 20 feet from the small earlier cache.. I signed log , and saw and talked to lknox met him at the parking area. he said he might pick up older cache THANKS FOR THE DOUBLE FIND !!!	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
Keystone	Archive	11/26/2007	Since my prior note, there's been no update or action from the cache owner, so I am archiving this listing.	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
Keystone	Post Reviewer Note	11/10/2007	Greetings from Geocaching.com I noticed that this cache has been temporarily disabled for well in excess of the period of 'a few weeks' as contemplated by the cache guidelines published on Geocaching.com. http://www.geocaching.com/about/guidelines.aspx#maint While Geocaching.com should hold the location for you and block other cachers from entering the area around this cache for a reasonable amount of time, we can't do so forever. Please either repair/replace this cache, or archive it so that someone else can place a cache in the area, and geocachers can once again enjoy visiting this location. Also, if you haven't done so already, please pick up any remaining cache bits as soon as possible. If there is a good reason for a long delay in enabling this cache, please post an update on the cache page so that everyone will know what's going on. I've placed this cache on a bookmark list, and I will check back in two weeks or so to make sure that the issue has been addressed. If not, then I'll need to archive this cache for lack of maintenance. I want to thank you for the time that you have taken to contribute to geocaching, and I'm looking forward to seeing your cache up and running in the future. Thanks for your understanding, Keystone Geocaching.com Volunteer Cache Reviewer	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
glorya	Temporarily Disable Listing	8/30/2007	Alright I just found the note that was left for me that says this cache was probably muggled out... darn them anyway!!! The good news is I've been looking for a new container for this cache anyway cause a few other logs say it's been damp or wet a few times...so this'll just get me into gear that much quicker!!! I'll let you all know when it's up and running again! Muggles....*sigh*	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
rustyspinner	Write note	8/25/2007	I am afraid this one might have been muggled. I found a tupperware type container with a bunch of ziplock bags near where the coords took me. It looks like someone emptied it and left the container. Just in case, I looked for quite a while and didn't find the cache. I had a wonderful time exploring the area though and can't wait to go back.	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
Grandpa and Grandma	Found it	8/11/2007	We have been wanting to do this one for quite sometime...we finally got there...WOW what a neat area. We were with keystonecanoer, who had been here two previous times, so she knew the area...armed with 3 GPS we circled the area and Grandpa's was right on. Found it without a problem. Thanks for bringing us to the area.	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
keystonecanoer	Found it	8/11/2007	Third time must be the charm for me in this cache. In with Grandpa and Grandma, and armed with a clue from two previous finders, we quickly found the cache. It is pretty damp inside - we tried to dry it out, but some of the swag was wet, so the interior will soon be wet again. TFTC	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
scottyg	Found it	7/25/2007	Here on vacation from NC. found this one with my brother rgusto. This one was a hard find. but we didnt give up and soon had the cache in hand, we spent lots of time climbing around on the rocks after. Great to be back in Pa. Thanks for the cache.	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
rgusto	Found it	7/25/2007	Found this one after much searching, the coordinates where right on. Out caching with scottyg from NC. Met a group from Wesley Woods out rock climbing. Had not been here for years.	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
cupprof	Found it	7/20/2007	The family was together again and found this cache despite the muggles. Had a little trouble finding this due to the satellite signals going in and out, but the youngest member of the clan found this one. TFTC! Great location, had a lot of fun exploring the caves and rocks. Left a matchbox car. Took the Otter Travel Bug for a new excursion.	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
tanya780	Found it	7/16/2007	found this a long time ago, TFTC	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
maz884	Found it	7/14/2007	This was a creative hide. Other forest caches are very easy quick finds but this one was a little tricky. Thanks! T - geocache poker chip L - otter travel bug	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
mcm_squared	Found it	6/14/2007	Finally! Enlisted help of a tour guide and made this one a lunch time run. The cache is only 2.5 miles from my house. Of course I had to drive about 15 to get to the cache...... Nice walk in and was glad I brought a tour guide as it was a pretty good hide. Spent some time exploring and checking out the rocks and caves. It's hard to belive that I have never been here before. TFTC M	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
geekygrrl	Needs Maintenance	5/29/2007	Cache was a little wet inside. I dumped the water and dried it out the best I could.	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
geekygrrl	Found it	5/26/2007	This was one of those caches that makes you glad to be a geocacher. If not for this sport we never would have gotten to see this cool place-especially since the land is POSTED...That was our first obstacle. (We once again didn't have the cache page!) After driving around looking for other ways in, we decided to stop & ask a local...she told us that the land is only posted to keep hunters out and that the guy who owns it let's people go down as long as they keep it clean. So, down we went. On arrival we quickly realized we were not alone! There was a group of people there with tents set up. They weren't really interested in us anyway, so we went and looked at the caves and then set about looking for the cache. GPS signals were everywhere, but sw6x finally found it. T-smokey the bear zipper pull & elephant L-matchbox car & stamp SL, TFTC After replacing the cache, we went back to check out the caves some more. Suddenly, two more muggles - or geocachers? - appeared. The one asked sw6x if that was a GPSr he had... Thunder started and we headed out of there right quick! FYI, After the cache we stopped down the road at the River Forks restaurant. The buffet was good and the dessert bar was yummy - and the view from the deck was beautiful...even in a thunderstorm! Located 2 miles south of Tionesta on 62 - no address given on website!	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
goldsnoop-	Found it	4/29/2007	Finally getting around to logging the end of this GeoRun with Tprints. I'm a little behind. Tprints had a DNF on the very tricky hide. I was off the coordintes working my towards GZ. There I searched for quite a while. Still no smiley. I had to think about some of my ticky wood hides. Then I searched in a new direction and there it was. Great hide. Very enjoyable cache and location. Thanks.	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
Tprints	Found it	4/29/2007	Finally got back to make another stab at this one. Started at ground zero and still didn't see anything in the obvious places. Hmmmm, that reminds me of the first time here. Then we spread out with still no luck. As we both made our way back to GZ to intensify our search there, Snoop finally spotted it. Very tricky hide indeed. Coordinates are very good but the hide is excellent. Now it was time to check out the rocks. Quite a drop-off in some places. Yikes! I don't like heights that much but Snoop is even worse I think. This place was great though and I had fun jumping around from one place to another until it was time to move on. TFTC	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
schabinski	Didn't find it	1/7/2007	WE couldn't find the Geocache but we did find the chair with the hole cut out. Ha Ha. or should I say we found the toilet. Lots of trash laying about and no geocache.	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
Grammy K	Found it	1/3/2007	Found this one with lknox	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
lknox	Found it	1/3/2007	I was quite surprised, I had little trouble finding it, actually my wife spotted it. It was right where it was supposed to be. We checked out the rocks, I showed her where we took the Boy Scouts to repell off of Kissface rock. Of course she thought we were all nuts. Talked to three kids then watched them enter panther caves they were still down in there when we left. Got back to the car just before dark. Thanks	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
Kaslow	Found it	1/1/2007	I got lucky on this one because a little bit of one corner was showing. Thanks.	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
jhwjohn	Found it	12/23/2006	Nice cache close where were staying for Christmas, Henry's Bend! Wasnt very optimistic when starting the hike from the DNFs but I did want to see the caves. It was getting dark and didnt see any caves. But I did find the cache after a few minutes search while the GPS was settling down. After standing still for a few minutes the coordinates were dead on. Nice cache and very nice hike. TFTC! If there was only some snow to go snowcaching, dont get to do that often in FL.	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
glorya	Write note	10/29/2006	It's seeming that maybe it's time I got back out there and checked on this cache but the weather has been so lousy lately and getting worse. If a nice day ever comes back I'll be going to check on this. But until then I'm so sorry to those who haven't been able to find it. Actually it kind of surprises me on some of the days a few of you have logged your entry for this...haven't all been very nice days to be out! Even if your a duck!! But I guess I really shouldn't be too surprised should I? I see some of you out there are really die-hard geocachers!! Glorya	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
Rev Mike	Didn't find it	10/21/2006	YYAAARRR !!! This is not only a DNF but is now at the top of my list of DNFs that I need to clear up. We looked for about an hour - no sign of the cache. I even found a camping chair. I will be back soon for this one and I wonder if the owner could take a look to see if everything is in order. Rev Mike	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
Tprints	Didn't find it	10/21/2006	Dang! The cache we were mainly looking forward to but it ends up with a DNF. I think there are just too many leaves on the ground now as we looked for a pretty good long time with no luck. Poked and proded all over the place but never came up with a thing. The only DNF out of close to 60 caches so it was still a productive weekend. Couldn't even enjoy the rocks due to the disappoinment of not finding the cache. That will have to wait until a return trip to hopefully find it. TFTH	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
BusyMamaBee	Found it	9/23/2006	OUt with GKellogg for a quick cache before a meeting. Almost gave up before we go to it! Great location overall!! Thanks! ~Mamabee	https://www.geocaching.com/geocache/GCXVYE_panthers-cave-cache
