"","county1","county2","year","num.shared","incidence","date","inf.counties","uninf.counties","touching"
"1","Albert County-New Brunswick","Essex-New York",2013,1,0,2013-01-01,730,6505,0
"2","Albert County-New Brunswick","Essex-New York",2014,1,0,2014-01-01,760,6531,0
"3","Albert County-New Brunswick","Essex-New York",2007,1,0,2007-01-01,20,6541,0
"4","Albert County-New Brunswick","Essex-New York",2011,1,0,2011-01-01,464,6489,0
"5","Albert County-New Brunswick","Essex-New York",2017,1,0,2017-01-01,760,6561,0
"6","Albert County-New Brunswick","Essex-New York",2010,1,0,2010-01-01,392,6351,0
"7","Albert County-New Brunswick","Essex-New York",2008,1,0,2008-01-01,110,6471,0
"8","Albert County-New Brunswick","Essex-New York",2018,1,0,2018-01-01,760,6561,0
"9","Albert County-New Brunswick","Essex-New York",2015,1,0,2015-01-01,760,6561,0
"10","Albert County-New Brunswick","Essex-New York",2012,1,0,2012-01-01,674,6351,0
"11","Albert County-New Brunswick","Essex-New York",2009,1,0,2009-01-01,182,6489,0
"12","Albert County-New Brunswick","Essex-New York",2006,1,0,2006-01-01,0,6561,0
"13","Albert County-New Brunswick","Fairfield-Connecticut",2017,1,0,2017-01-01,760,6561,0
"14","Albert County-New Brunswick","Fairfield-Connecticut",2008,1,0,2008-01-01,110,6471,0
"15","Albert County-New Brunswick","Fairfield-Connecticut",2009,1,0,2009-01-01,182,6489,0
"16","Albert County-New Brunswick","Fairfield-Connecticut",2018,1,0,2018-01-01,760,6561,0
"17","Albert County-New Brunswick","Fairfield-Connecticut",2010,1,1,2010-01-01,392,6351,0
"18","Albert County-New Brunswick","Fairfield-Connecticut",2007,1,0,2007-01-01,20,6541,0
"19","Albert County-New Brunswick","Fairfield-Connecticut",2012,1,0,2012-01-01,674,6351,0
"20","Albert County-New Brunswick","Fairfield-Connecticut",2013,1,0,2013-01-01,730,6505,0
"21","Albert County-New Brunswick","Fairfield-Connecticut",2006,1,0,2006-01-01,0,6561,0
"22","Albert County-New Brunswick","Fairfield-Connecticut",2014,1,0,2014-01-01,760,6531,0
"23","Albert County-New Brunswick","Fairfield-Connecticut",2011,1,0,2011-01-01,464,6489,0
"24","Albert County-New Brunswick","Fairfield-Connecticut",2015,1,0,2015-01-01,760,6561,0
"25","Albert County-New Brunswick","Haliburton County-Ontario",2014,1,0,2014-01-01,760,6531,0
"26","Albert County-New Brunswick","Haliburton County-Ontario",2015,1,0,2015-01-01,760,6561,0
"27","Albert County-New Brunswick","Haliburton County-Ontario",2017,1,0,2017-01-01,760,6561,0
"28","Albert County-New Brunswick","Haliburton County-Ontario",2012,1,0,2012-01-01,674,6351,0
"29","Albert County-New Brunswick","Haliburton County-Ontario",2018,1,0,2018-01-01,760,6561,0
"30","Albert County-New Brunswick","Haliburton County-Ontario",2009,1,0,2009-01-01,182,6489,0
"31","Albert County-New Brunswick","Haliburton County-Ontario",2011,1,0,2011-01-01,464,6489,0
"32","Albert County-New Brunswick","Haliburton County-Ontario",2013,1,0,2013-01-01,730,6505,0
"33","Albert County-New Brunswick","Haliburton County-Ontario",2006,1,0,2006-01-01,0,6561,0
"34","Albert County-New Brunswick","Haliburton County-Ontario",2007,1,0,2007-01-01,20,6541,0
"35","Albert County-New Brunswick","Haliburton County-Ontario",2008,1,0,2008-01-01,110,6471,0
"36","Albert County-New Brunswick","Haliburton County-Ontario",2010,1,1,2010-01-01,392,6351,0
"37","Albert County-New Brunswick","Marquette-Michigan",2009,1,0,2009-01-01,182,6489,0
"38","Albert County-New Brunswick","Marquette-Michigan",2018,1,0,2018-01-01,760,6561,0
"39","Albert County-New Brunswick","Marquette-Michigan",2007,1,0,2007-01-01,20,6541,0
"40","Albert County-New Brunswick","Marquette-Michigan",2010,1,0,2010-01-01,392,6351,0
"41","Albert County-New Brunswick","Marquette-Michigan",2015,1,0,2015-01-01,760,6561,0
"42","Albert County-New Brunswick","Marquette-Michigan",2013,1,0,2013-01-01,730,6505,0
"43","Albert County-New Brunswick","Marquette-Michigan",2014,1,0,2014-01-01,760,6531,0
"44","Albert County-New Brunswick","Marquette-Michigan",2012,1,0,2012-01-01,674,6351,0
"45","Albert County-New Brunswick","Marquette-Michigan",2008,1,0,2008-01-01,110,6471,0
