"","gc.lat","gen.lat","gc.lon","gen.lon","Country","Province","cave","GC","mean"
"1",38.33027,38.2924,-86.40371,-86.4517,"USA","IN","Missing","GC7N694",2.5
"2",38.33094,38.2924,-86.40107,-86.4517,"USA","IN","Missing","GC4BZEZ",2.5
"3",38.59527,38.653343,-82.51563,-82.516937,"USA","OH","Lawrence North Carolina","GCRWHQ",2.5
"4",42.14768,42.1531,-72.55524,-72.6316,"USA","MA","Missing","GCKAXG",3.375
"5",42.40514,42.3707,-73.15222,-73.2064,"USA","MA","Missing","GC47ERH",5
"6",43.10892,43.0355,-73.08997,-73.093,"USA","VT","Missing","GC4FPGC",8
"7",43.10892,43.0355,-73.08997,-73.093,"USA","VT","Missing","GC1D7RR",4.5
"8",44.28848,44.28,-77.397,-77.28,"Canada","ON","Missing","GCV1BH",23.25
"9",44.28891,44.28,-77.39525,-77.28,"Canada","ON","Missing","GC1GMB4",26.8333333333333
"10",44.30569,44.28,-77.3742,-77.28,"Canada","ON","Missing","GCV1BW",14
"11",44.30569,44.28,-77.3742,-77.28,"Canada","ON","Missing","GC15VGE",8.5
"14",44.35196,44.28,-77.31386,-77.28,"Canada","ON","Missing","GCV1BN",15.2
"15",44.49681,44.5629,-68.28486,-68.3682,"USA","ME","Missing","GC1H3WW",3.90909090909091
"16",44.52652,44.5629,-68.41354,-68.3682,"USA","ME","Missing","GC423HN",10.5
"17",44.55979,44.5629,-68.40913,-68.3682,"USA","ME","Missing","GC3F8QB",11.1428571428571
"18",45.16862,45.180017,-66.07508,-66.030033,"Canada","NB","Harbells Cave","GC8554",5.4
"67",45.18021,45.180017,-66.03051,-66.030033,"Canada","NB","Harbells Cave","GC8D04",8
"116",45.18037,45.180017,-66.0303,-66.030033,"Canada","NB","Harbells Cave","GCWRJK",17.8571428571429
"165",45.18135,45.180017,-66.04053,-66.030033,"Canada","NB","Harbells Cave","GC7FE1",12.8823529411765
"214",45.18174,45.180017,-66.04028,-66.030033,"Canada","NB","Harbells Cave","GCGYXR",11.1333333333333
"263",45.19223,45.180017,-66.0371,-66.030033,"Canada","NB","Harbells Cave","GC9138",9.70588235294118
"312",45.19337,45.180017,-66.0371,-66.030033,"Canada","NB","Harbells Cave","GC13Z6J",9.84615384615385
"361",45.33478,45.36055,-65.31599,-65.26024,"Canada","NB","Markhamville Mine","GC8CAE",7.27777777777778
"586",45.33534,45.36055,-65.34511,-65.26024,"Canada","NB","Markhamville Mine","GC1GCX8",8.09090909090909
"811",45.36318,45.36055,-65.32291,-65.26024,"Canada","NB","Markhamville Mine","GC3QB8X",6.66666666666667
"1036",45.36414,45.36055,-65.32322,-65.26024,"Canada","NB","Markhamville Mine","GC3PPYW",6.14285714285714
"1261",45.3959,45.39043,-65.22884,-65.22053,"Canada","NB","Glebe Mine","GCH6C7",4.36363636363636
"1361",45.39966,45.39043,-65.23058,-65.22053,"Canada","NB","Glebe Mine","GCH6BX",4.84615384615385
"1461",45.40795,45.39043,-65.21818,-65.22053,"Canada","NB","Glebe Mine","GC16QVH",4.72727272727273
"1561",45.55829,45.560171,-64.29205,-64.280423,"Canada","NB","Dorchester Mine","GC1Y804",9
"1586",45.55832,45.560171,-64.29234,-64.280423,"Canada","NB","Dorchester Mine","GC1YRMV",7.6
"1611",45.56355,45.560171,-64.28465,-64.280423,"Canada","NB","Dorchester Mine","GC14EXC",8.63636363636364
"1636",45.57437,45.52,-71.19661,-71.28,"Canada","QU","Missing","GCQDW6",7.8
"1640",45.59101,45.52,-71.23476,-71.28,"Canada","QU","Missing","GCVBQ3",14
"1644",45.59342,45.52,-71.23706,-71.28,"Canada","QU","Missing","GCYTDR",4.2
"1648",45.59969,45.52,-71.24823,-71.28,"Canada","QU","Missing","GCYTDM",3.8
"1652",48.08675,48.15,-80.031,-80.03,"Canada","ON","Missing","GC3THWG",5.875
"1654",48.09011,48.15,-80.02086,-80.03,"Canada","ON","Missing","GC7QB44",5
