Region,Country,Province,StrainID,sra_code,lat,lon,cave,year,adj.lat,adj.lon
North America,USA,NC,US7,US7,36.140093,-81.907196,Avery,2011,36.140093,-81.907196
North America,USA,NC,US8,US8,36.140093,-81.907196,Avery,2011,36.140093,-81.907196
North America,Canada,NB,NB16,NB16,45.923222,-64.645711,Berryton Cave,2012,45.8751,-64.871633
North America,Canada,NB,NB14,NB14,45.923222,-64.645711,Berryton Cave,2012,45.8751,-64.871633
North America,Canada,NB,NB10,NB10,45.923222,-64.645711,Berryton Cave,2012,45.8751,-64.871633
North America,Canada,NB,NB11,NB11,45.923222,-64.645711,Berryton Cave,2012,45.8751,-64.871633
North America,Canada,NB,NB13,NB13,45.923222,-64.645711,Berryton Cave,2012,45.8751,-64.871633
North America,Canada,NB,NB17,NB17,45.923222,-64.645711,Berryton Cave,2012,45.8751,-64.871633
North America,Canada,NB,NB18,NB18,45.923222,-64.645711,Berryton Cave,2012,45.8751,-64.871633
North America,Canada,NB,NB7,NB7,45.923222,-64.645711,Berryton Cave,2012,45.8751,-64.871633
North America,Canada,NB,NB53,NB53,45.923222,-64.645711,Berryton Cave,2012,45.8751,-64.871633
North America,Canada,NB,NB19,NB19,45.923222,-64.645711,Berryton Cave,2012,45.8751,-64.871633
North America,Canada,NB,NB12,NB12,45.923222,-64.645711,Berryton Cave,2012,45.8751,-64.871633
North America,Canada,NB,NB20,NB20,45.923222,-64.645711,Berryton Cave,2012,45.8751,-64.871633
North America,Canada,NB,NB21,NB21,45.923222,-64.645711,Berryton Cave,2012,45.8751,-64.871633
North America,Canada,NB,NB22,NB22,45.923222,-64.645711,Berryton Cave,2011,45.8751,-64.871633
North America,Canada,PEI,PE6,PE6,46.060933,-62.710862,Caledonia,2013,46.060933,-62.710862
North America,Canada,NB,NB3,NB3,45.560171,-64.280423,Dorchester Mine,2012,45.8751,-64.871633
North America,Canada,NB,NB35,NB35,45.560171,-64.280423,Dorchester Mine,2012,45.8751,-64.871633
North America,Canada,NB,NB48,NB48,45.560171,-64.280423,Dorchester Mine,2012,45.8751,-64.871633
North America,Canada,NB,NB27,NB27,45.560171,-64.280423,Dorchester Mine,2012,45.8751,-64.871633
North America,Canada,NB,NB49,NB49,45.560171,-64.280423,Dorchester Mine,2012,45.8751,-64.871633
North America,Canada,NB,NB26,NB26,45.560171,-64.280423,Dorchester Mine,2012,45.8751,-64.871633
North America,Canada,NS,NS1,NS1,45.000131,-64.157238,Falmouth,2013,45.000131,-64.157238
North America,USA,WV,US12,US12,38.084851,-81.073608,Fayette,2011,38.084851,-81.073608
North America,Canada,NB,NB4,NB4,45.39043,-65.22053,Glebe Mine,2012,45.659833,-65.3814
