"","GC","title","url","lat","lon","country","province.state","county","numfinds","numpage"
"14","GC10YQ6","MosquitoCave","https://www.geocaching.com/geocache/GC10YQ6_mosquitocave","41.9498833333333","-90.3589166666667","UnitedStates","Iowa","LinnCounty","114","NA"
"33","GC12F46","WhiskeyCaveMathTest","https://www.geocaching.com/geocache/GC12F46_whiskeycavemathtest","42.7095833333333","-101.017666666667","UnitedStates","Nebraska","DawesCounty","16","NA"
"40","GC12W8A","BraveTheCave","https://www.geocaching.com/geocache/GC12W8A_bravethecave","33.7114","-116.830483333333","UnitedStates","California","RiversideCounty","59","NA"
"43","GC133TD","BraveTheCave#2","https://www.geocaching.com/geocache/GC133TD_bravethecave2","33.7043666666667","-116.828983333333","UnitedStates","California","RiversideCounty","22","NA"
"47","GC13RAG","CreekCaveCache","https://www.geocaching.com/geocache/GC13RAG_creekcavecache","42.2034166666667","-105.4074","UnitedStates","Wyoming","CarbonCounty","22","NA"
"55","GC145P7","FUNK'sMINE","https://www.geocaching.com/geocache/GC145P7_funksmine","41.0529666666667","-105.827683333333","UnitedStates","Wyoming","AlbanyCounty","63","NA"
"70","GC14G7D","RussellCaveNationalPark","https://www.geocaching.com/geocache/GC14G7D_russellcavenationalpark","NA","NA","NA","NA","NA","NA","NA"
"93","GC16E6D","Montreal’sMileMine","https://www.geocaching.com/geocache/GC16E6D_montrealsmilemine","46.4315","-89.7687666666667","UnitedStates","Wisconsin","IronCounty","243","NA"
"95","GC16GH3","BrokenBootGoldMine","https://www.geocaching.com/geocache/GC16GH3_brokenbootgoldmine","44.37085","-102.256683333333","UnitedStates","SouthDakota","LawrenceCounty","74","NA"
"96","GC16H30","FrankensteinCave","https://www.geocaching.com/geocache/GC16H30_frankensteincave","42.1958","-89.1246833333333","UnitedStates","Iowa","JacksonCounty","86","NA"
"97","GC16J29","BoomHollowCave","https://www.geocaching.com/geocache/GC16J29_boomhollowcave","45.0843333333333","-91.2138333333333","UnitedStates","Minnesota","WashingtonCounty","419","NA"
"115","GC17N05","BellIslandMine#2","https://www.geocaching.com/geocache/GC17N05_bellislandmine2","47.4246","-51.0085666666667","Canada","NewfoundlandandLabrador","DivisionNo.1AvalonPeninsula-St.John's","75","NA"
"134","GC18V7J","SunkenCave","https://www.geocaching.com/geocache/GC18V7J_sunkencave","34.6432","-87.8593333333333","UnitedStates","Mississippi","TishomingoCounty","315","NA"
"136","GC18VWV","HawkinsMine","https://www.geocaching.com/geocache/GC18VWV_hawkinsmine","47.3805","-92.8307833333333","UnitedStates","Minnesota","ItascaCounty","144","NA"
"147","GC19PXB","ThisMineisOK!","https://www.geocaching.com/geocache/GC19PXB_thismineisok","34.0478166666667","-114.299133333333","UnitedStates","California","SanBernardinoCounty","43","NA"
"153","GC19VAD","RoseValleyFalls--InTheCave","https://www.geocaching.com/geocache/GC19VAD_rosevalleyfallsinthecave","34.5273666666667","-118.819116666667","UnitedStates","California","VenturaCounty","53","NA"
"177","GC1B0EQ","OatHillMineRoadTrailhead","https://www.geocaching.com/geocache/GC1B0EQ_oathillmineroadtrailhead","38.5896833333333","-121.422383333333","UnitedStates","California","NapaCounty","391","NA"
"178","GC1B344","ThisviewofthedunesisMine","https://www.geocaching.com/geocache/GC1B344_thisviewofthedunesismine","34.9231666666667","-114.427983333333","UnitedStates","California","SanBernardinoCounty","0","NA"
"186","GC1BPYY","MastodonMine","https://www.geocaching.com/geocache/GC1BPYY_mastodonmine","33.7344333333333","-114.200116666667","UnitedStates","California","RiversideCounty","180","NA"
"197","GC1DB9F","MysteryCave","https://www.geocaching.com/geocache/GC1DB9F_mysterycave","43.6175666666667","-91.6880333333333","UnitedStates","Minnesota","FillmoreCounty","142","NA"
