NAME               X_COORD      Y_COORD   First  Hum          
ANDOVER            103.0220     68.7119   37     170.8	      
ANSONIA             46.4195     28.4388   18     2968.20      
ASHFORD            118.5716     88.2521   41     101.5	      
AVON                63.4369     76.5096   18     620.4	      
BARKHAMSTED         54.6759     91.6006   24     97.2		      
BEACON_FALLS        47.8873     35.9338   18     562.6	      
BERLIN              71.0971     56.5566   19     648.4	      
BETHANY             52.8412     35.6861   28     222.7	      
BETHEL              20.5493     30.5946   7      1056.90      
BETHLEHEM           35.4109     60.0426   14     175.6	      
BLOOMFIELD          73.5281     80.6378   15     728.8	      
BOLTON              97.1966     73.9868   32     325.4	      
BOZRAH             118.7092     50.6853   35     115.7	      
BRANFORD            68.6660     22.6134   17     1296.00      
BRIDGEPORT          37.0163     11.9259   9      8623.30      
BRIDGEWATER         22.7510     47.4745   3      103.5	      
BRISTOL             57.1068     64.9047   17     2310.90      
BROOKFIELD          21.2832     42.2454   12     734.2	      
BROOKLYN           136.2312     76.2344   40     235		      
BURLINGTON          55.6850     73.4364   16     247.3	      
CANAAN              27.7049     94.7655   21     32.2		      
CANTERBURY         131.8278     67.0606   38     113.3	      
CANTON              59.5380     84.5825   23     346		      
CHAPLIN            122.1952     76.6931   36     111.6	      
CHESHIRE            60.6848     46.3277   23     838.8	      
CHESTER             94.1234     35.0898   32     218.3	      
CLINTON             89.4906     23.8978   16     786.2	      
COLCHESTER         105.4072     50.2725   41     256.8	      
COLEBROOK           46.0984     99.0313   27     43.2		      
COLUMBIA           107.8841     66.0973   32     219.1	      
CORNWALL            26.2371     83.2982   18     30			      
COVENTRY           104.6274     75.5464   30     280.8	      
CROMWELL            79.2618     56.6942   28     1002.30      
DANBURY             14.0634     34.8146   3      1533.50      
DARIEN              13.1644     0.36695   10     1438.40      
DEEP_RIVER          95.0407     31.2827   22     324.6	      
DERBY               44.6765     26.8334   28     2467.70      
DURHAM              77.5646     41.3280   32     251.2	      
EAST_GRANBY         73.8033     92.4721   27     251.2	      
EAST_HADDAM         100.774     43.8049   29     128.8	      
EAST_HAMPTON        92.1968     50.6394   32     304.3	      
EAST_HARTFORD       82.6561     73.5281   31     2739.60      
EAST_HAVEN          63.9415     24.6317   25     2214.10      
EAST_LYME          113.9388     31.6496   38     453		      
EAST_WINDSOR        86.8302     88.8814   32     384.5	      
EASTFORD           125.4978     88.1604   41     47.8		      
EASTON              28.3471     18.2559   8      226.4	      
ELLINGTON           99.4900     92.1235   33     332.7	      
ENFIELD             88.2062     97.5177   15     1366.10      
ESSEX               98.9855     28.0718   27     572.1	      
FAIRFIELD           30.0442     11.0085   7      1791.80      
FARMINGTON          64.8864     70.3173   29     759.2	      
FRANKLIN           121.0035     57.9785   46     87.6		      
GLASTONBURY         88.8025     65.9139   26     554.6	      
GOSHEN              33.9890     83.1606   24     54.3		      
GRANBY              65.6386     93.6647   19     234.4	      
GREENWICH            0.0000      0.0000   6      1194.50      
GRISWOLD           138.2036     54.4007   48     292.3	      
GROTON             130.7269     30.0901   35     1417.40      
GUILFORD            75.6381     28.9892   18     428.3	      
HADDAM              88.2521     42.0619   27     157.1	      
HAMDEN              58.9876     34.6770   26     1586.50      
HAMPTON            127.9289     75.8216   39     65.6		      
HARTFORD            77.1977     73.8492   32     7616.00      
HARTLAND            56.6942     99.1690   18     58.1		      
HARWINTON           47.3369     72.6107   21     174		      
HEBRON             101.0496     63.0241   32     201.1	      
KENT                15.8707     70.4549   11     60			      
KILLINGLY          144.0289     81.7387   41     323.2	      
KILLINGWORTH        86.9219     32.5670   21     139.8	      
LEBANON            112.5169     59.7671   46     117.2	      
LEDYARD            131.4608     39.6767   46     416.3	      
LISBON             131.4149     56.4648   37     235.6	      
LITCHFIELD          35.9613     70.7301   18     151.4	      
LYME               104.3522     34.0348   40     60.6		      
MADISON             80.9131     29.4938   19     437.1	      
MANCHESTER          90.2245     75.1335   20     1915.80      
MANSFIELD          114.6268     75.9592   32     441.2	      
MARLBOROUGH         95.6370     60.1802   28     244		      
MERIDEN             68.2990     49.4927   18     2441.80      
MIDDLEBURY          42.4747     48.5753   17     354.9	      
MIDDLEFIELD         75.2712     47.0617   21     311.1	      
MIDDLETOWN          79.5828     50.9147   33     1051.10      
MILFORD             48.4377     16.1917   18     2244.60      
MONROE              34.2642     28.8975   13     668.9	      
MONTVILLE          121.2320     41.9702   47     402.2	      
MORRIS              35.4109     65.6845   21     122.2	      
NAUGATUCK           47.7497     44.0343   20     1998.70      
NEW_BRITAIN         69.3540     62.7948   18     5365.60      
NEW_CANAAN          11.1003     9.72425   7      820.1	      
NEW_FAIRFIELD      13.1185     44.4930   6      651.8	      
NEW_HARTFORD        51.7862     82.6561   16     158		      
NEW_HAVEN           59.0335     24.0812   26     6564.70      
NEW_LONDON         124.0759     29.1727   46     4859.10      
NEW_MILFORD         19.0356     55.7309   11     399.1	      
NEWINGTON           73.9409     65.2776   28     2214.60      
NEWTOWN             29.8149     34.9063   9      377.1	      
NORFOLK             36.9246     97.1048   23     45.9		      
NORTH_BRANFORD      69.7669     31.4171   19     544.1	      
NORTH_CANAAN        28.9434     101.141   19     167.1	      
NORTH_HAVEN         63.9415     33.1633   20     1082.70      
NORTH_STONINGTON   142.9281     42.6582   41     91.3		      
NORWALK             17.7513      4.5869   7      3449.80      
NORWICH            125.4520     51.2816   36     1271.50      
OLD_LYME           108.3428     26.5582   45     289.2	      
OLD_SAYBROOK       101.2789     24.2647   28     637.3	      
ORANGE              49.5845     21.8336   19     740.6	      
OXFORD              41.5574     38.1630   26     291.9	      
PLAINFIELD         140.1301     67.7027   37     342.8	      
PLAINVILLE          63.8956     63.8039   20     1791.40      
PLYMOUTH            50.2725     62.9324   16     549.6	      
POMFRET            133.8919     84.4908   40     79.9		      
PORTLAND            85.9128     56.0979   30     364		      
PRESTON            132.1947     47.6121   37     172.8	      
PROSPECT            54.3548     45.3645   19     565.6	      
PUTNAM             143.1574     88.5732   16     439.6	      
REDDING             21.1456     24.5399   3      255.2	      
RIDGEFIELD          11.3296     25.4573   1      626.7	      
ROCKY_HILL          79.1242     62.1985   21     1252.10      
ROXBURY             28.0718     51.4192   15     70.2		      
SALEM              111.1867     44.2178   41     125		      
SALISBURY           18.2559     97.7929   18     69.6		      
SCOTLAND           125.4061     67.0606   49     67.7		      
SEYMOUR             44.5847     31.0533   13     1009.40      
SHARON              17.4761     83.9863   18     48.7		      
SHELTON             41.6491     22.8428   10     1188.50      
SHERMAN             12.4763     52.1990   8      134.4	      
SIMSBURY            66.4643     85.1163   23     660.5	      
SOMERS              96.1875     98.0222   33     326.7	      
SOUTH_WINDSOR       87.1971     81.1424   12     822.1	      
SOUTHBURY           33.2092     42.0619   17     435.2	      
SOUTHINGTON         62.2902     56.4189   28     1083.60      
SPRAGUE            126.6445     59.2628   49     234.6	      
STAFFORD           107.4254     97.6094   35     195.8	      
STAMFORD             6.9721      3.3484   7      2836.90      
STERLING           147.0563     68.4367   39     91.4		      
STONINGTON         141.0474     32.8422   49     430.8	      
STRATFORD           41.2821     14.5405   11     2833.50      
SUFFIELD            77.0600     97.9305   17     275		      
THOMASTON           44.9058     62.4278   13     591.1	      
THOMPSON           142.3777     97.1507   38     188.3	      
TOLLAND            103.0220     85.9587   38     285		      
TORRINGTON          42.3830     81.6011   17     857.2	      
TRUMBULL            35.6402     19.8154   10     1397.00      
UNION              119.6266     98.3892   17     21.6		      
VERNON              95.3618     81.4635   36     1654.80      
VOLUNTOWN          146.0472     54.2172   40     56.1		      
WALLINGFORD         67.9780     41.0528   20     1060.40      
WARREN              24.4977     71.1888   16     46			      
WASHINGTON          26.7875     62.0608   12     102.9	      
WATERBURY           50.2725     49.8597   19     3791.80      
WATERFORD          120.1770     31.6588   50     545.9	      
WATERTOWN           43.3004     58.1161   18     713.4	      
WEST_HARTFORD       71.7851     73.5740   18     2675.40      
WEST_HAVEN          55.6392     21.1915   18     4968.80      
WESTBROOK           95.2701     24.8610   33     342.3	      
WESTON              22.2465     16.3294   7      433.8	      
WESTPORT            24.1271      7.7060   9      1242.40      
WETHERSFIELD        79.3994     66.6478   24     2069.00      
WILLINGTON         111.2784     84.9954   37     190.7	      
WILTON              16.3752     14.7698   3      612.2	      
WINCHESTER          44.2636     90.4538   25     362.8	      
WINDHAM            118.0212     67.7945   38     799.4	      
WINDSOR             78.8033     84.8119   27     953.6	      
WINDSOR_LOCKS       79.6287     90.4538   29     420.5	      
WOLCOTT             54.3548     56.1437   18     680.3	      
WOODBRIDGE          49.3643     29.6773   21     425.8	      
WOODBURY            35.9155     52.1530   15     238.6	      
WOODSTOCK          130.3599     96.3251   37     103.1	      

