,NAU.sample.ID,Pd1,Pd2,Pd3,Pd4,Pd5,Pd6,Pd7,Pd8,Pd9,Pd10,Pd11,Pd12,Pd13,Pd14,Pd15,Pd16,Pd17,Pd18,Pd19,Pd20,Pd21,Pd22,Pd23,Pd1_bins,Pd2_bins,Pd3_bins,Pd4_bins,Pd5_bins,Pd6_bins,Pd7_bins,Pd8_bins,Pd10_bins,Pd11_bins,Pd12_bins,Pd13_bins,Pd14_bins,Pd15_bins,Pd16_bins,Pd17_bins,Pd18_bins,Pd19_bins,Pd20_bins,Pd21_bins,Pd22_bins,Pd23_bins
Gd00500,Gd00500,205,201,263,389,358,208,274,431,379,232,309,147,371,299,418,318,274,167,309,192,264,332,341,NA,NA,NA,NA,NA,207,NA,408,231,308,141,NA,NA,412,315,268,155,NA,186,259,331,NA
Gd00085,Gd00085,282,253,354,421,274,214,441,431,394,238,388,147,438,263,424,318,274,167,280,192,290,322,350,276,NA,353,415,273,213,436,408,237,386,141,432,251,412,315,268,155,276,186,289,321,346
Gd00486,Gd00486,282,254,354,421,273,214,436,431,394,237,388,147,438,263,424,318,274,167,275,192,290,321,351,276,NA,353,415,267,213,431,408,231,386,141,432,251,412,315,268,155,271,186,289,311,346
Gd05829,Gd05829,281,255,354,421,273,214,437,431,394,237,388,146,439,264,424,318,274,167,280,NA,289,322,NA,276,NA,353,415,267,213,436,408,231,386,141,438,263,412,315,268,155,276,NA,283,321,NA
Gd05830,Gd05830,282,254,356,421,273,214,437,431,394,238,388,146,439,264,424,318,274,167,279,193,289,322,351,276,NA,353,415,267,213,436,408,237,386,141,438,263,412,315,268,155,276,192,283,321,346
Gd05831,Gd05831,282,255,355,421,273,214,437,NA,394,237,388,146,439,263,424,318,274,167,279,193,289,322,351,276,NA,353,415,267,213,436,NA,231,386,141,438,251,412,315,268,155,276,192,283,321,346
Gd05832,Gd05832,282,260,355,422,274,214,437,431,394,237,388,146,439,263,424,318,274,167,279,193,289,322,351,276,NA,353,421,273,213,436,408,231,386,141,438,251,412,315,268,155,276,192,283,321,346
Gd05833,Gd05833,287,238,355,422,273,214,437,430,394,237,382,146,439,263,424,318,274,167,280,193,289,322,351,282,NA,353,421,267,213,436,408,231,380,141,438,251,412,315,268,155,276,192,283,321,346
Gd05834,Gd05834,282,NA,354,NA,274,214,436,431,394,238,388,147,439,264,424,318,274,166,280,192,289,322,351,276,NA,353,NA,273,213,431,408,237,386,141,438,263,412,315,268,155,276,186,283,321,346
Gd05835,Gd05835,282,261,354,422,273,214,437,431,394,237,388,146,439,263,424,318,274,167,279,193,289,322,351,276,NA,353,421,267,213,436,408,231,386,141,438,251,412,315,268,155,276,192,283,321,346
Gd05836,Gd05836,282,261,354,422,273,214,437,431,394,237,388,146,439,248,424,318,274,167,279,193,289,322,351,276,NA,353,421,267,213,436,408,231,386,141,438,239,412,315,268,155,276,192,283,321,346
Gd05837,Gd05837,292,236,354,422,273,214,437,431,394,237,382,147,439,263,424,318,274,167,279,193,289,322,351,288,NA,353,421,267,213,436,408,231,380,141,438,251,412,315,268,155,276,192,283,321,346
Gd05838,Gd05838,282,255,354,422,273,214,437,431,394,237,388,147,439,263,424,318,274,167,279,193,290,322,351,276,NA,353,421,267,213,436,408,231,386,141,438,251,412,315,268,155,276,192,289,321,346
Gd05839,Gd05839,282,254,355,421,273,214,437,431,394,237,388,147,NA,264,424,318,274,167,279,193,289,322,351,276,NA,353,415,267,213,436,408,231,386,141,NA,263,412,315,268,155,276,192,283,321,346
Gd05840,Gd05840,282,254,355,422,273,214,437,431,394,237,388,146,439,263,424,318,274,167,279,193,289,322,351,276,NA,353,421,267,213,436,408,231,386,141,438,251,412,315,268,155,276,192,283,321,346
Gd05841,Gd05841,282,254,355,421,273,214,437,431,394,237,388,146,439,263,NA,318,274,167,279,193,289,322,351,276,NA,353,415,267,213,436,408,231,386,141,438,251,NA,315,268,155,276,192,283,321,346
Gd05842,Gd05842,282,254,355,422,273,214,437,431,394,237,388,147,439,264,424,318,274,167,280,193,289,322,351,276,NA,353,421,267,213,436,408,231,386,141,438,263,412,315,268,155,276,192,283,321,346
Gd05843,Gd05843,282,260,354,422,273,214,437,431,394,237,NA,147,439,264,424,318,274,167,279,193,289,322,351,276,NA,353,421,267,213,436,408,231,NA,141,438,263,412,315,268,155,276,192,283,321,346
Gd05844,Gd05844,281,254,355,422,273,214,437,431,394,237,388,147,439,263,424,NA,274,167,275,193,290,322,351,276,NA,353,421,267,213,436,408,231,386,141,438,251,412,NA,268,155,271,192,289,321,346
Gd05845,Gd05845,281,254,354,422,273,214,437,431,394,237,388,NA,439,263,424,318,274,167,NA,193,289,322,NA,276,NA,353,421,267,213,436,408,231,386,NA,438,251,412,315,268,155,NA,192,283,321,NA
Gd05846,Gd05846,281,255,355,422,273,214,437,431,394,237,388,146,439,263,424,318,274,167,280,193,290,322,351,276,NA,353,421,267,213,436,408,231,386,141,438,251,412,315,268,155,276,192,289,321,346
Gd05847,Gd05847,281,255,356,421,273,214,437,431,394,237,388,147,439,264,424,318,274,167,275,193,290,322,351,276,NA,353,415,267,213,436,408,231,386,141,438,263,412,315,268,155,271,192,289,321,346
Gd05848,Gd05848,282,255,356,421,273,214,438,431,394,237,388,147,439,263,424,318,274,167,279,193,289,322,351,276,NA,353,415,267,213,436,408,231,386,141,438,251,412,315,268,155,276,192,283,321,346
Gd05849,Gd05849,281,248,355,422,NA,214,437,430,394,237,NA,NA,439,264,424,318,274,167,NA,193,289,322,NA,276,NA,353,421,NA,213,436,408,231,NA,NA,438,263,412,315,268,155,NA,192,283,321,NA
Gd05850,Gd05850,287,255,355,421,NA,214,437,431,394,237,388,146,439,263,424,319,274,167,280,193,289,322,351,282,NA,353,415,NA,213,436,408,231,386,141,438,251,412,318,268,155,276,192,283,321,346
Gd06012,Gd06012,282,248,354,422,273,214,437,431,394,237,388,147,NA,264,424,318,274,167,275,193,290,322,351,276,NA,353,421,267,213,436,408,231,386,141,NA,263,412,315,268,155,271,192,289,321,346
Gd06013,Gd06013,282,254,354,421,394,214,437,431,394,237,388,146,NA,263,424,318,274,167,279,NA,290,322,351,276,NA,353,415,NA,213,436,408,231,386,141,NA,251,412,315,268,155,276,NA,289,321,346
Gd06014,Gd06014,282,254,354,421,269,214,437,431,394,237,388,146,NA,264,424,318,274,166,279,NA,290,322,351,276,NA,353,415,267,213,436,408,231,386,141,NA,263,412,315,268,155,276,NA,289,321,346
Gd06015,Gd06015,282,254,354,421,273,214,437,431,394,237,388,146,439,263,424,318,274,167,279,193,290,322,351,276,NA,353,415,267,213,436,408,231,386,141,438,251,412,315,268,155,276,192,289,321,346
Gd06016,Gd06016,282,236,354,422,395,214,437,430,394,237,388,146,NA,264,NA,318,502,166,279,NA,290,322,NA,276,NA,353,421,NA,213,436,408,231,386,141,NA,263,NA,315,NA,155,276,NA,289,321,NA
Gd06017,Gd06017,287,236,354,422,273,214,437,431,394,237,381,146,NA,262,424,317,274,166,279,NA,289,322,351,282,NA,353,421,267,213,436,408,231,380,141,NA,251,412,315,268,155,276,NA,283,321,346
Gd06018,Gd06018,NA,NA,354,NA,395,214,436,431,394,NA,382,147,439,263,NA,318,274,167,NA,194,289,322,351,NA,NA,353,NA,NA,213,431,408,NA,380,141,438,251,NA,315,268,155,NA,192,283,321,346
Gd06019,Gd06019,282,254,354,421,394,214,437,431,394,237,388,146,NA,263,424,318,274,167,279,NA,290,322,351,276,NA,353,415,NA,213,436,408,231,386,141,NA,251,412,315,268,155,276,NA,289,321,346
Gd06020,Gd06020,282,237,153,421,273,214,437,431,394,237,NA,NA,NA,263,424,318,274,167,NA,NA,289,322,NA,276,NA,NA,415,267,213,436,408,231,NA,NA,NA,251,412,315,268,155,NA,NA,283,321,NA
Gd06021,Gd06021,282,237,153,421,273,214,437,431,394,237,388,147,NA,263,424,318,274,167,280,NA,290,322,351,276,NA,NA,415,267,213,436,408,231,386,141,NA,251,412,315,268,155,276,NA,289,321,346
Gd06022,Gd06022,282,254,354,421,395,214,437,430,394,237,369,147,NA,264,424,318,274,167,280,NA,289,322,351,276,NA,353,415,NA,213,436,408,231,368,141,NA,263,412,315,268,155,276,NA,283,321,346
Gd06023,Gd06023,282,254,355,421,273,214,437,430,394,237,388,146,NA,263,424,318,274,167,280,NA,290,322,351,276,NA,353,415,267,213,436,408,231,386,141,NA,251,412,315,268,155,276,NA,289,321,346
Gd06024,Gd06024,282,236,153,422,172,214,NA,431,394,NA,388,147,NA,263,424,318,274,166,280,NA,290,322,NA,276,NA,NA,421,NA,213,NA,408,NA,386,141,NA,251,412,315,268,155,276,NA,289,321,NA
Gd00497,Gd00497,255,190,263,410,273,208,310,431,349,226,267,147,438,341,NA,324,244,167,270,194,265,380,351,252,NA,NA,409,267,207,NA,408,225,266,141,432,NA,NA,321,NA,155,266,192,259,NA,346
Gd00492,Gd00492,251,231,263,337,273,196,274,331,364,220,261,158,445,251,344,318,244,167,275,192,264,322,346,NA,NA,NA,NA,267,195,NA,316,NA,NA,153,444,239,NA,315,NA,155,271,186,259,321,341
