users	status	date	clean_log	i
Lacomo	Archive	8/1/2016	Muggled and I'm not replacing it.	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
walkerevans1994	Didn't find it	7/26/2016	Didn't find it. Says I'm within 1 foot but it's not here. I think someone took it	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
radron	Didn't find it	4/16/2016	Hidden really good or gone	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
davinheman	Didn't find it	5/2/2015	I notice this hasn't been visited in a while. I think it may be missing.	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
Tony58	Found it	10/23/2014	Found it with no problems, tftc	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
sammywade	Found it	8/4/2014	Found it!! This was a great hide! Took something and left something ;)	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
CountryDevil	Found it	7/19/2014	Nice drive down back country roads. Spent the day with the family Geocaching while take a break from fishing at Bennett Springs. If you make it here, take the extra time to head to the scenic outlook. Geat photo op!	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
LittleDevil2K	Found it	7/19/2014	Tftc	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
theater_88	Found it	7/4/2014	Awesome, totally fun.	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
themartindalesfour	Found it	5/25/2014	Tftc!	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
golden4g	Found it	5/25/2014	TFTC. Beautiful drive!	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
jgk2112	Write note	5/24/2014	Dropped tracker	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
jgk2112	Found it	5/24/2014	Came here this memorial weekend to go floating. Rained some today so we are going to float tomorrow. Geocaching today between the raindrops. Took the scratcher and left a tracker. TFTC :)	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
HuntingHansons	Found it	5/17/2014	Found it! Perfect spot for the cache. Left a scratch tix for the next to find	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
HippieSeeleys	Found it	4/13/2014	^	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
worley3	Found it	3/13/2014	Nice one!	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
Dowden-boys	Found it	3/3/2014	Found by accident well my boy did but locomo i personally want to say thanks in a roundabout way you help me and my son find another activity that we both can do together. He is eating this up lol and learning alot	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
FindersGirl	Found it	1/17/2014	Neat place! Tftc!	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
5swans5	Found it	1/11/2014	Easy find! Tftc!	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
CrazyClymers	Found it	10/5/2013	Rainy day TFTC SL	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
Gracias_	Found it	10/4/2013	TFTC	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
battyrn	Found it	10/3/2013	Tftc. Very cool area. Everyone should check out the overlook, it is a great view.	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
Outdoors Duo	Found it	3/16/2013	We actually started out to do the River Cache, and some how ended up doing this Coffin Cave instead, go figure. Being short of time we did not make it to the "River Cache". We did leave a wooden coin with our information on it. (Given to us by our kids for Christmas several years ago, we only have about 400 more caches to go to use them all)!	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
rfnv	Found it	3/13/2013	TFTH	https:/www.geocaching.com/geocache/GC13ZN8_coffin-cave
