...1,county,X,...4
1,Clinton-New York,1,30
1,Franklin-New York,1,30
1,Essex-New York,1,30
1,Hamilton-New York,1,30
1,Washington-New York,1,30
1,Warren-New York,1,30
1,Montgomery-New York,1,30
1,Schoharie-New York,0,30
1,Albany-New York,0,30
1,Columbia-New York,1,30
1,Ulster-New York,1,30
1,Sullivan-New York,1,30
1,Orange-New York,1,30
1,Putnam-New York,1,30
1,Suffolk-New York,1,30
1,Jefferson-New York,1,30
1,Lewis-New York,1,30
1,Onondaga-New York,1,30
1,Erie-New York,1,30
1,Livingston-New York,1,30
1,Cattaraugus-New York,1,30
1,Clinton-New York,1,40
1,Franklin-New York,1,40
1,Essex-New York,1,40
1,Hamilton-New York,1,40
1,Washington-New York,1,40
1,Warren-New York,1,40
1,Montgomery-New York,1,40
1,Schoharie-New York,0,40
1,Albany-New York,0,40
1,Columbia-New York,1,40
1,Ulster-New York,1,40
1,Sullivan-New York,1,40
1,Orange-New York,1,40
1,Putnam-New York,1,40
1,Suffolk-New York,1,40
1,Jefferson-New York,1,40
1,Lewis-New York,1,40
1,Onondaga-New York,1,40
1,Erie-New York,1,40
1,Livingston-New York,1,40
1,Cattaraugus-New York,1,40
1,Clinton-New York,1,176
1,Franklin-New York,1,176
1,Essex-New York,1,176
1,Hamilton-New York,1,176
1,Washington-New York,1,176
1,Warren-New York,1,176
1,Montgomery-New York,1,176
1,Schoharie-New York,0,176
1,Albany-New York,0,176
1,Columbia-New York,1,176
1,Ulster-New York,1,176
1,Sullivan-New York,1,176
1,Orange-New York,1,176
1,Putnam-New York,1,176
1,Suffolk-New York,1,176
1,Jefferson-New York,1,176
1,Lewis-New York,1,176
1,Onondaga-New York,1,176
1,Erie-New York,1,176
1,Livingston-New York,1,176
1,Cattaraugus-New York,1,176
1,Clinton-New York,1,226
1,Franklin-New York,1,226
1,Essex-New York,1,226
1,Hamilton-New York,1,226
1,Washington-New York,1,226
1,Warren-New York,1,226
1,Montgomery-New York,1,226
1,Schoharie-New York,0,226
1,Albany-New York,0,226
1,Columbia-New York,1,226
1,Ulster-New York,1,226
1,Sullivan-New York,1,226
1,Orange-New York,1,226
1,Putnam-New York,1,226
