SiteCode,Col Date,Capture time,Capture method,Species,Sex,Band ID,Recapture
KY3,7/23/2012,,harp trap,PESU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,PESU,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,PESU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,KYFW B11850,TRUE
KY3,7/23/2012,,harp trap,PESU,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLE,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,KYFW B11804,TRUE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,MYSO,M,,FALSE
KY3,7/23/2012,,harp trap,PESU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLU,M,,FALSE
KY3,7/23/2012,,harp trap,MYLE,M,,FALSE
