GC,title,nospace,url,lat,lon,country,province/state,county,numfinds,numpages
GC7AC,Nova Scotia Sunday Drive,nova-scotia-sunday-drive,https://www.geocaching.com/geocache/GC7AC_nova-scotia-sunday-drive,N 44° 36.873,W 063° 28.637,Canada,Nova Scotia,Halifax,3,1
GCE79,Yogi and Friends,yogi-and-friends,https://www.geocaching.com/geocache/GCE79_yogi-and-friends,N 45° 00.276,W 064° 58.356,Canada,Nova Scotia,Kings (Nova Scotia),10,1
GCF2D,KejiCache,kejicache,https://www.geocaching.com/geocache/GCF2D_kejicache,N 44° 24.354,W 065° 11.688,Canada,Nova Scotia,Queens (Nova Scotia),196,14
GC2086,aboiteaux,aboiteaux,https://www.geocaching.com/geocache/GC2086_aboiteaux,N 45° 05.938,W 064° 22.452,Canada,Nova Scotia,Kings (Nova Scotia),5,1
GC3305,BnT's excellent adventure,bnts-excellent-adventure,https://www.geocaching.com/geocache/GC3305_bnts-excellent-adventure,N 45° 05.191,W 064° 20.609,Canada,Nova Scotia,Kings (Nova Scotia),102,7
GC5D6F,Shelburne River Cache,shelburne-river-cache,https://www.geocaching.com/geocache/GC5D6F_shelburne-river-cache,N 44° 16.810,W 065° 18.420,Canada,Nova Scotia,Queens (Nova Scotia),17,2
GC6BD6,Boo Boo's Bonanza,boo-boos-bonanza,https://www.geocaching.com/geocache/GC6BD6_boo-boos-bonanza,N 45° 00.183,W 064° 58.512,Canada,Nova Scotia,Kings (Nova Scotia),204,14
GC6C27,Liquid Crystal,liquid-crystal,https://www.geocaching.com/geocache/GC6C27_liquid-crystal,N 44° 56.235,W 064° 52.655,Canada,Nova Scotia,Kings (Nova Scotia),196,14
GC757E,Lucky Strike! in Keji,lucky-strike-in-keji,https://www.geocaching.com/geocache/GC757E_lucky-strike-in-keji,N 44° 21.365,W 065° 10.394,Canada,Nova Scotia,Queens (Nova Scotia),5,1
GC78F7,An American Geocacher in Nova Scotia,an-american-geocacher-in-nova-scotia,https://www.geocaching.com/geocache/GC78F7_an-american-geocacher-in-nova-scotia,N 44° 38.853,W 063° 34.167,Canada,Nova Scotia,Halifax,1,1
GC7ABC,Where the two waters meet,where-the-two-waters-meet,https://www.geocaching.com/geocache/GC7ABC_where-the-two-waters-meet,N 46° 20.535,W 060° 25.229,Canada,Nova Scotia,Victoria (Nova Scotia),20,2
GC7AFF,Shredney's Beach Party,shredneys-beach-party,https://www.geocaching.com/geocache/GC7AFF_shredneys-beach-party,N 45° 04.129,W 065° 00.829,Canada,Nova Scotia,Kings (Nova Scotia),12,1
GC8A75,helitack 1 (Near Keji Park),helitack-1-near-keji-park,https://www.geocaching.com/geocache/GC8A75_helitack-1-near-keji-park,N 44° 25.361,W 065° 03.516,Canada,Nova Scotia,Queens (Nova Scotia),17,2
GC96B5,Blomidon,blomidon,https://www.geocaching.com/geocache/GC96B5_blomidon,N 45° 12.002,W 064° 24.378,Canada,Nova Scotia,Kings (Nova Scotia),255,17
GC9B23,Gone Quackers,gone-quackers,https://www.geocaching.com/geocache/GC9B23_gone-quackers,N 44° 58.763,W 064° 56.895,Canada,Nova Scotia,Kings (Nova Scotia),1,1
GCBC50,Oak Hill 'Corners',oak-hill-corners,https://www.geocaching.com/geocache/GCBC50_oak-hill-corners,N 45° 03.342,W 064° 47.688,Canada,Nova Scotia,Kings (Nova Scotia),145,10
GCF9AF,The Jump,the-jump,https://www.geocaching.com/geocache/GCF9AF_the-jump,N 45° 02.659,W 064° 24.524,Canada,Nova Scotia,Kings (Nova Scotia),40,3
GCG407,Northern Tip of Cape Breton,northern-tip-of-cape-breton,https://www.geocaching.com/geocache/GCG407_northern-tip-of-cape-breton,N 47° 01.541,W 060° 32.176,Canada,Nova Scotia,Victoria (Nova Scotia),112,8
GCG493,Keltic Adventure,keltic-adventure,https://www.geocaching.com/geocache/GCG493_keltic-adventure,N 46° 39.240,W 060° 21.021,Canada,Nova Scotia,Victoria (Nova Scotia),383,26
GCGC6G,Kingston Family Trail,kingston-family-trail,https://www.geocaching.com/geocache/GCGC6G_kingston-family-trail,N 44° 58.767,W 064° 56.961,Canada,Nova Scotia,Kings (Nova Scotia),10,1
GCGCA2,Clairmont Provincial Park,clairmont-provincial-park,https://www.geocaching.com/geocache/GCGCA2_clairmont-provincial-park,N 45° 00.640,W 064° 54.663,Canada,Nova Scotia,Kings (Nova Scotia),22,2
GCGCMR,3Stooges & Ring Leader Stash(wilderness adventure),3stooges-ring-leader-stash-wilderness-adventure,https://www.geocaching.com/geocache/GCGCMR_3stooges-ring-leader-stash-wilderness-adventure,N 44° 52.553,W 064° 52.268,Canada,Nova Scotia,Kings (Nova Scotia),38,3
GCGDK9,Cheticamp Lake in the Highlands,cheticamp-lake-in-the-highlands,https://www.geocaching.com/geocache/GCGDK9_cheticamp-lake-in-the-highlands,N 46° 38.484,W 060° 38.167,Canada,Nova Scotia,Victoria (Nova Scotia),30,2
GCGNH7,Arm of Gold Waterfall Cache,arm-of-gold-waterfall-cache,https://www.geocaching.com/geocache/GCGNH7_arm-of-gold-waterfall-cache,N 46° 16.224,W 060° 27.685,Canada,Nova Scotia,Victoria (Nova Scotia),61,5
GCGW8J,Cybil Split,cybil-split,https://www.geocaching.com/geocache/GCGW8J_cybil-split,N 45° 19.984,W 064° 29.657,Canada,Nova Scotia,Kings (Nova Scotia),19,2
GCH0NG,"jojan's ""stylish""cache",jojans-stylishcache,https://www.geocaching.com/geocache/GCH0NG_jojans-stylishcache,N 45° 04.499,W 064° 21.152,Canada,Nova Scotia,Kings (Nova Scotia),51,4
GCH2KK,Uisge Ban Tree,uisge-ban-tree,https://www.geocaching.com/geocache/GCH2KK_uisge-ban-tree,N 46° 12.596,W 060° 47.238,Canada,Nova Scotia,Victoria (Nova Scotia),65,5
GCHPW1,French Cross cache,french-cross-cache,https://www.geocaching.com/geocache/GCHPW1_french-cross-cache,N 45° 06.213,W 064° 56.947,Canada,Nova Scotia,Kings (Nova Scotia),5,1
GCJ2JT,Monument at Boudreau's Bank,monument-at-boudreaus-bank,https://www.geocaching.com/geocache/GCJ2JT_monument-at-boudreaus-bank,N 45° 06.140,W 064° 22.924,Canada,Nova Scotia,Kings (Nova Scotia),287,20
GCJB1V,Tall Pines Grove,tall-pines-grove,https://www.geocaching.com/geocache/GCJB1V_tall-pines-grove,N 44° 02.931,W 064° 44.168,Canada,Nova Scotia,Queens (Nova Scotia),227,16
GCJD45,Aylesford Lake cache,aylesford-lake-cache,https://www.geocaching.com/geocache/GCJD45_aylesford-lake-cache,N 44° 56.423,W 064° 40.192,Canada,Nova Scotia,Kings (Nova Scotia),113,8
GCJH79,Captain Kidd's Cache,captain-kidds-cache,https://www.geocaching.com/geocache/GCJH79_captain-kidds-cache,N 45° 11.757,W 064° 36.935,Canada,Nova Scotia,Kings (Nova Scotia),79,6
GCJKP0,More Than Just a Farm Town,more-than-just-a-farm-town,https://www.geocaching.com/geocache/GCJKP0_more-than-just-a-farm-town,N 45° 05.660,W 064° 24.370,Canada,Nova Scotia,Kings (Nova Scotia),29,2
GCJPB8,I fall 4 U,i-fall-4-u,https://www.geocaching.com/geocache/GCJPB8_i-fall-4-u,N 46° 13.645,W 060° 30.891,Canada,Nova Scotia,Victoria (Nova Scotia),120,8
GCJRCK,Roadtrip stretch break,roadtrip-stretch-break,https://www.geocaching.com/geocache/GCJRCK_roadtrip-stretch-break,N 46° 06.216,W 060° 45.615,Canada,Nova Scotia,Victoria (Nova Scotia),176,12
GCJV0R,Harbour Hike,harbour-hike,https://www.geocaching.com/geocache/GCJV0R_harbour-hike,N 45° 11.899,W 064° 37.841,Canada,Nova Scotia,Kings (Nova Scotia),69,5
GCJWYD,End of your Rope,end-of-your-rope,https://www.geocaching.com/geocache/GCJWYD_end-of-your-rope,N 45° 04.967,W 064° 21.879,Canada,Nova Scotia,Kings (Nova Scotia),401,27
GCJWYJ,Blomidon Trail Cache,blomidon-trail-cache,https://www.geocaching.com/geocache/GCJWYJ_blomidon-trail-cache,N 45° 15.632,W 064° 20.895,Canada,Nova Scotia,Kings (Nova Scotia),246,17
GCJZZR,Ducks in a Row,ducks-in-a-row,https://www.geocaching.com/geocache/GCJZZR_ducks-in-a-row,N 44° 58.753,W 064° 56.890,Canada,Nova Scotia,Kings (Nova Scotia),63,5
GCK30W,On Top of Cape Smokey,on-top-of-cape-smokey,https://www.geocaching.com/geocache/GCK30W_on-top-of-cape-smokey,N 46° 35.586,W 060° 22.799,Canada,Nova Scotia,Victoria (Nova Scotia),361,25
GCK3XD,Fun Day Beach,fun-day-beach,https://www.geocaching.com/geocache/GCK3XD_fun-day-beach,N 45° 07.600,W 064° 53.000,Canada,Nova Scotia,Kings (Nova Scotia),28,2
GCK420,Sam's cache,sams-cache,https://www.geocaching.com/geocache/GCK420_sams-cache,N 45° 03.409,W 064° 23.910,Canada,Nova Scotia,Kings (Nova Scotia),127,9
GCK4CH,Lumsdens Cache,lumsdens-cache,https://www.geocaching.com/geocache/GCK4CH_lumsdens-cache,N 45° 01.482,W 064° 23.866,Canada,Nova Scotia,Kings (Nova Scotia),109,8
GCK620,Connor's Brook Cache,connors-brook-cache,https://www.geocaching.com/geocache/GCK620_connors-brook-cache,N 45° 04.093,W 065° 00.862,Canada,Nova Scotia,Kings (Nova Scotia),109,8
GCK76N,Old Man on the Bay,old-man-on-the-bay,https://www.geocaching.com/geocache/GCK76N_old-man-on-the-bay,N 43° 49.252,W 064° 53.631,Canada,Nova Scotia,Queens (Nova Scotia),7,1
