"","gc.lat","gen.lat","gc.lon","gen.lon","dist","Region","Country","Province","StrainID","sra_code","lon.x","cave","year","adj.lat","adj.lon","GC","lon.y","max"
"1",35.2675,35.9024,-82.3175,-82.347336,70494.8815929047,"North America","USA","NC","US10","US10",-82.347336,"Yancey",2011,35.9024,-82.347336,"GC1M7H3",-82.3175,2
"2",36.2025,36.4969,-86.9122222222222,-87.3829,53406.4942106937,"North America","USA","TN","Gd00157","22948-1",-87.3829,"Missing2",2010,36.4969,-87.3829,"GCB953",-86.9122222222222,2
"3",36.2025,36.4969,-86.9122222222222,-87.3829,53406.4942106937,"North America","USA","TN","Gd00490","23444-1",-87.3829,"Missing2",2011,36.4969,-87.3829,"GCB953",-86.9122222222222,2
"4",36.3625,36.3805,-84.6330555555556,-84.9325,26945.9378980355,"North America","USA","TN","Gd00487","22997-1",-84.9325,"Missing1",2010,36.3805,-84.9325,"GC6YPRR",-84.6330555555556,5
"5",36.365,36.140093,-80.9116666666667,-81.907196,92888.3373540899,"North America","USA","NC","US8","US8",-81.907196,"Avery",2011,36.140093,-81.907196,"GC55AB1",-80.9116666666667,5
"6",36.365,36.140093,-80.9116666666667,-81.907196,92888.3373540899,"North America","USA","NC","US7","US7",-81.907196,"Avery",2011,36.140093,-81.907196,"GC55AB1",-80.9116666666667,5
"7",36.88,36.9752,-82.5858333333333,-82.6212,11024.8347712883,"North America","USA","VA","Gd00491","23455-1",-82.6212,"Missing4",2011,36.9752,-82.6212,"GC1PM18",-82.5858333333333,3
"8",36.88,36.5129,-82.5858333333333,-82.3041,47889.8581954239,"North America","USA","TN","Gd00484","22930-2",-82.3041,"Missing3",2010,36.5129,-82.3041,"GC1PM18",-82.5858333333333,3
"9",37.63,37.314,-81.2366666666667,-80.7037,58759.6337961751,"North America","USA","VA","Gd00481","22469-1",-80.7037,"Missing5",2009,37.314,-80.7037,"GC1DJC1",-81.2366666666667,3
"10",37.6975,38.084851,-81.2658333333333,-81.073608,46199.1606610999,"North America","USA","WV","US12","US12",-81.073608,"Fayette",2011,38.084851,-81.073608,"GC1A3BP",-81.2658333333333,5
"11",37.9525,37.786538,-80.5458333333333,-80.307934,27883.3912492652,"North America","USA","WV","US5","US5",-80.307934,"Greenbrier",2010,37.786538,-80.307934,"GC3HNJ4",-80.5458333333333,5
"12",38.215,38.2924,-86.2825,-86.4517,17121.5391357604,"North America","USA","IN","Gd00489","23434-1W",-86.4517,"Missing6",2011,38.2924,-86.4517,"GC32KC4",-86.2825,4
"13",38.215,38.6,-86.2825,-86.1053,45452.8941850298,"North America","USA","IN","Gd00488","23414-1W",-86.1053,"Missing7",2011,38.6,-86.1053,"GC32KC4",-86.2825,4
"14",38.9475,38.69,-79.5705555555556,-79.36,33934.0017713109,"North America","USA","WV","Gd00084","22429-8",-79.36,"Missing8",2009,38.69,-79.36,"GC6ZP4H",-79.5705555555556,5
"15",38.9475,38.769075,-79.5705555555556,-79.289703,31410.2817665604,"North America","USA","WV","US14","US14",-79.289703,"Pendleton",2011,38.769075,-79.289703,"GC6ZP4H",-79.5705555555556,5
"16",38.9475,39.121537,-79.5705555555556,-79.648819,20474.7914368818,"North America","USA","WV","US9","US9",-79.648819,"Tucker",2011,39.121537,-79.648819,"GC6ZP4H",-79.5705555555556,5
"17",38.9475,38.848264,-79.5705555555556,-80.010681,39738.7263117782,"North America","USA","WV","US13","US13",-80.010681,"Randolph",2011,38.848264,-80.010681,"GC6ZP4H",-79.5705555555556,5
"18",39.1675,39.058,-90.8058333333333,-90.96,18043.4392836337,"North America","USA","MO","Gd05828","23897-2",-90.96,"Missing9",2012,39.058,-90.96," GCM6PM",-90.8058333333333,51
"19",39.6525,39.6215,-78.4177777777778,-78.6989,24376.9394391576,"North America","USA","MD","Gd00485","22949-4",-78.6989,"Missing11",2010,39.6215,-78.6989,"GCPB59",-78.4177777777778,3
"20",39.81,38.653343,-81.9108333333333,-82.516937,138665.343972424,"North America","USA","OH","US11","US11",-82.516937,"Lawrence",2011,38.653343,-82.516937,"GC3MAFK",-81.9108333333333,3
"21",40.2325,39.5783,-74.8411111111111,-75.639,99655.4266905145,"North America","USA","DE","Gd05827","23877-1",-75.639,"Missing10",2012,39.5783,-75.639,"GC1ER6H",-74.8411111111111,3
"22",40.6375,40.9193,-77.8513888888889,-77.82,31405.7642635794,"North America","USA","PA","Gd00155","22504-1",-77.82,"Missing14",2009,40.9193,-77.82,"GC6QNAK",-78.2052777777778,2
"23",40.6375,40.9193,-77.8513888888889,-77.82,31405.7642635794,"North America","USA","PA","Gd00155","22504-1",-77.82,"Missing14",2009,40.9193,-77.82,"GC1FNQ9",-77.8513888888889,4
"24",40.83,40.900279,-77.0519444444444,-77.356195,26811.3295303836,"North America","USA","PA","US6","US6",-77.356195,"Woodward",2010,40.900279,-77.356195,"GC6DPN2",-77.0519444444444,5
"25",40.83,40.900279,-77.0519444444444,-77.356195,26811.3295303836,"North America","Canada","ON","ON14","ON14",-77.356195,"Missing13",2012,40.900279,-77.356195,"GC6DPN2",-77.0519444444444,5
"26",40.965,40.8572,-75.4183333333333,-74.9973,37436.9130141521,"North America","USA","NJ","Gd00156","22442-2",-74.9973,"Missing12",2009,40.8572,-74.9973,"GC6HZJH",-75.4183333333333,5
"27",41.4875,41.8881,-74.3433333333333,-74.2586,45049.2905362344,"North America","USA","NY","Gd00482","22480-1",-74.2586,"Missing16",2009,41.8881,-74.2586,"GC3K3A3",-74.3433333333333,3
"28",41.505,41.86408,-73.8430555555556,-74.081798,44560.964048669,"North America","USA","NY","US15","US15",-74.081798,"Williams Hotel Mine",2008,41.86408,-74.081798,"GC6253M",-73.8430555555556,37
"29",41.505,41.86408,-73.8430555555556,-74.081798,44560.964048669,"North America","USA","NY","US4","US4",-74.081798,"Williams Hotel Mine",2013,41.86408,-74.081798,"GC6253M",-73.8430555555556,37
"30",41.505,41.86408,-73.8430555555556,-74.081798,44560.964048669,"North America","USA","NY","US3","US3",-74.081798,"Williams Hotel Mine",2013,41.86408,-74.081798,"GC6253M",-73.8430555555556,37
"31",41.505,41.86408,-73.8430555555556,-74.081798,44560.964048669,"North America","USA","NY","Gd01053","20631-21",-74.081798,"Williams Hotel Mine",2008,41.86408,-74.081798,"GC6253M",-73.8430555555556,37
"32",41.5675,42.1531,-72.6069444444445,-72.6316,65075.1356841995,"North America","USA","MA","Gd00082","20693-1",-72.6316,"Missing17",2008,42.1531,-72.6316,"GC71K93",-72.6069444444445,5
"33",41.8725,41.7925,-73.4875,-73.2453,21993.8014384243,"North America","USA","CT","Gd00480","22426-2",-73.2453,"Missing15",2009,41.7925,-73.2453,"GC3HGHB",-73.4875,29
"34",41.8725,41.7925,-73.4875,-73.2453,21993.8014384243,"North America","USA","CT","Gd00479","22004-1",-73.2453,"Missing15",2008,41.7925,-73.2453,"GC3HGHB",-73.4875,29
"35",42.4575,43.0355,-73.42,-73.093,69566.8573275692,"North America","USA","VT","Gd00477","20674-9",-73.093,"Missing19",2008,43.0355,-73.093,"GC6HERZ",-73.42,40
"36",42.4575,43.0355,-73.42,-73.093,69566.8573275692,"North America","USA","VT","Gd00477","20674-9",-73.093,"Missing19",2008,43.0355,-73.093,"GC3M0XK",-82.4663888888889,5
"37",42.4575,42.3707,-73.42,-73.2064,20051.9830835593,"North America","USA","MA","Gd00478","20682-10",-73.2064,"Missing18",2008,42.3707,-73.2064,"GC6HERZ",-73.42,40
"38",42.4575,42.3707,-73.42,-73.2064,20051.9830835593,"North America","USA","MA","Gd00478","20682-10",-73.2064,"Missing18",2008,42.3707,-73.2064,"GC3M0XK",-82.4663888888889,5
"39",43.6475,44.02,-79.8961111111111,-80.06,43436.45815936,"North America","Canada","ON","ON10","ON10",-80.06,"Missing21",2013,44.02,-80.06,"GC3JEQA",-79.8961111111111,60
"40",43.6475,44.54,-79.8961111111111,-80.96,130737.326965057,"North America","Canada","ON","ON11","ON11",-80.96,"Missing23",2013,44.54,-80.96,"GC3JEQA",-79.8961111111111,60
"41",43.8425,43.784759,-73.8811111111111,-72.753782,90927.2240608754,"North America","USA","VA","US1","US1",-72.753782,"Greely Mine",2013,43.784759,-72.753782,"GCX39W",-73.8811111111111,9
"42",43.8425,43.5801,-73.8811111111111,-73.0366,74043.3966450396,"North America","USA","VT","Gd00483","22884-4W",-73.0366,"Missing20",2010,43.5801,-73.0366,"GCX39W",-73.8811111111111,9
"43",44.345,45.000131,-64.2447222222222,-64.157238,73131.4229706669,"North America","Canada","NS","NS1","NS1",-64.157238,"Falmouth",2013,45.000131,-64.157238,"GC11XX8",-64.2447222222222,35
"44",44.8875,44.28,-76.8108333333333,-77.28,77106.8643994877,"North America","Canada","ON","ON3","ON3",-77.28,"Missing22",2013,44.28,-77.28,"GCTNHG",-76.8108333333333,23
"45",44.8875,45.3,-76.8108333333333,-77.63,79117.1999133682,"North America","Canada","ON","ON4","ON4",-77.63,"Missing26",2013,45.3,-77.63,"GCTNHG",-76.8108333333333,23
"46",45.2425,44.5629,-69.6280555555556,-68.3682,124916.611528103,"North America","USA","ME","Gd05826","23874-1",-68.3682,"Missing24",2011,44.5629,-68.3682,"GC6JY8W",-69.6280555555556,29
"47",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB62","NB62",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"48",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB55","NB55",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"49",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB33","NB33",-65.22053,"Glebe Mine",2012,45.659833,-65.3814,"GC7FE1",-65.9186111111111,30
"50",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB30","NB30",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"51",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB64","NB64",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"52",45.3375,45.180017,-65.9186111111111,-66.030033,19565.5698543733,"North America","Canada","NB","NB36","NB36",-66.030033,"Harbells Cave",2012,45.30035,-66.05085,"GC7FE1",-65.9186111111111,30
"53",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB9","NB9",-65.22053,"Glebe Mine",2012,45.659833,-65.3814,"GC7FE1",-65.9186111111111,30
"54",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB32","NB32",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"55",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB41","NB41",-65.22053,"Glebe Mine",2012,45.659833,-65.3814,"GC7FE1",-65.9186111111111,30
"56",45.3375,45.180127,-65.9186111111111,-66.400075,41641.569244796,"North America","Canada","NB","NB25","NB25",-66.400075,"Howes Cave",2012,45.180127,-66.400075,"GC7FE1",-65.9186111111111,30
"57",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB69","NB69",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"58",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB44","NB44",-65.22053,"Glebe Mine",2012,45.659833,-65.3814,"GC7FE1",-65.9186111111111,30
"59",45.3375,45.180017,-65.9186111111111,-66.030033,19565.5698543733,"North America","Canada","NB","NB28","NB28",-66.030033,"Harbells Cave",2012,45.30035,-66.05085,"GC7FE1",-65.9186111111111,30
"60",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB50","NB50",-65.22053,"Glebe Mine",2012,45.659833,-65.3814,"GC7FE1",-65.9186111111111,30
"61",45.3375,45.180017,-65.9186111111111,-66.030033,19565.5698543733,"North America","Canada","NB","NB37","NB37",-66.030033,"Harbells Cave",2012,45.30035,-66.05085,"GC7FE1",-65.9186111111111,30
"62",45.3375,45.180017,-65.9186111111111,-66.030033,19565.5698543733,"North America","Canada","NB","NB2","NB2",-66.030033,"Harbells Cave",2012,45.30035,-66.05085,"GC7FE1",-65.9186111111111,30
"63",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB39","NB39",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"64",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB6","NB6",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"65",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB43","NB43",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"66",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB38","NB38",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"67",45.3375,45.180017,-65.9186111111111,-66.030033,19565.5698543733,"North America","Canada","NB","NB63","NB63",-66.030033,"Harbells Cave",2012,45.30035,-66.05085,"GC7FE1",-65.9186111111111,30
"68",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB1","NB1",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"69",45.3375,45.180017,-65.9186111111111,-66.030033,19565.5698543733,"North America","Canada","NB","NB5","NB5",-66.030033,"Harbells Cave",2012,45.30035,-66.05085,"GC7FE1",-65.9186111111111,30
"70",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB40","NB40",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"71",45.3375,45.180017,-65.9186111111111,-66.030033,19565.5698543733,"North America","Canada","NB","NB31","NB31",-66.030033,"Harbells Cave",2012,45.30035,-66.05085,"GC7FE1",-65.9186111111111,30
"72",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB24","NB24",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"73",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB61","NB61",-65.22053,"Glebe Mine",2012,45.659833,-65.3814,"GC7FE1",-65.9186111111111,30
"74",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB47","NB47",-65.22053,"Glebe Mine",2012,45.659833,-65.3814,"GC7FE1",-65.9186111111111,30
"75",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB4","NB4",-65.22053,"Glebe Mine",2012,45.659833,-65.3814,"GC7FE1",-65.9186111111111,30
"76",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB23","NB23",-65.22053,"Glebe Mine",2012,45.659833,-65.3814,"GC7FE1",-65.9186111111111,30
"77",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB66","NB66",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"78",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB57","NB57",-65.22053,"Glebe Mine",2012,45.659833,-65.3814,"GC7FE1",-65.9186111111111,30
"79",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB67","NB67",-65.26024,"Markhamville Mine",2012,45.557967,-65.52665,"GC7FE1",-65.9186111111111,30
"80",45.49,45.52,-71.8133333333333,-71.28,41813.6820553086,"North America","Canada","QU","QU13","QU13",-71.28,"Missing27",2013,45.52,-71.28,"GC6HG7V",-71.8133333333333,36
"81",45.49,45.52,-71.8133333333333,-71.28,41813.6820553086,"North America","Canada","QU","QU12","QU12",-71.28,"Missing27",2013,45.52,-71.28,"GC6HG7V",-71.8133333333333,36
"82",45.715,45.560171,-64.3772222222222,-64.280423,18790.6172460714,"North America","Canada","NB","NB27","NB27",-64.280423,"Dorchester Mine",2012,45.8751,-64.871633,"GC3PPYW",-64.3772222222222,26
"83",45.715,45.560171,-64.3772222222222,-64.280423,18790.6172460714,"North America","Canada","NB","NB49","NB49",-64.280423,"Dorchester Mine",2012,45.8751,-64.871633,"GC3PPYW",-64.3772222222222,26
"84",45.715,45.560171,-64.3772222222222,-64.280423,18790.6172460714,"North America","Canada","NB","NB3","NB3",-64.280423,"Dorchester Mine",2012,45.8751,-64.871633,"GC3PPYW",-64.3772222222222,26
"85",45.715,45.560171,-64.3772222222222,-64.280423,18790.6172460714,"North America","Canada","NB","NB26","NB26",-64.280423,"Dorchester Mine",2012,45.8751,-64.871633,"GC3PPYW",-64.3772222222222,26
"86",45.715,45.560171,-64.3772222222222,-64.280423,18790.6172460714,"North America","Canada","NB","NB48","NB48",-64.280423,"Dorchester Mine",2012,45.8751,-64.871633,"GC3PPYW",-64.3772222222222,26
"87",45.715,45.560171,-64.3772222222222,-64.280423,18790.6172460714,"North America","Canada","NB","NB35","NB35",-64.280423,"Dorchester Mine",2012,45.8751,-64.871633,"GC3PPYW",-64.3772222222222,26
"88",45.8375,47.08333,-61.8669444444444,8,5182829.18831074,"Europe","Switzerland","Argau","Gd00079","GU350433",8,"Missing32",2009,47.08333,8,"GC5XCCQ",-61.8669444444444,13
"89",45.8375,47.1455,-61.8669444444444,17.6224,5825729.46453037,"Europe","Hungary","Kislod","Gd00080","GU350434",17.6224,"Missing33",2009,47.1455,17.6224,"GC5XCCQ",-61.8669444444444,13
"90",45.8375,45.1,-61.8669444444444,0.7,4763372.43988938,"Europe","France","Aquitaine","Gd00494","Gd41",0.7,"Missing25",2009,45.1,0.7,"GC5XCCQ",-61.8669444444444,13
"91",45.8375,51.5167,-61.8669444444444,11.1667,5188467.48728277,"Europe","Germany","Thuringen","Gd00003","GU999986",11.1667,"Missing41",2009,51.5167,11.1667,"GC5XCCQ",-61.8669444444444,13
"92",45.8425,46.060933,-61.8994444444444,-62.710862,67431.7828263116,"North America","Canada","PEI","PE6","PE6",-62.710862,"Caledonia",2013,46.060933,-62.710862,"GCWB1Q",-61.8994444444444,5
"93",45.8425,46.059712,-61.8994444444444,-63.012986,89645.9106014379,"North America","Canada","PEI","PE5","PE5",-63.012986,"Prim Point",2013,46.059712,-63.012986,"GCWB1Q",-61.8994444444444,5
"94",45.8425,46.164912,-61.8994444444444,-62.81343,79348.3786828701,"North America","Canada","PEI","PE3","PE3",-62.81343,"Uigg",2013,46.164912,-62.81343,"GCWB1Q",-61.8994444444444,5
"95",45.8425,46.014727,-61.8994444444444,-62.610955,58412.3897464912,"North America","Canada","PEI","PE8","PE8",-62.610955,"Murray River",2013,46.014727,-62.610955,"GCWB1Q",-61.8994444444444,5
"96",45.8425,46.179741,-61.8994444444444,-62.88424,84983.0396049559,"North America","Canada","PEI","PE4","PE4",-62.88424,"Vernon Bridge",2013,46.179741,-62.88424,"GCWB1Q",-61.8994444444444,5
"97",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB46","NB46",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"98",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB34","NB34",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"99",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB17","NB17",-64.645711,"Berryton Cave",2012,45.8751,-64.871633,"GC16QVH",-64.4227777777778,14
"100",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB56","NB56",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"101",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB52","NB52",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
