GC	title	lat	lon	country	province/state	numfinds
GC113PK	Flint Mountain Cave	N 47° 08.259	E 017° 41.969	Hungary	Veszprém	78
GC119NK	Breadman's Cave	N 51° 42.168	E 006° 56.233	Germany	Nordrhein-Westfalen	70
GC11WY1	new Baarburg-Cave	N 47° 12.360	E 008° 33.165	Switzerland	Zug	483
GC12XAA	Above The Cave	N 50° 06.276	E 014° 21.066	Czechia	Hlavní město Praha	2436
GC12Z0A	TCL#5 Jeskyne Salka / Cave Salka	N 49° 23.189	E 012° 53.435	Czechia	Plzeňský kraj	626
GC13D3G	CHYNOVSKA JESKYNE/CHYNOV CAVE	N 49° 25.760	E 014° 50.004	Czechia	Jihočeský kraj	634
GC13FDN	Nad jeskyni / Over the cave	N 49° 59.207	E 014° 01.854	Czechia	Středočeský kraj	588
GC13XJJ	Die Aggertalhöhle - The Aggertal Cave	N 50° 59.630	E 007° 26.930	Germany	Nordrhein-Westfalen	241
GC13XJP	Tropfsteinhöhle Wiehl - Stalactite Cave Wiehl	N 50° 56.321	E 007° 32.886	Germany	Nordrhein-Westfalen	346
GC149E0	Dans ta cave Charles	N 47° 09.258	E 001° 01.845	France	Centre-Val-de-Loire	102
GC14RAV	Kubacher Crystal Cave	N 50° 28.091	E 008° 18.172	Germany	Hessen	1203
GC154HD	Cave Canem	N 52° 37.914	E 009° 11.917	Germany	Niedersachsen	24
GC16MY2	La cave des mouches 2	N 47° 50.302	E 001° 43.086	France	Centre-Val-de-Loire	55
GC16QF2	Dunsthöhle - The Vapours Cave	N 51° 59.334	E 009° 15.627	Germany	Niedersachsen	1110
GC18P16	Cave canem	N 51° 03.542	E 006° 58.887	Germany	Nordrhein-Westfalen	418
GC18Y1D	Trpaslici jeskyne - Dwarfish cave	N 50° 46.431	E 014° 15.365	Czechia	Ústecký kraj	123
GC1C19Y	Smrduta Cave & Flint Block	N 49° 22.326	E 017° 45.582	Czechia	Zlínský kraj	320
GC1C99Q	Les caves cathédrales : La cave à vin	N 44° 19.542	E 004° 45.696	France	Auvergne-Rhône-Alpes	451
GC1CEBE	Zsivány-valley, Benard cave	N 46° 58.765	E 017° 28.738	Hungary	Veszprém	60
GC1CHXJ	La cave du curé	N 45° 32.213	E 004° 33.108	France	Auvergne-Rhône-Alpes	158
GC1CQWE	Moggaster Ruine	N 49° 46.146	E 011° 15.576	Germany	Bayern	152
GC1CT3K	BB#3: The Cave	N 48° 51.677	E 002° 15.499	France	Île-de-France	511
GC1DMB3	The Cave	N 46° 53.706	E 007° 59.387	Switzerland	Luzern	59
GC1DWWX	Ebermannstädter Aussichten	N 49° 46.664	E 011° 12.010	Germany	Bayern	164
GC1E5A2	Fränkischer Zuckerhut	N 49° 47.299	E 011° 12.814	Germany	Bayern	246
GC1FMW8	Baradla Barlang – Baradla Cave	N 48° 27.918	E 020° 29.910	Hungary	Borsod-Abaúj-Zemplén	263
GC1G1FN	Backes-Rallye: Pretzfeld	N 49° 45.308	E 011° 10.429	Germany	Bayern	626
GC1HGK3	Nebelhöhle (Fog Cave)	N 48° 25.038	E 009° 13.246	Germany	Baden-Württemberg	852
GC1HVZV	Jeskyne Pekarna / Pekarna cave	N 49° 14.523	E 016° 44.744	Czechia	Jihomoravský kraj	1452
GC1J0HB	Geburtskanal	N 51° 55.500	E 009° 42.000	Germany	Niedersachsen	17
GC1JRXX	La cave de Vitalis	N 43° 46.833	E 003° 26.883	France	Occitanie	25
GC1JT98	The Cave and the pond	N 48° 51.815	E 002° 14.470	France	Île-de-France	128
GC1KFNW	La cave aux Fées	N 48° 14.159	E 002° 52.735	France	Île-de-France	137
GC1KWZH	Bahnhof Forchheim	N 49° 43.068	E 011° 04.212	Germany	Bayern	209
GC1MHHR	Stalactite Cave	N 52° 21.986	E 013° 10.500	Germany	Brandenburg	632
GC1P45C	Westumgehung	N 49° 37.243	E 011° 06.838	Germany	Bayern	183
GC1PC2C	Strašínská drací jeskyne/ Strasin - Dragon´s cave	N 49° 10.972	E 013° 37.780	Czechia	Plzeňský kraj	879
GC1PH2X	EGC-Bonus	N 49° 46.804	E 011° 15.313	Germany	Bayern	29
GC1PH3Q	EGC- Ein Golf- Cache	N 49° 46.615	E 011° 14.874	Germany	Bayern	34
GC1PZ0G	Trainmeuseler Brunnen	N 49° 47.938	E 011° 14.472	Germany	Bayern	242
GC1R15Y	Malenicka jeskyne - Malenice cave	N 49° 07.819	E 013° 53.026	Czechia	Jihočeský kraj	298
GC1RN5R	Grotte et ancienne cave à fromage de Landric	N 43° 54.978	E 003° 04.707	France	Occitanie	16
GC1RX4F	GBGA-02 - Szemlö-hegyi Cave	N 47° 31.677	E 019° 01.497	Hungary	Budapest	282
GC1T83M	Cave Hope / Jeskyne Nadeje	N 49° 13.189	E 018° 02.471	Czechia	Zlínský kraj	302
GC1TM3F	Ebermannstädter Aussichten- Bonus	N 49° 46.402	E 011° 13.347	Germany	Bayern	95
GC1TNE8	Heiners Höh	N 49° 47.017	E 011° 14.440	Germany	Bayern	190
GC1TQ5P	Nürnberger Kapelle	N 49° 45.657	E 011° 19.569	Germany	Bayern	248
GC1V206	St. Beatus Cave	N 46° 41.048	E 007° 46.919	Switzerland	Bern	669
GC1VAKT	Vier auf einen Streich	N 49° 49.123	E 011° 21.873	Germany	Bayern	45
GC1VKMJ	Cave Palvolgyi	N 47° 32.000	E 019° 00.900	Hungary	Budapest	329
GC1W9T1	Teufelshöhle / Devil's Cave	N 50° 20.266	E 009° 27.304	Germany	Hessen	394
GC1WH3M	Small Cave	N 51° 19.782	E 008° 29.298	Germany	Nordrhein-Westfalen	299
GC1WM1M	Kristallhöhle / Crystal Cave Idar-Oberstein	N 49° 43.633	E 007° 16.580	Germany	Rheinland-Pfalz	1000
GC1WVYP	Barbarossa cave	N 51° 22.520	E 011° 02.172	Germany	Thüringen	964
GC1XPJK	Ebermannstädter Ansichten	N 49° 46.832	E 011° 11.278	Germany	Bayern	293
GC1XT26	Tse-Tse Fly Cave	N 49° 21.207	E 011° 22.789	Germany	Bayern	189
GC1XW6A	Loupeznicka jeskyne -  The Bandit's cave	N 50° 45.276	E 014° 55.021	Czechia	Liberecký kraj	90
GC1XZXH	Trubachtal Cave	N 49° 41.680	E 011° 20.401	Germany	Bayern	190
GC1YBCC	Cave Czernice	N 49° 41.740	E 013° 24.586	Czechia	Plzeňský kraj	757
GC1YG7W	Little Cave	N 51° 36.416	E 010° 00.625	Germany	Niedersachsen	115
GC1YK4W	The Cave	N 49° 34.711	E 007° 06.806	Germany	Saarland	167
GC206CT	Wendelstein Cave	N 47° 42.169	E 012° 00.795	Germany	Bayern	606
GC20DQT	Lóczy Cave	N 46° 58.141	E 017° 52.410	Hungary	Veszprém	431
GC20DW8	Lake Cave of Tapolca	N 46° 52.998	E 017° 26.595	Hungary	Veszprém	762
GC218K2	Cimrmanova jeskyne - Cimrman's cave	N 50° 27.306	E 014° 33.250	Czechia	Středočeský kraj	338
GC22P67	Dracula's cave ( Draculas Höhle )	N 47° 18.939	E 007° 53.127	Switzerland	Solothurn	203
