county,WNS_MAP_YR,WNS_STATUS
Adair-Oklahoma,2006-07,Absent
Adair-Oklahoma,2007-08,Absent
Adair-Oklahoma,2008-09,Absent
Adair-Oklahoma,2009-10,Absent
Adair-Oklahoma,2010-11,Absent
Adair-Oklahoma,2011-12,Absent
Adair-Oklahoma,2012-13,Absent
Adair-Oklahoma,2013-14,Absent
Adair-Oklahoma,2014-15,Absent
Adair-Oklahoma,2015-16,Absent
Adair-Oklahoma,2016-17,Absent
Adair-Oklahoma,2018-19,Absent
Adams-Illinois,2006-07,Absent
Adams-Illinois,2007-08,Absent
Adams-Illinois,2008-09,Absent
Adams-Illinois,2009-10,Absent
Adams-Illinois,2010-11,Absent
Adams-Illinois,2011-12,Absent
Adams-Illinois,2012-13,Absent
Adams-Illinois,2013-14,Absent
Adams-Illinois,2015-16,Absent
Adams-Illinois,2016-17,Absent
Adams-Illinois,2017-18,Absent
Adams-Illinois,2018-19,Absent
Albany-New York,2007-08,Absent
Albany-New York,2008-09,Absent
Albany-New York,2009-10,Absent
Albany-New York,2010-11,Absent
Albany-New York,2011-12,Absent
Albany-New York,2012-13,Absent
Albany-New York,2013-14,Absent
Albany-New York,2014-15,Absent
Albany-New York,2015-16,Absent
Albany-New York,2016-17,Absent
Albany-New York,2017-18,Absent
Albany-New York,2018-19,Absent
Albert-New Brunswick,2006-07,Absent
Albert-New Brunswick,2007-08,Absent
Albert-New Brunswick,2008-09,Absent
Albert-New Brunswick,2009-10,Absent
Albert-New Brunswick,2011-12,Absent
Albert-New Brunswick,2012-13,Absent
Albert-New Brunswick,2013-14,Absent
Albert-New Brunswick,2014-15,Absent
Albert-New Brunswick,2015-16,Absent
Albert-New Brunswick,2016-17,Absent
Albert-New Brunswick,2017-18,Absent
Albert-New Brunswick,2018-19,Absent
Alexander-Illinois,2006-07,Absent
Alexander-Illinois,2007-08,Absent
Alexander-Illinois,2008-09,Absent
Alexander-Illinois,2009-10,Absent
Alexander-Illinois,2010-11,Absent
Alexander-Illinois,2011-12,Absent
Alexander-Illinois,2012-13,Absent
Alexander-Illinois,2013-14,Absent
Alexander-Illinois,2015-16,Absent
Alexander-Illinois,2016-17,Absent
Alexander-Illinois,2017-18,Absent
Alexander-Illinois,2018-19,Absent
Alger-Michigan,2006-07,Absent
Alger-Michigan,2007-08,Absent
Alger-Michigan,2008-09,Absent
Alger-Michigan,2009-10,Absent
Alger-Michigan,2010-11,Absent
Alger-Michigan,2011-12,Absent
Alger-Michigan,2012-13,Absent
Alger-Michigan,2013-14,Absent
Alger-Michigan,2015-16,Absent
Alger-Michigan,2016-17,Absent
Alger-Michigan,2017-18,Absent
Alger-Michigan,2018-19,Absent
Algoma Dist. (Part 1 Of)-Ontario,2006-07,Absent
Algoma Dist. (Part 1 Of)-Ontario,2007-08,Absent
