GC,lon,lat,type,Description
GC1KDBZ,39.27953,-84.3877,Type.mystery,sometimes its the location sometimes its the hide sometimes its the container this time its the puzzle the coordinates above are bogus youll need to find the correct ones after having struggled mightily with some of the puzzles out there i thought id repay others with a challenging one the coordinates are hidden in one of the many links on this page when i was a kid wed do you are getting colder and hotter when doing hide and seek not this time the last puzzle was solved too fast j just need to use the geochecker below i believe this puzzle is difficult hence the rating ill start you with n39 16 w084 23 it could be a nano or it could be as big as a breadbox t is for tree happy hunting you can check your answers for this puzzle on geocheckercom
GC2YDGW,47.73292,-65.80518,Type.traditional,congrats to pitrisss1 and his 19 month old son on ftf
GC256FJ,40.50447,-86.85175,Type.earthcache,prophets rock overlooking burnetts creek is where tecumsehs brother lowauhuwaysica the prophet sang to encourage his warriors during the fight against william henry harrisons soldiers at the battle of tippecanoe november 7 1811 william harrison later became president of the united states but served less than 31 days as he died because he would not wear a coat and hat on a bitter inaguration day so i guess he really died because of pridethe prophets rock is located atop the bluff where this cave is located the bluff overlooks the battlefield a short distance to the east geolgy of this cave long ago a river of water deposited tons of rocks pebbles and sand the sediment also included calcium carbonate or shells from sea creatures the lime in the limestone mixing with the rocks pebbles helped to bind it over time water seeping thru cracks and crevices in the rocks combined with carbon dioxide becoming a weak acid this water as it made its way through the sandstone disolved it thus making this a cave with its passages caves are now either dry or wet those that are wet would of course still be growing in size ftf guillermospapa requirements it sure makes it easier if you would send your answers soon after you log your find so that i can id it with your log to make this earthcache a find please send the answers to the following questions to my profile page 1 this cave has a very large opening so please estimate its height and width 2 there as some passages in this cave how many do you see and how long do you estimate the one nearest to you is from the entrance to the far end of the passage 3 is this a dry or wet cave is it still growing 4 is the limestone ceiling of fine sand or mostly rougher pebbles 5 submit a pic andor give the elevation at the cave entrance notice greater lafayette area earthcache chalenge gc2k79 great usa weather tempmap visit link
GC21F6N,48.28,-79.12735,Type.traditional,mine abcourt talam talam me voici rendu a la mine abcourt doa vientelle cellela ancienne mine elder du temps de notre jeunesse pas de ruines pas de vestiges juste une promenade devant lentree de la mine pas de bidules juste une petite part de mine a signer non payante bon geocaching
GC21CK2,48.20722,-79.2922,Type.traditional,mine richmond depuis deux ans je me promene dune montagne a lautre du kanasuta au kekeko ou les collines de dalembert et chaque fois japercevais un gros shaft de mine orange et je me posais toujours des questions aujourdhui jarrive a cette fameuse mine sans le savoir en allant faire le mont bray jentre parler a la personne quelques explications dont mine richmond division francoeur parlons de geocaching et jai la permission dinstaller une cache a la condition de ne pas aller sur le terrain alors bravo amusonsnous et bon geocaching mini cache sans crayon
GC1PAY2,43.8623,-66.16572,Type.traditional,dosco quarried approximately 100000 tonsof high grade silica99 plus from 19471963 the silica was used in the manufacture of silica brick at doscossteel plant in sydney nova scotiathe quarry was abandoned due to a change in ownership of the steel plant and the utilization of another deposit closer to sydney
GCHYEN,36.26177,-86.6441,Type.mystery,the contest is over deadmans cave is a cave on the clifts of old hickory lake i use to go in it when i was a kid you cant go to the cave now because it is on private property this cache is near the cave but much easier to find watch for cars park at 36 15785 and 086 38720
GC32GX7,47.65003,-80.81322,Type.traditional,the gps coordinates will not take you to the cache instead it will take you to the spot where you can pull up your boat go straight ahead about 20 feet into the tunnel of darkness once inside you will walk about 75 feet and turn right at the first opening the cache is hidden under some rocks along the wall cache is a 10 tall 4 round clear container with a light blue lid once you are done here there is a path that leads up to the top on the left take a little hike and enjoy the scenery
GC1NVXV,41.3945,-81.65745,Type.traditional,attention all pirates a new menace has risen a band of dread cave trolls have moved into the rockwood lands and have been snatching up pirates and villagers left and right the worst part is that they dont just capture the pirates and villagers they sometimes eat them we need your help to save a pirate or villager and help them get home will you be able to sneak past the vicious blood thirsty trolls and save them if you successfully help a pirate or villager get home write a note here on this page and be rewarded with an extra smiley first you must find the trolls hideout and help a prisoner escape either a pirate or a villager just one at a time would be the safest second you must write their name on this page so we know exactly who has escaped and who hasnt so we can notify the next of kin if needed and finally when you get them home log it here with their name and location so others can visit them post a new find log and include the gc number and pirate or villagers nameplease good luck to all who undertake this mission and may the wind be always at yer back capt b of the ohara cache crew yarrrrr first pirate or villager found by ben dair dundat good job matey first pirate or villager hidden bygeeojulie well done lass the escapees gc1pbm4 crazy mary mcgillicutty gc1p9we infidelity on the high seas gc1py29 the drake love him or hate him gc1rydh vito gc1v2nb sam of salarium
GC13437,40.93628,-75.31247,Type.multicache,finally gave up the secret that theres a cave in sciota another one of cerberus favorite fishing areas since we had to move our micro to another area in the park we got the opportunity to show all this littleknown spot can be accessed two directions neither of which is easy forget it in the rain and please dont attempt in the winter unless your insurance beneficiary is me p not too creepy just enough for your partner to maybe say no you do it remember your flashlight thought itd be common sense but ya never know have fun cache safe
