"","GC","lon","lat","type","Description"
"10","GC13437",40.93628,-75.31247,"Type.multicache","finally gave up the secret that theres a cave in sciota another one of cerberus favorite fishing areas since we had to move our micro to another area in the park we got the opportunity to show all this littleknown spot can be accessed two directions neither of which is easy forget it in the rain and please dont attempt in the winter unless your insurance beneficiary is me p not too creepy just enough for your partner to maybe say no you do it remember your flashlight thought itd be common sense but ya never know have fun cache safe"
"12","GC15MAP",40.04355,-75.21343,"Type.traditional","the hike into this cache will take you along a small stream that empties into the wissahickon creek along the way you will see the remains of an old fashion swimming hole that was bulit by the locals by damming up the stream a little further downstream are the remains of an old mill the tree cover is pretty thick but there are a few spots that open up to give you a good view of the sky near the cache site is a small manmade caven4002613 w07512775 a book i read on the area said that this cave is what is left after a failed attempt at oneman mining in the wissahickon vally bring a flashlight if you want to enter the cave the cache is hidden aprox 40 feet off the small trail that leads to the cave a word of caution to those with small children the small path to the cave runs along the side of a steep hillside and can be slippery in wet weather a missstep will land you in the stream 20 feet below you will find on street parking at n 4002577 w 07513191 the trail is easy walking until the last 150ft or so the cache is a green 50 cal ammo can inside you will find an assortment of trade items and a blue log book wpen to sign we have enclosed a special baggie of loot for the first to find good luck and enjoy a nice walk in the woods"
"88","GC7A36D",46.77425,-89.08192,"Type.earthcache","adventure mine history the adventure mine operated from 1850 to 1920 and is one of the best preserved mine sites of its age the adventure mine was opened on existing prehistoric excavations located on adventure bluff these prehistoric workings date to about 5000 years ago and were very extensive the mine consisted of five shafts four were inclined at 45 degrees to follow the ore body and one was vertical the deepest of these shafts the no 3 contained 13 levels and extended down 1300 feet following the ore body the adventure mine was incorporated several different times trying to develop a profitable mine on adventure bluff although the adventure mine always showed great promise and millions of dollars were spent pursuing that dream the mine always won out in the end it never produced a profit local geology this area was covered by hundreds of large lava flows approximately 11 billion years ago when lava erupts gasses which had been trapped in the lava bubble to the surface and create a frothy layer similar to a can of soda when opened the lava cooled and formed bedrock with a solid bottom part and a porous top part similar to a sponge in appearance each subsequent lava flow buried the previous one creating a layered effect solid basalt the grayish color rock in the area porous basalt solid basalt the porous basalt and so on the eruptions occurred for an approximately 2 million year long time span the basalt lava flows covered an area from the keweenaw peninsula to isle royale as the basalt lava continued erupting after it ceased parts of the area were covered by reddish colored conglomerates rhyolite these conglomerates were then covered by the reddish sandstone common to this area later to be know as jacobsville sandstone these deposits occurred roughly 1 billion years ago the stack of lava flows or basalt conglomerates and sandstones layers of bedrock was then compressed from the sides due to tremendous pressures caused by the moving of earths crust plate tectonics the bedrock layers began to bend from the pressure and changed from basically flat lying to bowl shaped picture taking a thick book and pressing on it from the ends originally the pages are flat and straight but push hard enough and the book will begin to bend into a u shape one end of the u became the keweenaw peninsula the other end isle royale and the space in the middle the inside of the u is lake superior glaciers have eroded away the bedrock unevenly so the layers at the surface are not quite as obvious as they were when formed glaciers have also carved out most of the land features including adventure mountain but in most places you still find sandstones and conglomerates along the lake shore and basalt further away from the lake the copper the copper here was deposited after the lava eruptions were finished and after the formations of the conglomerates and sandstones basically the copper precipitated out of warm ground water hydrothermal solutions many people that have well water get iron or rust stains in their sinks from dripping water this iron precipitates from their well water and deposits itself onto their sink the copper in the bedrock formed the same way given enough time large quantities of copper were deposited by filling voids in the bedrock where the water was flowing through now to put this all together if water is flowing through bedrock there must be cracks and porous sections of rock that allow this to occur the copper was deposited only in the top porous sections of the basalt lava flows this is how we came to have parallel lodes of copper in the adventure mine the copper occurs only in the lava flow top sections so only those areas were ever mined the solid part of the basalt lava has no copper as discussed before the bedrock layers were bent from pressure and this is why the lodes at the adventure mine are inclined at 45 degrees if you walk in the mine and see some of the larger stopes areas of copper lodes that have been mined away and are now open they are all inclined upward at approximately a 45 degree incline the conglomerates had areas of rich copper deposits where copper had filled in areas between the stones and cobbles there were also some shales that had enough open space to allow copper deposits mostly in the cracks and fissures in the rocks most of the very large masses of native copper mined were formed as the result of a copper filled fissure native copper all the copper mined here occurs in metallic natural native form it is not chemically combined with any other minerals this is very rare the only other place in the world where native copper occurs in quantities significant enough to mine is in coro coro bolivia in south america the keweenaw is the only place in the world where copper occurs in natural pieces weighing more than a few pounds the largest piece mined from the adventure mine weighed approximately 24 tons most of all the copper mined elsewhere today occurs in oxidized copper deposits containing little or no metallic copper these oxidized deposits must be treated by various chemical processes to yield metallic copper mine terms stopes stopes are large underground rooms from which ore is removed they are formed when miners drill numerous holes into the rock wall called the working face these holes are then loaded with explosives and detonated the blast breaks the working face and rock into pieces small enough to be loaded into mine cars and carried from the mine shaft a vertical or sloping passageway made in the earth for finding or mining ore and ventilating underground excavations adit entry into underground mines are either down a vertical shaft or a horizontal opening called and adit logging requirements in order to log this earthcache send me your answers to the following questions either through email from my profile page or through messages on my profile page there are several different tours available at different rates all questions can be answered on any of the tours 1 at the beginning of the tour there are three pieces of native copper how much does the one on the scale weigh 2 there are 5 minerals commonly found with copper name at least three of them 3 how tall is the skylight stope 4 what is the angle of the shafts pictures are not required but they are appreciated please post a picture of you your gps or anything you found interesting anywhere around the mine i have earned gsas highest level"
"99","GC3QB8X",45.6053,-65.53818,"Type.earthcache","well it seems that silica is also mined in poodiac new brunswick close to cassidy lake this large silica mine is strategically located close to main highways to make it easily accessible to all of eastern north america generally there are four categories of silica deposits cretaceous quartzose sand and gravel late carboniferous quartzose sandstone and quartzpebble conglomeration neoproterozoicsilurian quartzite and quartz veins a small outcrop of quartz silica sand has been recognized at vinegar hill near cassidy lake south of sussex new brunswick since the 1980s and extracted for commercial purposes the deposit lies over carboniferous rocks and under glacial deposits its setting is very similar to comparable confirmed cretaceous deposits in nova scotia the silicarich deposit at cassidy lake is made up of quartzose sand and quartzpebble to quartzcobble sized gravel other cretaceous sand and gravel deposits similar to those at cassidy lake have yet to be located in new brunswcik however deposits may exist in structurally similar settings including the area immediately south of the harveyhopewell fault in southeastern new brunswick given the economic and scientific interest of the vinegar hill deposit a search for similar outcrops would be worthwhile although silica mining has been explored in various areas of new brunswick including bass river near belldune the burchill road quartzite deposit southwest of saint john and white head and nantucket islands in southwestern new brunswick the cassidy lake deposit near sussex is new brunswicks most productive and longstanding silica operation the silica was first noted in the late 1970s when a potash exploration drillhole intersected 150 m of white quartzose material when the silica unit was drilltested and analyzed results indicated a reserve of 167 mt of highgrade 9899 sio in the form of poorly consolidated cretaceous sand and gravel the cassidy lake operation started production in 1986 under what became sussex silica inc and a processing plant was erected on site atlantic silica inc acquired the sussex silica assets in 1993 and currently manages the quarry and facilities nova scotiabased interests took ownership of atlantic silica in early 2003 the head office of the company is in enfield nova scotia and the mine is located at poodiac near cassidy lake new brunswick the mine employing nine persons operates on a fulltime basis for eight months of the year and relies on its stored inventory for the remaining winter months silica resources at cassidy lake comprise about 20 mt of material averaging >99 sio the processing plant sells its silica products across eastern canada and the northeastern united states end uses of the sand and pebblesized materials include silicon metal silicon carbide glass recreational sand decorative stone filtration sand foundry sand refractory sand smelter flux cement additive landscaping material and construction sand the company operates a washing screening and drying plant on the mine site which has a capacity of 140 metric tonnes per hour products required to be dry are processed and packaged at a rate of 30 to 50 tonnes per hour the silica deposit covered by one to twelve metres of overburden is a 98 percent pure unconsolidated natural deposit of sand and gravel quartz the deposit is approximately 1500 metres long by 600 metres wide the material is consistent with depth to the extent of 16 metre drill holes the depth of the deposit is unknown proven reserves are 18 million tonnes probable reserves are 50 million tonnes to 32 metres depth and 100 million tonnes to 65 metres ore depth the plant was originally developed to supply the quebec and northern new brunswick markets for silicon metal silicon carbide and metallurgical flux in 1989 a successful pilot test was conducted to prove the material was suitable for glass products both container and flat glass the company still hopes to become a regular supplier of glass sand since inception asi has increasingly become a supplier of a wide variety of sand products including blasting sands nursery grits golf course sand both bunker and green drainage filtration media foundry sand refractory sand cement additives concrete aggregate traction sand for roads railways and airports plaster sand and decorative sands including pebbles these products are shipped to a wide variety of locations throughout eastern canada and northeastern usa all current shipping is by road transport which services the mine site cn rail is located within 5 km of the plant and the deep water port of saint john new brunswick open year round is located 40 km away the posted coordinates take you to an area where you can easily see the mine remember this is an earthcache so there is no container to find just a lesson from mother nature in order to claim this as found please answer the following questions 1 how is the silica mined at this site 2 by what means do they bring the silica to the surface 3 estimate the width and depth of the mine 4 name three uses for silica send the answers to the questions to our email profile in your email please include the name of this earthcache and the number of people in your group do not answer the questions in your log but do tell us why you enjoyed your visit to the silica mine so that others can share your experiences have fun"
"107","GC17GHT",41.00238,-74.4845,"Type.traditional","the pardee iron mine worked in the 1800s and from the cut or collapsed tunnel a large amount of ore was removed this is evident by the large piles of extracted ore stone the ammo box is placed in a location that is accessible without rock climbing you will see the way down coordsaccuracy may float a bit but i think you will figure out where i want you to go area does see hunting so be advised of the seasons very interesting area to explore and see a part of historys iron industry lost and forgotten in nj highlands region treequest"
"108","GC1GCX8",45.5589,-65.57518,"Type.earthcache","the history of potash in new brunswick the element potassium k is essential to plant and animal life without potassium leaves will wither muscles grow weak and the nervous system convulses potash is marketed primarily as fertilizer small quantities are also sold to the pulp and paper industry and to makers of soaps detergents glass drugs and furnace fluxes a primary source of potassium is the mineral sylvite kcl which often occurs as an intergrowth with another mineral halite salt or nacl the mixture is known as potash or sylvinite the higher the mixture of sylvinite content the higher the grade of potash ore potash was formed during the mississippian age during that time much of what is now southeast new brunswick possessed a hot and arid climate and lay beneath an extensive shallow sea the seawater slowly evaporated over time causing potassium and other salts to precipitate from the brine much like a salt solution is left on a plate when the liquid dries after the ocean receded thick layers of other sediments buried the potash and related deposits where they remained undisturbed for 325 million years salt deposits were first discovered in the sussex area in the early 1800s when area residents tapped local salt springs dried the brine to produce halite which they used in food preservation in 1971 government geologists drilled two holes east of sussex hoping to discover commercial salt deposits they discovered salt and thick beds of potash potash was discovered in large quantities in the area surrounding sussex with the deposit being the second largest in the world after an area in saskatchewan two mines were built near the town one in penobsquis 8 km east and another at cassidy lake 10 km southeast cn rail built trackage to serve both mines which employed hundreds from the surrounding area in the 1900s new brunswick had two worldclass potash mining and processing facilities namely the potash corporation of saskatchewan incs new brunswick division and cassidy lake division until recently the cassidy lake division mined and provided the company with custom and selected valueadded processing the new brunswick division at penobsquis functions as an integrated minemill facility in 2002 exploratory drilling southeast of the mine has resulted in the discovery of additional and potentially significant potash reserves the expansion is expected to more than double the annual potash production potash is mined underground at a depth of between 400 to 700 meters machines known as roadheaders are used to remove potash ore underground these huge mining machines have a rotary cutting head mounted on a boom and can excavate 300 to 500 tonnes of potash ore per hour they crawl forward along a working face slowly swinging the boom up and down and back and forth the machine excavates potash ore in the front and gathers it onto a conveyor belt at the rear pcs mills its ore into four commercial grades granular coarse standard and fine the processed potash is loaded onto railcars and carried by train to storage facilities in saint john from there it is shipped to western europe the united sates central and south america asia and oceania rock salt is also mined and is used for road salt approximately half of the production stays in new brunswick while the rest is shipped through the us northeast typically underground potash deposits are overlain by water bearing formations that pose considerable threat to the ongoing operation of potash mines there have been a number of potash mine floods over the past 30 years including new brunswick beginning about 1997 the sussex potash mine began experiencing a brine inflow problem that has increased every year peaking last year at about 1800 gpm us gallons per minute grouting efforts into the inflow zone along with sustained drilling and grouting efforts underground have sealed at least some of the flow paths and have helped to stem the flow of brine into the mine but at this time the source of the water has not been determined the cassidy lake division potash was mined to the south east of cassidy lake the mine was opened by dennison and was later purchased by the potash company of canada limiteds potacan mining co property in the late 1900s areas of the mine began to flood shortly after it was allowed to flood completely and production was terminated in 1998 potash corporation of saskatchewan inc purchased the properties in new brunswick a flooded mine and a functioning mill the flooded mine was renamed cassidy lake division of pcs at the time of closure the annual capacity of the mine was 13 million tonnes today the mine acts as water storage for its sister operation in penobsquis currently a small group of employees manage the companys brine pipeline to the bay of fundy approximately 300 350 tanker trucks haul brine from the sussex mine daily most of these tanker trucks haul the brine to the cassidy lake division the brine hauled to cassidy lake is a slurry of potash in brine the slurry is deposited into holding lagoons where the brine is taken off and pumped via the brine pipeline to be deposited into the bay of fundy in the area of giffins pond just south of st martins the remaining tanker trucks haul brine to the companys potash terminal in saint john for disposal into the bay the community continues to be concerned about the transport of brine from the new brunswick production site to the cassidy lake site for disposal especially with truck safety and speed and the company is addressing these concerns recently a 30km brine pipeline was built to ship excess brine from the penobsquis mine site to the companys brine pond at cassidy lake and into the bay of fundy this has lowered the daily volume of brine hauled away to less than half the 2008 volume in 2015 the cassidy lake mine building was demolished in 2016 the potash mines in penobsquis were closed as well effectively bringing potash mining in new brunswick to a halt the posted coordinates will take you to the visitors parking area at the cassidy lake mine to log this earthcache send an email to us through our profile with the answers to the following questions 1 what is the importance of potash 2 what is the primary element that is found in potash and what is its chemical symbol you must answer the questions or your log will be deleted in your log please take the time to describe what you find interesting about the cassidy lake mine and remember do not answer the questions in your log although photos are optional it is always nice to take and post photos so that other cachers can appreciate what you have enjoyed at this earthcache first to find tripletrouble"
"111","GC1G1AR",37.26857,-80.60018,"Type.traditional","this trying cache is above the new river cave most people just visit the cave and never take the side path to the right that leads to the top when i 1st did i was rewarded with a great view of the river bend and surrounding mountains now there is a cache here for the most adventurous and determined geocachers the terrain rating is very high because the path is straight up a steep ridge there is another path less steep that starts a little further down from the main path also parking for the cache is n 37 16072 w080 36129 since youre up here if youve brought a flashlight check out the cave for even more adventure ftf bell from ecuador over the edge geocoin canoe eye loupe coin geocoin"
"128","GC7MMYY",40.9679,-75.90373,"Type.earthcache","the jeddo tunnel also called the jeddo mine tunnel is a drainage tunnel at water level in pennsylvania it is one of the coal regions biggest discharges of mine water the tunnel is five miles long and was constructed between 1891 and 1894 and at the time of its construction it was reputed to be the largest mine drainage tunnel in the world it consists of major tunnels a and b and minor tunnels c d and x the jeddo tunnel drains four large coal basins over an area of close to 33 square miles amd acid mine drainage is water that is polluted by dissolved metals and other materials hydrologyedit the level of precipitation in the watershed of the jeddo tunnel between 1996 and 1998 was 485 inches 1230 mm per year the average level of surface runoff during the same period was 346 inches 88 mm the base runoff was 3218 inches 817 mm inches and the evapotranspiration was 1287 inches 327 mm inches the jeddo tunnel is the largest carrier of water away from the jeddo tunnel watershed there are several streams on the surface such as black creek little black creek hazle creek and cranberry creek besides minepools contributors to the flow of the tunnel include precipitation draining through mines seepage of streams and water falling through sinkholes and caveins3 39 of the jeddo tunnels discharge or 3099 cubic feet 0878 m3 per second comes from the black creek watershed 26 or 1631 cubic feet 0462 m3 per second comes from the cranberry creek watershed 21 or 2101 cubic feet 0595 m3 per second comes from the hazle creek watershd 14 or 1143 cubic feet 0324 m3 per second comes from the little black creek watershed the tunnels discharge is lowest in november the specific conductance of the water in the jeddo tunnel is on average around 728 micromohs3 water quality more than 90000 pounds 41000 kg of acid drain from the jeddo tunnel into the susquehanna river via little nescopeck and nescopeck creeks every day3 at the end of the 1990s the sulfate iron manganese and aluminum levels in the jeddo tunnel were significantly lower than in previous years the ph of the tunnel water has also risen significantly3 the ph of the water in the jeddo tunnel ranges between approximately 36 and 50 and averages around 43 the tunnel waters ph level is the lowest at the end of summer and the beginning of autumn the most commonly occurring cation in the water of the tunnel is magnesium which occurs in concentrations of 52 mgl calcium is another cation that occurs in the tunnel water at concentrations of 35 mgl sodium and potassium also occur in the water from the jeddo tunnel at concentrations of 12 and 22 mgl respectively there are also several other metals in the tunnels water the iron concentration ranges from 2 to 90 mgl and averages at 9 mgl the manganese concentration ranges from 14 to 68 mgl and averages at 42 mgl the aluminum concentration ranges from 25 to 44 mgl the zinc concentration in the tunnel water averages at 07 mgl the iron aluminum and manganese concentrations are all several times higher than the ideal concentration common anions in the tunnels water include sulfate and chloride these occur at concentrations of 284 and 135 mgl respectively the concentration of solids in the water of the jeddo tunnel ranges between 265 and 6800 mgl the average concentration is 900 mgl the solids consist of 125 milligrams per liter of suspended solids and 140 to 6675 mgl of dissolved solids the concentration of solids in the water has been decreasing since at least the 1990s an average of 2900 pounds 1300 kg of aluminum 1350 pounds 610 kg of manganese and 860 pounds 390 kg of iron per day flow through the jeddo tunnel 1 the water draining from the tunnels contains what 3 metals 2 what 3 bodies of water are are affected by the polluted discharge 3what is the mineral that is commonly found underground in mining areas 4 what can be done to filter out the contaminets 5 the average water flow a day is how many gallons 6 what causes the slimy orange deposits 7 can you see any sign of the tunnel from this location 8a new change to the guidelines allows me to require a photo take a picture of you or a personal item at the site"
"135","GC14DFZ",39.98833,-82.26233,"Type.earthcache","flint ridge state memorial is operated by the ohio historical society and is located 3 miles north of brownsville ohio east of the intersection of brownsville rt 668 and flint ridge rt 312 roads hours of operation park grounds = yearround dawn to dusk even when the museum is closed museum hours monday friday closed saturday 9am 5pm sunday 10am 5pm holidays closed november april closed admission fees to the museum are as follows as of 11 march 2013 adults = $300 aaa seniors 60+ = $200 students k12 participating as a school function = $100 ohio historical society members = free children under 6 = free active military personel with id = free do not take any of the flint this is an archeological site and it is illegal to take flint or any artifacts you may find here is what you will need gpsr camera and tape measurer what makes flint ridge unique is the geology of the area approximately 320 million years ago during the pennsylvanian period this area was part of a shallow sea that transgressed advanced and regressed retreated flint ridge flint which is part of the upper member of the vanport limestone of the allegheny group forms the caprock a layer of rock more resistant to erosion of what is known today as flint ridge the flint a variety of the mineral quartz formed in brackish near shore waters in front of a delta this shallow depositional environment received silica rich detritus tiny silica fragments from dead organisms these fragments settled into depressions forming a depositional bed through a complicated process the silica is then dissolved and deposited forming a layer approximately 200 million years ago this area was uplifted and the erosion of the softer rock layers above exposed the high quality flint deposits today the ridge top area known as flint ridge covers approximately 6 square miles and ranges about 1 to 12 feet in thickness the silica makes flint hard and allows for the creation of a razor shape edge prehistoric native americans began quarrying a form of open pit mining the local outcrops of multicolored flint in this area some 9000 to 10000 years ago flint has been essential in native american cultures it provided many tools such as knives scrapers drills and weapons the importance of flint in these cultures gave this area a status of neutrality artifacts made from this flint have been found as far east as the atlantic coast as far south as louisiana and as far west as kansas city early pioneers of the northwest territories also utilized the local flint in their flintlock firearms fire starters and buhr stones or grindstones for their grain mills enter the park from the entryway closest to the intersection of brownsville rt 668 and flint ridge rt 312 an head straight into the parking lot from the parking lot follow the paved pathway past the handicapped trail to the museum logging requirements guidelines for submittal updated 1 january 2011 requests for photographs must be optional exceptions to this guideline will only be considered if the requested photograph is related to an earth science logging activity such as recording a phenomenon this particular guidelines was updated on 1 january 2011 all earthcaches must conform to this guideline as photo requests are considered additional logging requirements alrs and follow the guidelines set forth by geocachingcom existing earthcaches that do not meet this guideline must be updated to comply cache owners may not delete the cachers log based solely on optional tasks as of 1111 the photo becomes an option 1 submit a picture of yourself in front of the museum holding your gpsr with your log entry 2 take a measurement height width and depth of flint boulder at n 39deg 59246 w 082deg 15738 on the ground across from the museum entrance on the other side of the path 3 take a measurement height width and depth of flint boulder at n 39deg 59252 w 082deg 15736 which sits on a pedestal near the museum entrance 4 submit the measurements to me to gain credit for this earthcache 5 continue past the museum and take the quarry trail or head back toward the parking lot and take the handicapped trail to get an idea of the number and size of the quarry pits optional to gain a better understanding of flint ridge tour the museum which happens to be built over a quarry pit walk the creek trail there are 2 geocaches in the park gem of a geocache gcwbcv and desert in the midwest gcfb8 i would like to thank the ohio historical society and the staff of flint ridge memorial park for making this earthcache possible ohs permit flin e0107 enjoy developed by a platinum earthcache master"
"145","GCP4HD",35.84637,-82.12798,"Type.traditional","the cache is a small white plastic container cache contains rock and mineral related items cache is on private property and is only accessible from 9am 5pm"
