users	status	date	clean_log	i
JustPlainPhil	Found it	1/22/2020	Jan 22, 2020 12:50 PM 8480 The last time I was here was for a FTF effort with Vinyrd and didn't know the EC was here. This morning, I decided to make sure I got it while I'm staying here a bit of extra time. This afternoon, I made the short trip over and circled the complex. Having been in prison ministry for 8 years, I enjoy finding caches involving or near them. This must have been one bad hell hole to be in. Unfortunately, it's closed this time of year, but exploring the perimeter was still pretty kool.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
schwandt	Found it	11/20/2019	I had a midday business meeting in Hartford today so I took advantage of the travel to do a little caching along the way and then set myself up for attending the November CCC event in Waterbury in the evening. I started a little later than I could have - and the drizzly, overcast weather was not the most supportive of getting outside, so I found a few less than I might have. However, I still recorded over five miles of hiking and tracked down almost two dozen finds, with most of those being non-traditional caches. In fact, it ended up as a "busy" day with traditional, unknown, multi, Wherigo, virtual, Earthcache and event finds. This is a very interesting location to visit. I had the place to myself today, but I would be intrigued by being able to visit when all of the locations were accessible. A message has been sent with my responses. Thanks for the learning opportunity of this Earthcache.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
PhotoRoamer	Found it	10/13/2019	I was pleasantly surprised to find this park was open and not closed for renovations, as the cache page indicated. I took the tour through the mine and did the self-tour around the prison grounds. Interesting place and a bit creepy too, not only due to the decorations for the park's Halloween festivities but learning about the prison history housing inmates in the mine. I have sent the required information to the CO. Thanks for the geology and history lesson! Cheers ~PhotoRoamer	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
gpscouts	Found it	10/13/2019	Visited the prison buildings and the mine ! The half hour tour was well worth the time. Neat to combine a historical cache with an earthcache. Sent our activity question to owner and are posting the picture of the other activity ! Mine stays open until the end of October when the bats return to hibernate. Tftearth cache	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
goodolnathanjames	Found it	8/27/2019	TFTC	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
slayer7006	Found it	8/18/2019	Discovered that this gem of a park was open for visitors with a museum and mine along with hiking trials and we were sold. Took an early mine tour before it got busy, pretty awesome down there. Tftc.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
HootsFamilyHunters	Found it	7/27/2019	Thanks for this find! Great history!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Freddie's Pack	Found it	4/13/2019	This was our fourth cache of the morning. The rain has finally stopped so we took the dogs for a walk around the grounds. This looks like such an interesting place. I would love to come back when it's open. Thanks for the cache! #3878	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
LiveLifeFull2day	Found it	4/12/2019	Hey was passing through the area and spotted this Earth cache. Came here years ago with my kids and their homeschool history co-op class. Sad that it was closed today. Cool place!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
CelebrationKim	Found it	4/4/2019	Just landed at Bradley and headed here. Great area and excellent cache page write up. Pic with me and the plaque looking to the view to the west. Favorite point! Thanks for bringing me here!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
jon_cache	Found it	12/9/2018	TFTC! Closed but open to traverse from one place to another! Amazing view of the range near me with EvergreenAdventures. Awesome place! Will be back when opened!!!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
EvergreenAdventures	Found it	12/9/2018	A beautiful mountain view was the highlight of this visit. Both of my kids visited here for a field trip while in elementary school, but I never came out here. They both talked about it, so I do wish it was open. Thank you for bringing us out here.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Odinadventure	Found it	10/28/2018	Tftc	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Tipsy_1	Found it	10/28/2018	Nice spot . Interesting .... little walk with the dogs	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
CarriVT	Found it	10/27/2018	My 3600th cache. Wanted it to be interesting and in CT. I braved the rain to get to gz. Answer and picture to follow.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
brandyalexander	Found it	10/21/2018	Took the family to Old Newgate Prison for our first visit. Today was free admission for CT residents!! After a very cool trip through the mine, a brief stop in Solitary, and some kid-friendly crafts, we walked the grounds to locate the sign. Thanks for the smiley along the way.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Capt Biggins	Found it	10/13/2018	Was chauffered to the location so I could find my required earthcache for the special souvenir, Pics aren't required per the new rules. but I still took one.. have to do a transfer from my cell phone of all the pics I took . Will send other info at the end of my loging session of all the caches found from my 2wk trip.. TFTEC	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
garveyc	Found it	9/1/2018	Great spot!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
poppedbubbles	Found it	8/19/2018	It was a nice day trip! Very fascinating. Thanks!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
And Sister	Found it	8/12/2018	I've wanted to visit Old Newgate Prison for years, but never had the opportunity, because it has been closed to visitors for so long. I was delighted to learn that it was reopening to the public this summer. I was interested in the history of it as well as the geocache. I got to enjoy both aspects of the site today, not only because I got to tour the grounds and the mine, but also because it was one of the days that the Theater Guild of Simsbury was there to present a short one-act play that gives some background on the history of the prison and some of the people (prisoners, warden, and reformer) who were so much a part of its story. I'm a little biased, because I know the author/director and most of the actors, but I highly recommend setting aside an extra half hour for this entertaining and informative play. If you can't make it to the last live show this summer, you can see it on YouTube: https://www.youtube.com/watch?v=sVEww4MUw_A ("Tales from the Dungeon"). While I very much enjoyed the opportunity to go into the mine and see what it was like, I would most certainly not have enjoyed being incarcerated there! It was refreshing to duck out of the heat and cool down in the 50 degree temperature for a few minutes, but it didn't take any imagination at all to understand how uncomfortable and unpleasant it must have been to have spent weeks, months, and years underground in the damp, dark, and cold as a prisoner,or even as a miner who got to leave at the end of the day. And it was more than a little chilling to hear one of the guides mention that there are still bodies buried under some of the rock fall where tunnels collapsed. In short, it's an interesting place to visit, but I'm glad mine was voluntary and short, and not at a judge's discretion!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
outsiders2	Found it	7/21/2018	While figuring out where to travel with Bkitty, this EC came into my sight. Hmmm.. looks interesting. So, onto the list it goes. We arrived at GZ, and was so happy that the tours were open to the public! We took full advantage and went down into the mines. Oh my, what an interesting place. And the history that is here is incredible! I would have never experienced something like this without this EC! Thanks you sooo much for showing me. Absolutely a FP!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Bkitty	Found it	7/21/2018	On a road trip to the Berkshire Geobash #7 event with Outsiders2. Cool, gets a FP. It was quite an experience, one that we will never forget. O2 sent in the answers. TFTEC	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Our Little One	Found it	7/14/2018	Found it with mommy and daddy. TFTC.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
nightflower	Found it	7/14/2018	Was in the area for a friend's birthday, along with "Osbaculum" and "Our Little One", and we stopped by, hearing that the museum is open again after nine years. We got there a little late, so we weren't able to go in, but did get the necessary picture. "OsBaculum" sent the answer to the CO Thanks for the Earthcache! We love these!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
OsBaculum	Found it	7/14/2018	Was in the area for a friend's birthday, along with "Nightflower" and "Our Little One", and we stopped by, hearing that the museum is open again after nine years. We got there a little late, so we weren't able to go in, but did get the necessary picture. Answer to follow. Thanks for the Earthcache! We love these!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
MathAdams	Found it	6/9/2018	I brought my son to the newly reopened Newgate Prison site. After a walk around the property we headed over to the bike trail for a few cache finds. Thanks for all the work that went into setting up the cache and maintaining it. 4204	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Team Tired Boy	Found it	6/9/2018	We were here for Open House Day. The mine is still closed for another month, but the rest of the requirements are being sent via email!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
DizJohn	Found it	6/9/2018	So happy that the Prison and Mine are reopening. Got a sneak peek today	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
j-rockWOW	Found it	4/12/2018	Would have liked to go in, but still closed. Photo posted, wish we could have actually seen the malachite. Oh well, enjoyed the lesson.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Masteroflava	Found it	4/7/2018	Snapped the photo, which doesn't do justice to the view! Looked around a bit but it's still closed up, so we headed back to the car. As we were leaving, the site manager came out and said hello. They are taking drone photos and getting things spruced up! She offered to let us inside so we could see the prison! The mine is not open yet, but the site will again be open to the public this summer after being closed for 9 years!! We feel like celebrities having gotten a sneak peak. Open house day in June and opening in July is the plan. Thanks, Morgan, for the mini-tour!! See you this summer!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
TinySuperman	Found it	3/25/2018	Cache #3330, 12:49 PM We loaded up the car and set a course for northern CT in search of favorited caches for the Planetary Pursuit Challenge. We saw some amazing sights and found some truly awesome geocaches. What a cool spot! We walked the perimeter of the property, but would have loved to explore more! Thanks WG for showing us another amazing spot! Favorite point! Up, up, and awaaaaay!	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
Canoe Paddler	Found it	3/1/2018	This is the first time that I've been to Newgate. I hope that it reopens so that I can get to visit the inside.	https://www.geocaching.com/geocache/GC14EX8_old-newgate-mine
