,county,WNS_MAP_YR,WNS_STATUS,county.y,touching,county1.incidence,year,num_shared
1,St. Louis-Minnesota,2015-16,Confirmed,Douglas-Wisconsin,FALSE,0,2015,11
2,St. Louis-Minnesota,2015-16,Confirmed,Iron-Wisconsin,FALSE,0,2015,41
3,St. Louis-Minnesota,2015-16,Confirmed,Washington-Minnesota,FALSE,0,2015,104
4,St. Louis-Minnesota,2015-16,Confirmed,Iowa-Wisconsin,FALSE,0,2015,9
5,St. Louis-Minnesota,2015-16,Confirmed,Jackson-Iowa,FALSE,0,2015,7
6,St. Louis-Minnesota,2015-16,Confirmed,Taney-Missouri,FALSE,0,2015,8
7,St. Louis-Minnesota,2015-16,Confirmed,Benton-Arkansas,FALSE,0,2015,3
8,St. Louis-Minnesota,2015-16,Confirmed,Calhoun-Alabama,FALSE,0,2015,0
9,St. Louis-Minnesota,2015-16,Confirmed,Green-Wisconsin,FALSE,0,2015,7
10,Douglas-Wisconsin,2015-16,Confirmed,St. Louis-Minnesota,FALSE,0,2015,11
11,Douglas-Wisconsin,2015-16,Confirmed,Iron-Wisconsin,FALSE,0,2015,12
12,Douglas-Wisconsin,2015-16,Confirmed,Washington-Minnesota,FALSE,0,2015,4
13,Douglas-Wisconsin,2015-16,Confirmed,Iowa-Wisconsin,FALSE,0,2015,3
14,Douglas-Wisconsin,2015-16,Confirmed,Jackson-Iowa,FALSE,0,2015,0
15,Douglas-Wisconsin,2015-16,Confirmed,Taney-Missouri,FALSE,0,2015,2
16,Douglas-Wisconsin,2015-16,Confirmed,Benton-Arkansas,FALSE,0,2015,0
17,Douglas-Wisconsin,2015-16,Confirmed,Calhoun-Alabama,FALSE,0,2015,0
18,Douglas-Wisconsin,2015-16,Confirmed,Green-Wisconsin,FALSE,0,2015,2
19,Iron-Wisconsin,2015-16,Suspect,St. Louis-Minnesota,FALSE,1,2015,41
20,Iron-Wisconsin,2015-16,Suspect,Douglas-Wisconsin,FALSE,1,2015,12
21,Iron-Wisconsin,2015-16,Suspect,Washington-Minnesota,FALSE,1,2015,27
22,Iron-Wisconsin,2015-16,Suspect,Iowa-Wisconsin,FALSE,1,2015,22
23,Iron-Wisconsin,2015-16,Suspect,Jackson-Iowa,FALSE,1,2015,7
24,Iron-Wisconsin,2015-16,Suspect,Taney-Missouri,FALSE,1,2015,7
25,Iron-Wisconsin,2015-16,Suspect,Benton-Arkansas,FALSE,1,2015,4
26,Iron-Wisconsin,2015-16,Suspect,Calhoun-Alabama,FALSE,1,2015,0
27,Iron-Wisconsin,2015-16,Suspect,Green-Wisconsin,FALSE,1,2015,11
28,Oxford-Maine,2010-11,Confirmed,Fairfield-Connecticut,FALSE,0,2010,0
29,Oxford-Maine,2010-11,Confirmed,Monroe-Indiana,FALSE,0,2010,0
30,Oxford-Maine,2010-11,Confirmed,Crawford-Indiana,FALSE,0,2010,0
31,Oxford-Maine,2010-11,Confirmed,Roanoke-Virginia,FALSE,0,2010,0
32,Oxford-Maine,2010-11,Confirmed,Wise-Virginia,FALSE,0,2010,0
33,Oxford-Maine,2010-11,Confirmed,Montgomery-Tennessee,FALSE,0,2010,0
34,Oxford-Maine,2010-11,Confirmed,Yancey-North Carolina,FALSE,0,2010,0
35,Oxford-Maine,2010-11,Confirmed,Saint John-New Brunswick,FALSE,0,2010,0
36,Oxford-Maine,2010-11,Confirmed,Nipissing District (Part 1 Of)-Ontario,FALSE,0,2010,0
37,Oxford-Maine,2010-11,Confirmed,Halton Regional Municipality-Ontario,FALSE,0,2010,0
38,Oxford-Maine,2010-11,Confirmed,Haliburton-Ontario,FALSE,0,2010,0
39,Oxford-Maine,2010-11,Confirmed,Albert-New Brunswick,FALSE,0,2010,0
40,Oxford-Maine,2010-11,Confirmed,Hants-Nova Scotia,FALSE,0,2010,0
41,Oxford-Maine,2010-11,Confirmed,Kings-Nova Scotia,FALSE,0,2010,0
42,Washington-Minnesota,2015-16,Confirmed,St. Louis-Minnesota,FALSE,0,2015,104
43,Washington-Minnesota,2015-16,Confirmed,Douglas-Wisconsin,FALSE,0,2015,4
44,Washington-Minnesota,2015-16,Confirmed,Iron-Wisconsin,FALSE,0,2015,27
45,Washington-Minnesota,2015-16,Confirmed,Iowa-Wisconsin,FALSE,0,2015,9
46,Washington-Minnesota,2015-16,Confirmed,Jackson-Iowa,FALSE,0,2015,9
47,Washington-Minnesota,2015-16,Confirmed,Taney-Missouri,FALSE,0,2015,3
48,Washington-Minnesota,2015-16,Confirmed,Benton-Arkansas,FALSE,0,2015,3
49,Washington-Minnesota,2015-16,Confirmed,Calhoun-Alabama,FALSE,0,2015,0
50,Washington-Minnesota,2015-16,Confirmed,Green-Wisconsin,FALSE,0,2015,7
51,Essex-New York,2007-08,Confirmed,Bennington-Vermont,FALSE,0,2007,2
52,Essex-New York,2007-08,Confirmed,Franklin-Massachusetts,FALSE,0,2007,0
53,Essex-New York,2007-08,Confirmed,Ulster-New York,FALSE,0,2007,4
54,Essex-New York,2007-08,Confirmed,Litchfield-Connecticut,FALSE,0,2007,1
55,Hamilton-New York,2008-09,Confirmed,Middlesex-Massachusetts,FALSE,0,2008,0
56,Hamilton-New York,2008-09,Confirmed,Hartford-Connecticut,FALSE,0,2008,2
57,Hamilton-New York,2008-09,Confirmed,Putnam-New York,FALSE,0,2008,1
58,Hamilton-New York,2008-09,Confirmed,Luzerne-Pennsylvania,FALSE,0,2008,0
59,Hamilton-New York,2008-09,Confirmed,Centre-Pennsylvania,FALSE,0,2008,0
60,Hamilton-New York,2008-09,Confirmed,Warren-New Jersey,FALSE,0,2008,0
61,Hamilton-New York,2008-09,Confirmed,Morris-New Jersey,FALSE,0,2008,4
62,Hamilton-New York,2008-09,Confirmed,Giles-Virginia,FALSE,0,2008,0
63,Hamilton-New York,2008-09,Confirmed,Smyth-Virginia,FALSE,0,2008,0
64,Fillmore-Minnesota,2016-17,Confirmed,Shelby-Alabama,FALSE,0,2016,0
65,Fillmore-Minnesota,2016-17,Confirmed,Itasca-Minnesota,FALSE,0,2016,31
66,Fillmore-Minnesota,2016-17,Confirmed,Lancaster-Nebraska,FALSE,0,2016,1
67,Fillmore-Minnesota,2016-17,Confirmed,Blount-Alabama,FALSE,0,2016,0
68,Bennington-Vermont,2007-08,Confirmed,Essex-New York,FALSE,0,2007,2
69,Bennington-Vermont,2007-08,Confirmed,Franklin-Massachusetts,TRUE,0,2007,4
