users	status	date	clean_log	i
CacheDrone	Archive	11/11/2007	[red]No Action Taken After Being Disabled – Archived by Reviewer[/red] Previously a 'Reviewer Note' was placed on this listing in regard to some issues that were noticed. Since no status change or updates have occurred on this geocache in a timely fashion following that note, this listing is being archived. If you have a reason for this geocache to be unarchived please contact me at cachedrone@gmail.com to explain.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
CacheDrone	Post Reviewer Note	10/11/2007	[red]Needs Action from owner[/red] Quite some time has passed since this listing was disabled. Please see the follow item taken from the listing guidelines. As the cache owner, you are also responsible for physically checking your cache periodically, and especially when someone reports a problem with the cache (missing, damaged, wet, etc.). You may temporarily disable your cache to let others know not to hunt for it until you have a chance to fix the problem. This feature is to allow you a reasonable time – normally a few weeks – in which to arrange a visit to your cache. In the event that a cache is not being properly maintained, or has been temporarily disabled for an extended period of time, we may archive or transfer the listing. http://www.geocaching.com/about/guidelines.aspx#maint Please have this geocache replaced within one month and enabled again or archive the listing. If you have extenuating reasons for a delay please post a Reviewer Note to detail them. You can email me at cachedrone@gmail.com if you have questions and include the GC# of the listing.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Friendly Goat	Write note	7/18/2007	Humbug. This is a great cache, I hope muggles don't keep coming back to pillage it.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
cave n clan	Temporarily Disable Listing	7/15/2007	Cache needs to be replaced. We will be doing that ASAP.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Chrisy Fishy	Found it	7/10/2007	Hidey hole was there but cache was not.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Johnie Cache	Found it	7/9/2007	Found what the cache goes it but it was empty. No cache!	https://www.geocaching.com/geocache/GC12K71_woodland-twins
M3J	Found it	7/8/2007	Well, fine...if others are going to claim a find even though the container was missing from the hidey hole then so am I, especially since there has been no response from the owner.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
M3J	Needs Maintenance	7/8/2007	Well, this cache has disappeared since yesterday. I found the right spot for the cache (phoned Ted to confirm) so I know it has been muggled as I had the right thing. Will need to be replaced.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
ClearedHot!	Found it	7/7/2007	Found without any major trouble. Cache is dry and in good shape. --TFTC--	https://www.geocaching.com/geocache/GC12K71_woodland-twins
beanette	Found it	7/2/2007	found with Mr & Mrs Bean	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Mister Bean	Found it	7/2/2007	found quickly while a soccer game was on. TFTC Mr & Mrs Bean	https://www.geocaching.com/geocache/GC12K71_woodland-twins
wizhippo	Found it	7/2/2007	Nice job	https://www.geocaching.com/geocache/GC12K71_woodland-twins
ElectroQTed	Found it	7/1/2007	There were people about in the park and the neighbouring back yards, but I felt I was able to duck into the bushes without being seen. Then, just as I was signing the logbook, a kid comes rushing in looking for cover (they were playing hide & seek) and caught me red-handed. He apologized (huh?) and took off and then the next one came by. I felt a little awkward, being a 40-something male, alone, exiting a small bush where several kids were playing. Your camo job on the cache was very nicely done though. Thanks. Ted.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Friendly Goat	Found it	6/30/2007	Nice hide, had me stumped for a while but then jumped right out. Second time looking for me (before as "fullerrc") so the find was doubly exciting. Some muggles nearby smoking up, but they probably didn't care that I was there. Maybe they thought I was the pizza guy & wondered why I was delivering to the bushes. T - MB Pin, L - Orange Paper Crane (dated). TFTC!	https://www.geocaching.com/geocache/GC12K71_woodland-twins
DNStephens	Found it	6/28/2007	One of 11 on the day. TNLN. Cache is dry and in good shape. Thanks for the outing.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Nater & the Turtle	Found it	6/23/2007	Found it with my parents.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
KartGuy	Found it	6/23/2007	This was well hidden. No rabits found. Found this cache with my son's, Nater and the Turtle.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Telfos	Found it	6/23/2007	After 15 minutes , we found it . We seen the rabbit and a woodpecker . Nice hiding spot .	https://www.geocaching.com/geocache/GC12K71_woodland-twins
aardvarklad	Didn't find it	6/22/2007	Made an attempt, but no luck with this one. Didn't have the name of the cache, or any info on it, but reading the logs, it looks like one worth getting back to. TFTH.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
uprcut	Found it	6/22/2007	Nice hide! Took us abit of looking around to find it. Great little park. We hung around and played on the slides and swings. TFTC TNLN uprcut	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Friendly Goat	Didn't find it	6/18/2007	Looked & looked. Found the "twins," zeroed out a few times but nothing. Maybe I was too distracted by all the kids around & their parents wondering who the pedo in the bushes was. Sigh. Oh well, maybe another time.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Galloping Gourmet	Found it	6/18/2007	another easy find. Today is great, all easy caches. 11 in total	https://www.geocaching.com/geocache/GC12K71_woodland-twins
hikerT	Found it	6/17/2007	First of the day. Nicely done. TFTC	https://www.geocaching.com/geocache/GC12K71_woodland-twins
The Burrow	Found it	6/15/2007	#1754 Found it at 11:00, and all is in good condition. Loved the hide! It's always nice to see a little thought being put into a cache hide. Took a quarter, replaced teh pencil with a new one, left a Manitoba pin and the Le Grand Ménage Des Routards geocoin. Thanks cave n clan, for a great hide. The Burrow.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
kokoscoot	Found it	6/14/2007	Great little hide - it was a little more challenging than I initially thought. Thanks!	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Doug Mathieson	Found it	6/11/2007	Cache 2652 15:49 2nd of 4 I had an idea what I was looking for on this one but it still caused me some problems	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Nozzletime	Found it	6/8/2007	Nice hide, weeds sure have filled in to make it a bit tougher to see. Looks like a nice neighbourhood park. Thanks Nozletime & Smudge	https://www.geocaching.com/geocache/GC12K71_woodland-twins
Dundeejim	Found it	6/8/2007	Cool hiding spot, took a TB, left a coin. TFTC Dundeejim	https://www.geocaching.com/geocache/GC12K71_woodland-twins
c.carnage	Found it	6/2/2007	I'm separating my account from akela31 so I'm logging all the caches that I've helped find. Thanks, C.CARNAGE	https://www.geocaching.com/geocache/GC12K71_woodland-twins
akela31	Found it	6/2/2007	Clever spot. All is well with the cache. Thanks.	https://www.geocaching.com/geocache/GC12K71_woodland-twins
seeker_team	Found it	5/23/2007	Went after the soccer ended... easy find when ya' notice things out of place! TFTC T-n, L-geocoin	https://www.geocaching.com/geocache/GC12K71_woodland-twins
andrewmatthews23	Found it	5/20/2007	Out for a walk with the fam and decided to swing by and do this one. My wife used to play soccer at this field so it was familiar to her. It took me a couple of minutes to track this one down but I managed to find it after some searching. Cool hiding spot. I'm a big fan of these types of hides. No muggles as it was freezing out. Thanks for the Cache! I dropped off two TB. A diabetes TB and a cool new geocoin I just got. GO TEAM MATTHEWS! -23	https://www.geocaching.com/geocache/GC12K71_woodland-twins
