GC,title,url,lat,lon,country,province.state,county,numfinds,numpage
GC105ND,CaveWithoutAName,NA,29.8859,-97.3814833333333,UnitedStates,Texas,KendallCounty,124,NA
GC105T5,LilCrag-O-Mine,NA,39.1921833333333,-76.7123,UnitedStates,Maryland,MontgomeryCounty,15,NA
GC106CK,PythianCave,NA,41.5922166666667,-121.4177,UnitedStates,California,SiskiyouCounty,42,NA
GC106P2,CacheByTheCave,NA,37.04595,-93.35925,UnitedStates,Kansas,CherokeeCounty,130,NA
GC10CQG,LittleWindCave,NA,32.9910166666667,-115.886233333333,UnitedStates,California,SanDiegoCounty,21,NA
GC10D8F,HersislikeMine,NA,48.23325,-121.846866666667,UnitedStates,Washington,SnohomishCounty,204,NA
GC10E5J,TheBatCave,NA,33.0904333333333,-95.2804833333333,UnitedStates,Texas,CollinCounty,127,NA
GC10F2V,YourGasIsAsGoodAsMine,NA,48.21465,-121.507916666667,UnitedStates,Washington,IslandCounty,99,NA
GC10FFG,AcidMineDrainage,NA,40.3674666666667,-79.6400166666667,UnitedStates,Pennsylvania,WashingtonCounty,18,NA
GC10FND,"Mine#46HashBrownsBaconEggs",NA,46.9355333333333,-122.09185,UnitedStates,Washington,GraysHarborCounty,45,NA
GC10JTY,"Thisisminethat'syurs.-Myfirstgeocache",NA,38.57075,-93.1283,UnitedStates,Kansas,MiamiCounty,56,NA
GC10NM9,CaveSpringsOne,NA,31.9926833333333,-93.5240333333333,UnitedStates,Texas,PanolaCounty,14,NA
GC10V39,SageCave,NA,37.0570833333333,-118.265116666667,UnitedStates,California,MaderaCounty,29,NA
GC10YQ6,MosquitoCave,NA,41.9498833333333,-90.3589166666667,UnitedStates,Iowa,LinnCounty,114,NA
GC11073,CacheMine,NA,47.4845333333333,-118.102266666667,UnitedStates,Washington,DouglasCounty,20,NA
GC110HE,Cave&Oars,NA,NA,NA,NA,NA,NA,NA,NA
GC119NA,"Paleoman's""Cave""(SoeasyaCavemancandoit!)",NA,42.6350666666667,-77.9491833333333,UnitedStates,NewYork,WyomingCounty,305,NA
GC11A02,THEBEARCAVE,NA,40.3280833333333,-121.835916666667,UnitedStates,California,TehamaCounty,76,NA
GC11A8X,ForestCaveCache,NA,42.2527,-87.7590166666667,UnitedStates,Illinois,McHenryCounty,93,NA
GC11BER,tenniscave,NA,40.5889833333333,-121.583033333333,UnitedStates,California,ShastaCounty,25,NA
GC11C6X,TreeCave,NA,37.6324,-120.227433333333,UnitedStates,California,AlamedaCounty,152,NA
GC11CP2,RockCave,NA,33.8467833333333,-83.0919833333333,UnitedStates,Georgia,PauldingCounty,54,NA
GC11G09,CaveDweller#2,NA,37.2648666666667,-112.8223,UnitedStates,Utah,WashingtonCounty,88,NA
GC11HH5,"Mine#47""FRAMED""",NA,46.9160166666667,-122.082383333333,UnitedStates,Washington,GraysHarborCounty,40,NA
GC11Q3W,Afreundofyoursisafreundofmine,NA,NA,NA,NA,NA,NA,NA,NA
GC11V5D,"Mine#48""TheWorld""",NA,46.97005,-122.177716666667,UnitedStates,Washington,GraysHarborCounty,276,NA
GC11VJ6,TheCave,NA,34.4635166666667,-118.342983333333,UnitedStates,California,SantaBarbaraCounty,95,NA
GC11YJ2,ComanceCave,NA,37.4894833333333,-112.66375,UnitedStates,Utah,WashingtonCounty,9,NA
GC1217D,BigRiverCaveInn,NA,34.1895,-113.623016666667,UnitedStates,California,SanBernardinoCounty,88,NA
GC123FA,AboveIceCave,NA,43.3116833333333,-90.2203833333333,UnitedStates,Iowa,WinneshiekCounty,101,NA
GC12C80,LostFrenchmanMine,NA,45.9678,-121.4045,UnitedStates,Washington,CowlitzCounty,39,NA
GC12F3C,"Mine#49""ScreenSaver""",NA,47.1890166666667,-123.800733333333,UnitedStates,Washington,GraysHarborCounty,488,NA
GC12F46,WhiskeyCaveMathTest,NA,42.7095833333333,-101.017666666667,UnitedStates,Nebraska,DawesCounty,16,NA
GC12FE,MineOverlook,NA,34.226,-117.8705,UnitedStates,California,LosAngelesCounty,14,NA
GC12HG1,LakeOchedaCaveStump,NA,43.5618166666667,-94.3771,UnitedStates,Minnesota,NoblesCounty,5,NA
GC12HP6,Cave-InCache,NA,40.6501,-120.567016666667,UnitedStates,California,ShastaCounty,58,NA
GC12MNK,snake'scave,NA,38.7777333333333,-120.77165,UnitedStates,California,PlacerCounty,62,NA
GC12VE1,Porterville’sCOALMINEHILL,NA,39.0787,-86.1564833333333,UnitedStates,Illinois,CrawfordCounty,80,NA
GC12W18,PaintMineRuins,NA,45.84265,-91.2605833333333,UnitedStates,Wisconsin,BurnettCounty,64,NA
