county.y,WNS_MAP_YR,n.touching,n.inf,n.sus,n.abs,prop
Adair-Oklahoma,2006-07,5,0,0,5,0
Adair-Oklahoma,2007-08,5,0,0,5,0
Adair-Oklahoma,2008-09,5,0,0,5,0
Adair-Oklahoma,2009-10,5,0,0,5,0
Adair-Oklahoma,2010-11,5,0,0,5,0
Adair-Oklahoma,2011-12,5,0,0,5,0
Adair-Oklahoma,2012-13,5,0,0,5,0
Adair-Oklahoma,2013-14,5,0,0,5,0
Adair-Oklahoma,2014-15,5,0,0,5,0
Adair-Oklahoma,2015-16,6,2,2,2,0.00364963503649635
Adair-Oklahoma,2016-17,6,1,2,3,0.00182481751824818
Adair-Oklahoma,2017-18,5,0,0,5,0
Adair-Oklahoma,2018-19,5,0,0,5,0
Adams-Illinois,2006-07,2,0,0,2,0
Adams-Illinois,2007-08,2,0,0,2,0
Adams-Illinois,2008-09,2,0,0,2,0
Adams-Illinois,2009-10,2,0,0,2,0
Adams-Illinois,2010-11,2,0,0,2,0
Adams-Illinois,2011-12,2,0,0,2,0
Adams-Illinois,2012-13,2,0,0,2,0
Adams-Illinois,2013-14,3,0,2,1,0
Adams-Illinois,2014-15,2,1,0,1,0.00182481751824818
Adams-Illinois,2015-16,2,0,0,2,0
Adams-Illinois,2016-17,2,0,0,2,0
Adams-Illinois,2017-18,2,0,0,2,0
Adams-Illinois,2018-19,2,0,0,2,0
Albany-New York,2006-07,2,1,0,1,0.00182481751824818
Albany-New York,2007-08,2,1,0,1,0.00182481751824818
Albany-New York,2008-09,2,0,0,2,0
Albany-New York,2009-10,2,0,0,2,0
Albany-New York,2010-11,2,0,0,2,0
Albany-New York,2011-12,2,0,0,2,0
Albany-New York,2012-13,2,0,0,2,0
Albany-New York,2013-14,2,0,0,2,0
Albany-New York,2014-15,2,0,0,2,0
Albany-New York,2015-16,2,0,0,2,0
Albany-New York,2016-17,2,0,0,2,0
Albany-New York,2017-18,2,0,0,2,0
Albany-New York,2018-19,2,0,0,2,0
Albert-New Brunswick,2006-07,0,0,0,0,0
Albert-New Brunswick,2007-08,0,0,0,0,0
Albert-New Brunswick,2008-09,0,0,0,0,0
Albert-New Brunswick,2009-10,0,0,0,0,0
Albert-New Brunswick,2010-11,0,0,0,0,0
Albert-New Brunswick,2011-12,0,0,0,0,0
Albert-New Brunswick,2012-13,0,0,0,0,0
Albert-New Brunswick,2013-14,0,0,0,0,0
Albert-New Brunswick,2014-15,0,0,0,0,0
Albert-New Brunswick,2015-16,0,0,0,0,0
Albert-New Brunswick,2016-17,0,0,0,0,0
Albert-New Brunswick,2017-18,0,0,0,0,0
Albert-New Brunswick,2018-19,0,0,0,0,0
Alexander-Illinois,2006-07,1,0,0,1,0
